Feature,Coefficient,Std_Error,t_value,p_value
const,-0.05474242479554193,0.09050515196053714,-0.6048542387886515,0.5453277944890305
Budget(USD)_Inflated,-0.23186096896991204,0.025868919270982033,-8.962916716431895,5.839608772927967e-19
Runtime(mins),-0.06140881929902661,0.023714394083233458,-2.589516691149358,0.00966384323895864
Audience_Score,0.1566083035757253,0.025031428508939295,6.256466886010797,4.5791277675393493e-10
Critics_Score,-0.11654514719035569,0.024560559438858508,-4.745215493990894,2.1937543270441237e-06
drama,0.04183103887932614,0.04295009706856394,0.9739451534311698,0.33017293406830006
comedy,0.2672965686901104,0.04320652077761168,6.186486758929579,7.107638421145718e-10
thriller,-0.12359927509399907,0.049370750015463094,-2.5034919472620394,0.012357332686928839
action,-0.10700903989899477,0.0525166603745957,-2.0376208071059883,0.041687308806700844
adventure,-0.10545376290043346,0.05310072777677195,-1.985919352061357,0.04714547183806032
romance film,-0.1084239225843243,0.047899803591186285,-2.2635567258207847,0.023682184340722782
horror,-0.03965071178683905,0.0632953485164764,-0.6264395838900797,0.5310807725839037
fantasy,-0.10199453165215958,0.06038048112547209,-1.6891970675128025,0.09129966399255686
mystery,-0.16783197240910552,0.0621591270868118,-2.7000374727706586,0.006977369913003187
crime,0.06924927509156101,0.05268171871665375,1.3144839761970393,0.18879748583790026
indie,0.05101472567822336,0.07265171424669269,0.702181995389678,0.48262752759684213
biography,0.03987096552140767,0.07437118830088017,0.5361076840685064,0.5919292612974945
family,0.12015264774479867,0.08171650585033059,1.470359586407996,0.14158346793382195
sci-fi,-0.04448149208991495,0.059839316550616806,-0.7433489326752086,0.4573365485196935
period piece,0.13618653497004637,0.08293676678349735,1.6420526173338192,0.10069811130018744
animation,-0.5567376832000894,0.1018881497636657,-5.464204468247469,5.0840591781447064e-08
teen,0.18016360184736885,0.09020286566917407,1.9973157228522282,0.04589328438930542
film adaptation,0.0036487000298127403,0.08867143814994874,0.04114853785998789,0.9671805889265124
musical,-0.017245453797177943,0.07842218573693306,-0.2199052938288121,0.8259619024557514
history,0.069137643056771,0.10437790463269027,0.6623781469849289,0.5077866795834445
coming of age,0.20876768513926192,0.10785503771571667,1.935632211167826,0.05301933217671227
sports,0.572003290811969,0.09010863651052443,6.347929709769391,2.5599389354361064e-10
war,-0.0819997808494889,0.1020315864681931,-0.8036705464248679,0.4216595686316743
Rating_pg,0.2698372989620149,0.07458175267338704,3.6180069425788752,0.0003024462121453435
Rating_pg-13,0.1545900900448337,0.041312216585038905,3.741994567796153,0.00018645323972870474
Month_Aug,0.1222247265292448,0.08226041088304578,1.485826842064022,0.13744423939491965
Month_Dec,-0.3395432968402386,0.0842982841538386,-4.027879099183031,5.7869062630945593e-05
Month_Feb,0.056562471084231104,0.0879992866799266,0.6427605633891291,0.5204352512537983
Month_Jan,-0.06341033816243127,0.0846112102759839,-0.74943187735526,0.4536636656888051
Month_Jul,-0.10225917941499217,0.0871921315851707,-1.1728028384660345,0.2409806096230161
Month_Jun,-0.02960865433047216,0.08672615719157815,-0.3414039695667204,0.7328266367935489
Month_Mar,0.1325942672864,0.08393474623530481,1.5797303647607612,0.11428833573608341
Month_May,-0.0768573251704126,0.08962999146119618,-0.8574956208010653,0.39124881054009286
Month_Nov,-0.2510272272073577,0.08372374390193775,-2.998280004073585,0.002740394840109007
Month_Oct,-0.1469233494690494,0.0789215351308,-1.8616382616677072,0.06276506399973275
Month_Sep,-0.06167164904941727,0.08311987319052416,-0.741960336104651,0.4581773194964295
emotion_disgust,-0.07775323714298,0.07209581256381657,-1.078470917768708,0.2809221056618684
emotion_fear,-0.014370240765951385,0.06056603975325988,-0.23726564960321558,0.8124691048686383
emotion_joy,-0.0330899563011379,0.09519734791402389,-0.3475932578607402,0.7281733586694504
emotion_neutral,0.007185244127787208,0.058987498193848624,0.1218096096256631,0.9030590669076086
emotion_sadness,0.02977795740970251,0.07229957477980403,0.41186905317762124,0.6804688162983183
emotion_surprise,0.2935593141234444,0.11032787383031442,2.6607900971149148,0.00784291357917139
