,Name,Year,Languages,Countries,Genres,Budget,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
129,batman v superman: dawn of justice,2016,english,united states,"action, adventure, sci-fi",250000000,330360194,0.3778307798856634,544000000,0.6221692201143365,874360194
130,battle los angeles,2011,english,united states,"action, adventure, sci-fi",70000000,83552429,0.3944513446113144,128266925,0.6055486553886856,211819354
139,ben is back,2018,english,united states,drama,13000000,3703184,0.365414392684418,6431020,0.634585607315582,10134204
140,better luck tomorrow,2002,english,united states,"crime, drama, romance",250000,3802390,0.998205409707904,6836,0.001794590292096,3809226
141,big eyes,2014,english,united states,"biography, crime, drama, romance",10000000,14482031,0.495058586137309,14771135,0.504941413862691,29253166
152,blackkklansman,2018,english,united states,"biography, comedy, crime, drama",15000000,49275340,0.5275685847008008,44125483,0.4724314152991992,93400823
153,blade runner 2049,2017,english,united states,"action, drama, mystery, sci-fi, thriller",185000000,92054159,0.3549316740549782,167303249,0.6450683259450218,259357408
159,blue jasmine,2013,english,united states,"comedy, drama, romance",18000000,33405481,0.3245974333161561,69508090,0.6754025666838439,102913571
164,bone tomahawk,2015,english,united states,"drama, horror, western",2000000,382579,0.5,382579,0.5,765158
165,boo 2! a madea halloween,2017,english,united states,"comedy, drama, horror, mystery",25000000,47319572,0.979013501322425,1014360,0.020986498677575,48333932
166,boo! a madea halloween,2016,english,united states,"comedy, drama, horror, mystery",20000000,73206343,0.9783367828744528,1621001,0.021663217125547,74827344
168,booksmart,2019,english,united states,comedy,6000000,22680962,0.908706695582186,2278645,0.0912933044178139,24959607
169,borat,2006,english,"united states,united kingdom",comedy,18000000,128505958,0.4894478843163994,134046935,0.5105521156836006,262552893
174,brick mansions,2014,english,"france,canada,united states","action, crime, thriller",28000000,20396829,0.2778056247060114,53024395,0.7221943752939886,73421224
175,bride & prejudice,2004,"english,hindi,punjabi","united kingdom,united states,france,india","comedy, drama, musical, romance",7000000,6605592,0.2672549930329772,18110848,0.7327450069670227,24716440
178,brightburn,2019,english,united states,"drama, horror, mystery, sci-fi",7000000,17300439,0.5207108853563983,15924215,0.4792891146436017,33224654
179,broken city,2013,english,united states,"crime fiction, thriller, drama",35000000,19701164,0.5671488941868917,15036035,0.4328511058131083,34737199
180,broken horses,2015,english,"united states,india","action, crime, drama, mystery, thriller",15000000,30288,0.5,30288,0.5,60576
188,can you ever forgive me?,2018,english,united states,"biography, comedy, crime, drama",10000000,8803865,0.707583272712835,3638296,0.292416727287165,12442161
189,captain america: civil war,2016,english,united states,"action, sci-fi",250000000,408084349,0.3538417243486275,745211944,0.6461582756513724,1153296293
190,captain america: the winter soldier,2014,english,united states,"action, adventure, sci-fi, thriller",170000000,259766572,0.3636040781376089,454654931,0.6363959218623911,714421503
193,captain underpants: the first epic movie,2017,english,united states,"action, adventure, animation, comedy, family, sci-fi",38000000,73921000,0.5839962203820867,52656874,0.4160037796179133,126577874
194,captive state,2019,english,united states,"action, horror, sci-fi, thriller",25000000,5958315,0.6764193582847511,2850296,0.3235806417152488,8808611
196,cars 3,2017,english,united states,"adventure, animation, comedy, family, sport",175000000,152901115,0.3982519046356121,231029541,0.6017480953643879,383930656
197,catch me if you can,1989,english,united states,"action, drama, comedy",52000000,164615351,0.4628956786509155,191005491,0.5371043213490845,355620842
199,central intelligence,2016,english,united states,"action, comedy, crime",50000000,127440871,0.5867583757355522,89753934,0.4132416242644477,217194805
