,Name,Year,Languages,Countries,Genres,Budget,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
580,mamma mia! here we go again,2018,english,"united kingdom,united states","comedy, musical, romance",75000000,120634935,0.3053703369967449,274409771,0.6946296630032551,395044706
581,manchester by the sea,2016,english,united states,drama,8500000,47695371,0.603829463124012,31292777,0.396170536875988,78988148
586,mary poppins returns,2018,english,united states,"adventure, comedy, family, fantasy, music, musical",130000000,171958438,0.4919599211865952,177579056,0.5080400788134047,349537494
590,maze runner: the scorch trials,2015,english,united states,"action, adventure, sci-fi, thriller",61000000,81697192,0.2616017411375826,230598864,0.7383982588624174,312296056
595,mechanic: resurrection,2016,english,united states,"action, adventure, thriller",40000000,21218403,0.1687621458536804,104511232,0.8312378541463196,125729635
596,meet the parents,1992,english,united states,comedy,55000000,166244045,0.5030928761327806,164200000,0.4969071238672193,330444045
597,men in black: international,2019,english,united states,"action, adventure, comedy, sci-fi",110000000,80001807,0.3151033365337787,173888894,0.6848966634662212,253890701
602,midsommar,2019,english,"united states,sweden","drama, horror, mystery, thriller",9000000,27426361,0.5712374384247534,20585830,0.4287625615752465,48012191
605,mile 22,2018,english,united states,"action, thriller",35000000,36108758,0.5445548836851989,30200000,0.4554451163148011,66308758
606,million dollar arm,2014,"english,hindi",united states,"biography, drama, family, sport",25000000,36457627,0.9293876145303892,2769953,0.0706123854696109,39227580
612,miss sloane,2016,english,"united states,france,canada,united kingdom",drama,18000000,3500605,0.3846165255880704,5600941,0.6153834744119295,9101546
613,mission: impossible - dead reckoning part one,2023,english,united states,"action, adventure, thriller",291000000,172135383,0.3016638601337936,398484455,0.6983361398662064,570619838
614,mission: impossible - fallout,2018,english,united states,"action, adventure, thriller",178000000,220159104,0.278098966239939,571498294,0.721901033760061,791657398
615,mission: impossible - ghost protocol,2011,english,united states,"action, adventure, thriller",145000000,209397903,0.3014162516921727,485315477,0.6985837483078273,694713380
616,mission: impossible - rogue nation,2015,english,united states,"action, adventure, thriller",150000000,195042377,0.2856856955218533,487674259,0.7143143044781466,682716636
618,mojin: the lost legend,2015,mandarin,china,"action, adventure, drama, fantasy, horror, mystery, thriller",37000000,1243810,0.0047955331868277,258124638,0.9952044668131724,259368448
619,moms' night out,2014,english,united states,comedy,5000000,10429707,0.9898216334964292,107249,0.0101783665035708,10536956
620,money monster,2016,english,united states,"action, crime, drama, mystery, thriller",27000000,41012075,0.438790932690619,52454020,0.561209067309381,93466095
627,mother!,2017,english,united states,"drama, horror, mystery",30000000,17800004,0.3998473482006278,26716995,0.6001526517993722,44516999
629,mr. deeds,2002,english,united states,"comedy, romance",50000000,126293452,0.7373958947223159,44976083,0.2626041052776841,171269535
630,mr. peabody & sherman,2014,english,united states,"adventure, animation, comedy, family, fantasy, history, sci-fi",145000000,111506430,0.4044512989807664,164191609,0.5955487010192336,275698039
631,mr. turner,2014,english,"united kingdom,france,germany","biography, drama, history",14000000,3958500,0.1784733260489224,18221285,0.8215266739510775,22179785
633,muppets most wanted,2014,english,united states,"adventure, comedy, crime, family, musical, mystery",55000000,51183113,0.6367396221641727,29200000,0.3632603778358272,80383113
635,my big fat greek wedding 2,2016,english,united states,"comedy, romance",18000000,59689605,0.6481198244129819,32406953,0.3518801755870181,92096558
636,my date with drew,2004,english,united states,documentary,1100,181041,0.6889713437607032,81729,0.3110286562392967,262770
637,my faraway bride,2006,"english,hindi","india,united states","comedy, drama, romance",2000000,29655,0.5,29655,0.5,59310
639,my name is khan,2012,"hindi,english","india,united states,united arab emirates,hong kong","comedy film, action, drama",8470000,4046336,0.0954934312417658,38326589,0.9045065687582342,42372925
644,neighbors 2: sorority rising,2016,english,united states,comedy,35000000,55455765,0.5093635724290587,53416891,0.4906364275709412,108872656
654,nocturnal animals,2016,english,united states,"drama, thriller",22500000,10663357,0.3291293556055569,21735324,0.6708706443944431,32398681
656,norm of the north,2016,english,united states,"adventure, animation, comedy, family",18000000,17062499,0.5551578157993254,13672003,0.4448421842006745,30734502
658,now you see me 2,2016,english,united states,"action, adventure, comedy, crime, mystery, thriller",90000000,65075540,0.1943147363077895,269822066,0.8056852636922105,334897606
660,obvious child,2014,english,united states,"comedy, drama, romance",1000000,3123963,0.9394199283879284,201454,0.0605800716120715,3325417
664,office christmas party,2016,english,united states,comedy,45000000,54767494,0.4783132984369024,59733805,0.5216867015630976,114501299
666,olympus has fallen,2013,english,united states,"action, thriller",70000000,98927592,0.572236264676514,73951336,0.427763735323486,172878928
669,one direction: this is us,2013,english,"united kingdom,united states","documentary, music",10000000,28873374,0.4212521395342689,39668412,0.5787478604657311,68541786
671,only lovers left alive,2013,english,"united kingdom,germany","comedy, drama, fantasy, horror, romance",7000000,1879534,0.2440645471850238,5821437,0.7559354528149762,7700971
680,oz the great and powerful,2013,english,united states,"adventure, family, fantasy",200000000,234911825,0.4761933793093242,258400000,0.5238066206906757,493311825
684,pain & gain,2013,english,united states,"comedy film, action, drama",26000000,49875291,0.5712728637672274,37430258,0.4287271362327725,87305549
688,paranormal activity,2007,english,united states,"horror, mystery",15000,107918810,0.5581358821405926,85436990,0.4418641178594074,193355800
689,paranormal activity: the ghost dimension,2015,english,united states,"horror, mystery",10000000,18300124,0.2319315519116835,60603000,0.7680684480883165,78903124
690,paranormal activity: the marked ones,2014,english,united states,"horror, mystery",5000000,32462372,0.3571027351300734,58442482,0.6428972648699265,90904854
698,patti cake$,2017,english,united states,"drama, music",1000000,800148,0.5397812671180202,682208,0.4602187328819798,1482356
699,paul blart: mall cop 2,2015,english,united states,"action, comedy, crime, family",38000000,71091594,0.6603917081928148,36559052,0.3396082918071852,107650646
704,percy jackson: sea of monsters,2013,english,"canada,united states","adventure, family, fantasy",90000000,68559554,0.3413308086903349,132300000,0.6586691913096651,200859554
710,piranha 3d,2010,english,united states,"comedy, horror",24000000,25003155,0.2988657325063686,58657005,0.7011342674936314,83660160
712,pitch perfect 2,2015,english,united states,"comedy, music",29000000,184296230,0.6407507349105817,103329238,0.3592492650894183,287625468
713,pitch perfect 3,2017,english,united states,"comedy, music",45000000,104897530,0.5647655668076543,80838882,0.4352344331923457,185736412
716,planes: fire & rescue,2014,english,united states,"adventure, animation, comedy, family, sport",50000000,59200000,0.3910171730515192,92200000,0.6089828269484808,151400000
726,pokémon: detective pikachu,2019,english,"united states,japan","adventure, comedy, family, mystery, sci-fi",150000000,144174568,0.3203433385199151,305888070,0.679656661480085,450062638
727,pokémon: the first movie - mewtwo strikes back,1998,japanese,japan,"action, adventure, animation, family, fantasy, sci-fi",30000000,85744662,0.5239685850553438,77900000,0.4760314149446561,163644662
729,popstar: never stop never stopping,2016,english,united states,"comedy, drama, music, musical",20000000,9639125,0.9957743928246496,40904,0.0042256071753504,9680029
733,premium rush,2012,english,united states,"thriller, action/adventure, action, crime thriller",35000000,20275446,0.6458546868157854,11117755,0.3541453131842146,31393201
736,project almanac,2015,english,united states,"drama, mystery, sci-fi, thriller",12000000,22348241,0.6728714310054836,10865000,0.3271285689945163,33213241
738,queen & slim,2019,english,united states,"crime, drama, romance",18000000,43808310,0.915838013133929,4025815,0.084161986866071,47834125
739,queen of katwe,2016,"english,luganda",united states,"biography, drama, sport",15000000,8874389,0.8559444248863083,1493561,0.1440555751136917,10367950
741,ralph breaks the internet,2018,english,united states,"adventure, animation, comedy, family, fantasy, sci-fi, sport",175000000,201091711,0.3799029052835511,328232251,0.6200970947164489,529323962
742,rambo: last blood,2019,"english,spanish",united states,"action, crime, thriller",50000000,44819352,0.4898806325514997,46671001,0.5101193674485003,91490353
745,reach me,2014,english,united states,"comedy, crime, drama",5000000,26013,0.5,26013,0.5,52026
750,red sparrow,2018,"english,russian",united states,"action, drama, thriller",69000000,46874505,0.3092544067024658,104698129,0.6907455932975342,151572634
751,red tails,2012,"english,german",united states,"adventure, history, historical fiction, period piece, drama, war film, action",58000000,49876377,0.9902885701636466,489121,0.0097114298363534,50365498
753,resident evil: the final chapter,2016,english,"germany,united kingdom,united states,france,canada,australia","action, horror, sci-fi",40000000,26830068,0.085926986791355,285412558,0.914073013208645,312242626
758,ride along 2,2016,english,united states,"action, comedy, crime",40000000,91221830,0.7286876653538437,33964631,0.2713123346461563,125186461
760,rio 2,2014,english,united states,"family film, adventure, comedy film, animation",130000000,131538435,0.2637197570572825,367242682,0.7362802429427175,498781117
768,rogue one: a star wars story,2016,english,united states,"action, adventure, sci-fi",200000000,532177324,0.5039284682810948,523879949,0.4960715317189051,1056057273
769,"roman j. israel, esq.",2017,english,united states,"crime, drama, thriller",22000000,11962778,0.9183868090091556,1063082,0.0816131909908443,13025860
772,rough night,2017,english,united states,comedy,20000000,22105643,0.466883031070653,25241640,0.533116968929347,47347283
773,rudderless,2014,english,united states,"comedy, drama, music",5000000,58293,0.1067346090535732,487856,0.8932653909464268,546149
774,rugrats in paris,2000,english,"united states,germany","adventure, animation, comedy, family, romance",30000000,76507756,0.7407001478181123,26783375,0.2592998521818877,103291131
777,run fatboy run,2007,english,"united kingdom,united states","comedy, romance, sport",10000000,6003262,0.1793146798249561,27475659,0.8206853201750439,33478921
778,runner runner,2013,english,united states,"crime, mystery, thriller",30000000,19316646,0.3082028994132358,43358449,0.6917971005867641,62675095
784,sausage party,2016,english,"united states,canada","adventure, animation, comedy, fantasy",19000000,97685686,0.6910439598566162,43673897,0.3089560401433838,141359583
785,saving mr. banks,2013,english,"australia,united kingdom,united states","biography, comedy, drama",35000000,83301580,0.7067362753909493,34566404,0.2932637246090507,117867984
787,saw 3d,2010,english,united states,"horror, mystery",17000000,45710178,0.3357328849939619,90440256,0.6642671150060381,136150434
788,scary movie v,2013,english,united states,"comedy, horror",20000000,32015787,0.4072530940775026,46598194,0.5927469059224975,78613981
799,sgt. stubby: an american hero,2018,english,"united states,ireland,canada,france","adventure, animation, family, history, war",25000000,4015935,0.8141463873493876,916759,0.1858536126506124,4932694
800,shark night,2011,english,united states,"action, horror, thriller",25000000,18877153,0.4563675252593884,22486774,0.5436324747406115,41363927
802,sherlock gnomes,2018,english,"united kingdom,united states","adventure, animation, comedy, family, fantasy, musical, mystery, romance",59000000,43242871,0.4778335110062039,47254907,0.522166488993796,90497778
809,silent hill: revelation,2012,english,"canada,france","horror, mystery, thriller",20000000,17529157,0.3166239257998683,37833548,0.6833760742001317,55362705
810,silver linings playbook,2012,english,united states,"comedy, drama, romance",21000000,132092958,0.5587394247797937,104319495,0.4412605752202063,236412453
817,sleight,2016,english,united states,"crime, drama, sci-fi",250000,3986245,0.999132767961541,3460,0.0008672320384589,3989705
820,smurfs: the lost village,2017,english,united states,"adventure, animation, comedy, family, fantasy",60000000,45020282,0.2278601285262766,152558304,0.7721398714737234,197578586
825,solo: a star wars story,2018,english,united states,"action, adventure, sci-fi",275000000,213767512,0.5437282960650774,179383835,0.4562717039349225,393151347
828,sorry to bother you,2018,english,united states,"comedy, drama, fantasy, sci-fi",3200000,17493096,0.9627086056695536,677611,0.0372913943304462,18170707
830,spider-man: far from home,2019,english,united states,"action, adventure, comedy, fantasy, sci-fi",160000000,391283774,0.3454496263875343,741395911,0.6545503736124657,1132679685
831,spider-man: homecoming,2017,english,united states,"action, adventure, sci-fi",175000000,334952829,0.3802312995286886,545965784,0.6197687004713113,880918613
832,spider-man: into the spider-verse,2018,english,united states,"action, adventure, animation, comedy, family, fantasy, sci-fi",90000000,190241310,0.4833336714494665,203361125,0.5166663285505335,393602435
836,spring breakers,2012,english,united states,"crime, drama, thriller",5000000,14124284,0.4411615433684405,17891843,0.5588384566315595,32016127
837,spring breakers,2013,english,united states,action,5000000,14124286,0.4452199806797858,17600000,0.5547800193202141,31724286
839,spy kids 3: game over,2003,english,united states,"action, adventure, comedy, family, sci-fi",38000000,111761982,0.5670270447925867,85339696,0.4329729552074133,197101678
842,star trek beyond,2016,english,united states,"action, adventure, sci-fi, thriller",185000000,158848340,0.462478528369268,184623476,0.537521471630732,343471816
843,star trek into darkness,2013,english,united states,"action, adventure, sci-fi",190000000,228778661,0.4894901057975789,238602923,0.5105098942024211,467381584
844,star trek: nemesis,2002,english,united states,"action, adventure, sci-fi, thriller",60000000,43254409,0.6423622889646576,24082061,0.3576377110353423,67336470
845,star wars: episode i - the phantom menace,1999,english,united states,"action, adventure, fantasy, sci-fi",115000000,487576624,0.4659052046107326,558938030,0.5340947953892674,1046514654
850,star wars: episode v - the empire strikes back,1980,english,united states,"action, adventure, fantasy, sci-fi",18000000,292753960,0.5322643599918275,257262126,0.4677356400081724,550016086
854,step up 3d,2010,english,united states,"drama, music, romance",30000000,42400223,0.2555937590529221,123488894,0.744406240947078,165889117
855,step up revolution,2012,english,united states,"drama, music, romance",33000000,35074677,0.2118646440952281,130477613,0.7881353559047718,165552290
856,still alice,2014,english,united states,drama,5000000,18754371,0.418818851031154,26024824,0.5811811489688459,44779195
862,strangerland,2015,english,"australia,france,ireland,united states","drama, mystery, thriller",10000000,17472,0.1572538183912804,93635,0.8427461816087195,111107
870,superhero movie,2008,english,united states,"action, comedy, sci-fi",35000000,26638520,0.3647798022142761,46387782,0.6352201977857238,73026302
874,swiss army man,2016,english,united states,"comedy, drama, fantasy, romance",3000000,4210454,0.8530955621323955,725047,0.1469044378676045,4935501
875,t2 trainspotting,2017,english,united kingdom,"comedy, crime, drama",18000000,2402004,0.0576272404711645,39279742,0.9423727595288356,41681746
876,ta ra rum pum,2007,hindi,india,"comedy, drama, family, romance, sport",7400000,872643,0.0572504675727444,14369905,0.9427495324272556,15242548
877,table 19,2017,english,united states,"comedy, drama, romance",5000000,3614896,0.7169547724381566,1427118,0.2830452275618433,5042014
880,taken 3,2014,"english,russian",france,"action, thriller",48000000,89256424,0.2733908932944662,237222717,0.7266091067055338,326479141
883,ted 2,2015,english,united states,comedy,68000000,81476385,0.3750970534179259,135737758,0.6249029465820741,217214143
884,teefa in trouble,2018,"urdu,punjabi",pakistan,"action, comedy, crime, musical, romance",1500000,324633,0.5,324633,0.5,649266
888,terminator genisys,2015,english,united states,"action, adventure, sci-fi, thriller",155000000,89760956,0.2037227313497485,350842581,0.7962772686502514,440603537
889,terminator: dark fate,2019,"english,spanish",united states,"action, adventure, sci-fi",185000000,62253077,0.2384085699803444,198866215,0.7615914300196556,261119292
891,that awkward moment,2014,english,united states,"comedy, romance",8000000,26068955,0.4912279693466735,27000000,0.5087720306533264,53068955
892,the 15:17 to paris,2018,english,united states,"biography, drama, thriller",30000000,36276286,0.6344638404809995,20900000,0.3655361595190006,57176286
893,the 33,2015,"english,spanish","united states,colombia,spain,chile","biography, drama, history",25000000,12227722,0.4305427521807109,16172993,0.5694572478192891,28400715
898,the age of adaline,2015,english,united states,"drama, fantasy, romance",30000000,42629776,0.6179613355665682,26354760,0.3820386644334319,68984536
899,the amazing spider-man 2,2014,english,united states,"action, adventure, sci-fi",200000000,203605622,0.2840217362807737,513260716,0.7159782637192262,716866338
900,the angry birds movie,2016,english,"finland,united states","action, adventure, animation, comedy, family",73000000,107509366,0.3051348653964007,244824563,0.6948651346035993,352333929
901,the angry birds movie 2,2019,english,"finland,united states","action, adventure, animation, comedy, family",65000000,41667116,0.2819307049722371,106124931,0.7180692950277628,147792047
903,the babadook,2014,english,australia,"drama, horror, mystery",2000000,964413,0.0902548363923857,9721031,0.9097451636076144,10685444
904,the belko experiment,2016,english,united states,"horror, thriller",5000000,10166820,0.9171997621932352,917810,0.0828002378067648,11084630
905,the best man holiday,2013,english,united states,"comedy, drama",17000000,70525195,0.9682777170703766,2310515,0.0317222829296234,72835710
911,the big sick,2017,english,united states,"comedy, drama, romance",5000000,42873127,0.7600057151381228,13538458,0.2399942848618772,56411585
912,the big wedding,2013,english,united states,"comedy, drama, romance",35000000,21819348,0.4690100112984922,24702789,0.5309899887015078,46522137
913,the birth of a nation,2016,"silent film,english",united states,"biography, drama, history",8500000,15861566,0.9453105425928224,917646,0.0546894574071774,16779212
920,the boss baby,2017,english,united states,"adventure, animation, comedy, family, fantasy",125000000,175003033,0.331466522870521,352962903,0.6685334771294791,527965936
921,the bounce back,2016,english,united states,"comedy, romance",3000000,321910,0.7638987764710349,99494,0.236101223528965,421404
922,the boxtrolls,2014,english,united states,"adventure, animation, comedy, family, fantasy",60000000,50837305,0.454122443099948,61108946,0.545877556900052,111946251
928,the brothers grimsby,2016,english,"united kingdom,united states","action, adventure, comedy, crime",35000000,6874837,0.2392804764672774,21856454,0.7607195235327225,28731291
929,the butler,2013,english,united states,"biography, drama",30000000,116632095,0.6577722562421046,60681700,0.3422277437578954,177313795
930,the bye bye man,2017,english,united states,"drama, fantasy, horror, mystery, thriller",7400000,22395806,0.7180967692836352,8791921,0.2819032307163648,31187727
934,the christmas candle,2013,english,"united kingdom,united states","drama, family",7000000,2258620,0.9119197343319436,218155,0.0880802656680562,2476775
938,the conjuring,2013,english,united states,"horror, mystery, thriller",20000000,137400141,0.4300546070510266,182094497,0.5699453929489734,319494638
939,the conjuring 2,2016,english,united states,"horror, mystery, thriller",40000000,102500000,0.3189172370877411,218900000,0.6810827629122589,321400000
940,the counselor,2013,english,"united kingdom,united states","action, adventure, crime, drama, mystery, thriller",25000000,16973715,0.2390349837670636,54035619,0.7609650162329363,71009334
941,the curse of downers grove,2015,english,united states,"drama, horror, mystery, thriller",2000000,33462,0.5,33462,0.5,66924
943,the d train,2015,english,united states,"comedy, drama",3000000,673151,0.8688285706910349,101629,0.1311714293089651,774780
945,the darkest minds,2018,english,united states,"action, adventure, drama, romance, sci-fi, thriller",34000000,12695691,0.3085794090808409,28446688,0.6914205909191591,41142379
951,the dilemma,1914,english,united states,"short film, silent film",70000000,48475290,0.6871359910890441,22071575,0.3128640089109558,70546865
952,the disappointments room,2016,english,united states,"drama, horror, thriller",15000000,2423468,0.4218365755503878,3321572,0.5781634244496122,5745040
954,the divergent series: insurgent,2015,english,united states,"action, adventure, sci-fi, thriller",110000000,130179072,0.4383096444159211,166823455,0.5616903555840789,297002527
957,the duff,2015,english,united states,"comedy, romance",8500000,34030343,0.7785527867653491,9679401,0.2214472132346508,43709744
960,the emoji movie,2017,english,united states,"adventure, animation, comedy, family, fantasy, sci-fi",50000000,86089513,0.3953110426725921,131687133,0.6046889573274078,217776646
962,the equalizer 2,2018,english,united states,"action, crime, thriller",77000000,102084362,0.5360077879947913,88368770,0.4639922120052087,190453132
963,the expendables 3,2014,english,united states,"action, adventure, comedy, crime, thriller",100000000,39322544,0.1831873095259991,175335033,0.8168126904740008,214657577
967,the favourite,2018,english,"ireland,united kingdom,united states","biography, comedy, drama, history",15000000,34366783,0.3582907279837574,61551923,0.6417092720162426,95918706
969,the fighter,1952,english,united states,"drama, black-and-white",11000000,93617009,0.7242401324041762,35645379,0.2757598675958237,129262388
970,the first purge,2018,english,united states,"action, horror, sci-fi, thriller",13000000,69488745,0.5070089026650968,67567517,0.4929910973349032,137056262
971,the florida project,2017,english,united states,drama,2000000,5904366,0.5389812953864364,5050311,0.4610187046135637,10954677
972,the fog,1923,english,united states,silent film,18000000,29550869,0.6396093740124765,16650563,0.3603906259875235,46201432
975,the gallows,2015,english,united states,"horror, mystery, thriller",100000,22764410,0.5298434215668271,20200000,0.4701565784331729,42964410
988,the good liar,2019,english,"united kingdom,united states","crime, drama, mystery, thriller",10000000,17156058,0.5067352495674482,16700000,0.4932647504325518,33856058
992,the grand budapest hotel,2014,english,"united states,germany","adventure, comedy, crime",31000000,59301324,0.342907210322403,113635617,0.657092789677597,172936941
994,the great new wonderful,2005,english,united states,"comedy, drama, romance",500000,150142,0.774055514311639,43826,0.2259444856883609,193968
996,the greatest movie ever sold,2011,english,united states,"comedy, documentary",1800000,638476,0.914395867376824,59773,0.0856041326231759,698249
997,the greatest showman,2017,english,united states,"biography, drama, musical",84000000,174340174,0.4007882900546513,260653009,0.5992117099453488,434993183
1005,the happytime murders,2018,english,united states,"action, comedy, crime, fantasy, horror, mystery, thriller",40000000,20706452,0.7527852737968532,6800000,0.2472147262031468,27506452
1007,the hateful eight,2015,english,united states,"crime, drama, mystery, thriller, western",62000000,54117416,0.3474407765114866,101642701,0.6525592234885135,155760117
1012,the homesman,2014,english,"united states,france","drama, western",16000000,2429989,0.6362192070473509,1389432,0.3637807929526491,3819421
1019,the hunger games: mockingjay - part 1,2014,english,united states,"action, adventure, sci-fi, thriller",125000000,337135885,0.4440908548161877,422023826,0.5559091451838123,759159711
1023,the hurricane heist,2018,english,united states,"action, adventure, crime, thriller",40000000,6115825,0.1880794155766195,26401423,0.8119205844233804,32517248
1027,the imitation game,2014,english,united states,"biography, drama, thriller, war",15000000,91125683,0.3901667990918894,142430025,0.6098332009081106,233555708
1032,the internship,2013,english,united states,comedy,58000000,44672764,0.4778201420421011,48820080,0.5221798579578989,93492844
1044,the legend of hercules,2014,english,united states,"action, adventure, fantasy",70000000,18848538,0.3075833315219594,42430914,0.6924166684780406,61279452
1046,the lego batman movie,2017,english,"australia,denmark,united states","action, adventure, animation, comedy, family, fantasy, sci-fi",80000000,175750384,0.563031131814978,136400000,0.436968868185022,312150384
1047,the lego movie,2014,english,"australia,denmark,united states","action, adventure, animation, comedy, family, fantasy, sci-fi",60000000,257784718,0.5507223544948118,210300000,0.4492776455051882,468084718
1048,the lego movie 2: the second part,2019,english,"australia,denmark,united states","adventure, animation, comedy, family, fantasy, musical, sci-fi",99000000,105806508,0.5501972299346208,86500000,0.4498027700653791,192306508
1049,the lego ninjago movie,2017,english,"denmark,united states","adventure, animation, comedy, drama, family, fantasy, sci-fi, thriller",70000000,59281555,0.4793079695674913,64400000,0.5206920304325087,123681555
1050,the life before her eyes,2007,english,united states,"drama, fantasy, mystery, thriller",13000000,303439,0.0418623740944665,6945051,0.9581376259055334,7248490
1055,the magnificent seven,2016,english,united states,"action, adventure, drama, western",90000000,93432655,0.5754637164638847,68927981,0.4245362835361152,162360636
1061,the meg,2018,english,united states,"action, horror, sci-fi, thriller",178000000,145443742,0.2746653553420409,384086973,0.725334644657959,529530715
1063,the monuments men,2014,english,"germany,united states","comedy, drama, war",70000000,78031620,0.4916841137495615,80671128,0.5083158862504384,158702748
1068,the neon demon,2016,english,"france,denmark,united states","horror, thriller",7500000,1333124,0.4337196213033152,1740576,0.5662803786966848,3073700
1069,the nice guys,2016,english,united states,"action, comedy, crime, thriller",50000000,36261763,0.5088530156067006,35000000,0.4911469843932994,71261763
1071,the november man,2014,english,"united states,united kingdom","action, adventure, crime, mystery, thriller",15000000,25018119,0.6307843803523475,14643800,0.3692156196476524,39661919
1073,the nut job,2014,english,"canada,south korea,united states","adventure, animation, comedy, crime, family",30000000,64251541,0.5243740900644478,58278428,0.4756259099355521,122529969
1076,the nutcracker: the untold story,2010,english,"united kingdom,russia,hungary","action, family, fantasy, musical",90000000,195459,0.0113784538158794,16982534,0.9886215461841206,17177993
1081,the peanut butter falcon,2019,english,united states,"adventure, comedy, drama",6200000,20457158,0.862730866865128,3254939,0.137269133134872,23712097
1082,the peanuts movie,2015,english,united states,"adventure, animation, comedy, drama, family",99000000,130178411,0.5205229035872095,119913199,0.4794770964127905,250091610
1085,the perfect wave,2014,english,"south africa,new zealand,indonesia","adventure, biography, drama, romance",4000000,111486,0.5,111486,0.5,222972
1088,the possession,2012,english,united states,"horror, mystery, thriller",14000000,49130588,0.5749864865748933,36315921,0.4250135134251067,85446509
1097,the purge: anarchy,2014,english,united states,"action, horror, sci-fi, thriller",9000000,71962800,0.6428973581136024,39972331,0.3571026418863975,111935131
1098,the purge: election year,2016,english,united states,"action, horror, sci-fi, thriller",10000000,79213375,0.6674216048101919,39472287,0.3325783951898082,118685662
1106,the second best exotic marigold hotel,2015,english,"united kingdom,united states","comedy, drama, romance",10000000,33078266,0.3659735574005514,57306040,0.6340264425994486,90384306
1107,the secret life of pets,2016,english,united states,"adventure, animation, comedy, family",75000000,368623860,0.4155896158945023,518366204,0.5844103841054977,886990064
1113,the shape of water,2017,"american sign language,english","united states,mexico","drama, fantasy, romance, sci-fi",19500000,63859435,0.3261615814275721,131931359,0.6738384185724279,195790794
1115,the skeleton twins,2014,english,united states,"comedy, drama, romance",1000000,5284309,0.9147720820407712,492331,0.0852279179592288,5776640
1116,the smurfs 2,2013,english,united states,"family film, fantasy, comedy, animation",110000000,71017784,0.2037535179958803,277529739,0.7962464820041197,348547523
1119,the spectacular now,2013,english,united states,"drama, romance",2500000,6854611,0.9907524523418136,63980,0.0092475476581864,6918591
1121,the spy who dumped me,2018,english,united states,"action, adventure, comedy",40000000,33600000,0.4456233421750663,41800000,0.5543766578249337,75400000
1129,the to do list,2013,english,united states,"comedy, romance",1500000,3491669,0.8931022540436403,417927,0.1068977459563596,3909596
1130,the transporter refueled,2015,english,"china,france","action, thriller",22000000,16029670,0.2207041557534269,56600000,0.779295844246573,72629670
1132,the twilight saga: breaking dawn - part 2,2012,english,united states,"adventure, drama, fantasy, romance",120000000,292324737,0.3444812889473965,556269211,0.6555187110526034,848593948
1133,the twilight saga: eclipse,2010,english,united states,"action, adventure, drama, fantasy, mystery, romance, thriller",68000000,300531751,0.4256203757903657,405571077,0.5743796242096343,706102828
1134,the twilight saga: new moon,2009,english,united states,"adventure, drama, fantasy, romance",50000000,296623634,0.4178813160655089,413203828,0.5821186839344911,709827462
1135,the upside,2017,english,united states,"comedy, drama",37500000,108252517,0.8601287358316453,17603663,0.1398712641683547,125856180
1136,the vatican tapes,2015,"english,aramaic",united states,"horror, thriller",13000000,1784763,0.1371231838561301,11231001,0.8628768161438698,13015764
1139,the water diviner,2014,"english,turkish","australia,united states","drama, history, war",22500000,4196641,0.1185604306352119,31200000,0.8814395693647881,35396641
1141,the wedding date,2005,english,united states,"comedy, romance",15000000,31726995,0.6736635006225342,15369211,0.3263364993774658,47096206
1142,the wedding ringer,2015,english,united states,"comedy, romance",23000000,64460211,0.8040280375608339,15711385,0.1959719624391661,80171596
1150,think like a man too,2014,english,united states,"comedy, romance",24000000,65182182,0.9287668241803232,4999246,0.0712331758196769,70181428
1151,this is 40,2012,english,united states,"comedy, drama, romance",35000000,67544505,0.7486546230351981,22676677,0.2513453769648019,90221182
1152,this is the end,2013,english,united states,"comedy, fantasy",32000000,101470202,0.8018880201289851,25068915,0.1981119798710149,126539117
1153,this is where i leave you,2014,english,united states,"comedy, drama",20000000,34296320,0.8304933708378858,7000000,0.1695066291621142,41296320
1154,thor: ragnarok,2017,english,united states,"action, adventure, comedy, fantasy, sci-fi",180000000,315058289,0.3689305947522533,538918837,0.6310694052477467,853977126
1156,"three billboards outside ebbing, missouri",2017,english,"united states,united kingdom","comedy, crime, drama",12000000,54513740,0.3403026925547397,105678175,0.6596973074452602,160191915
1157,tiger zinda hai,2017,hindi,india,"action, adventure, thriller",20470000,5600000,0.0640732265446224,81800000,0.9359267734553776,87400000
1159,to save a life,2009,english,united states,drama,500000,3777210,0.9875399621634,47658,0.0124600378365998,3824868
1162,top five,2014,english,united states,"comedy, romance",12000000,25317471,0.9693691628871725,800000,0.0306308371128276,26117471
1163,toy story 4,2019,english,united states,"adventure, animation, comedy, family, fantasy",200000000,434038008,0.4041919136523806,639803386,0.5958080863476194,1073841394
1167,transformers: age of extinction,2014,english,united states,"action, adventure, sci-fi",210000000,245439076,0.2223071154072968,858614996,0.7776928845927031,1104054072
1168,transformers: the last knight,2017,english,united states,"action, adventure, sci-fi",217000000,130168683,0.2150037564428463,475256474,0.7849962435571537,605425157
1176,tulip fever,2017,english,"united states,united kingdom","drama, history, romance",25000000,2455635,0.2667849342754327,6748914,0.7332150657245673,9204549
1177,two night stand,2014,english,united states,"comedy, romance",1600000,18612,0.037803758439427,473720,0.9621962415605728,492332
1178,uglydolls,2019,"english,spanish","united states,canada,china","adventure, animation, comedy, family, fantasy, musical",45000000,20150241,0.6209581309426947,12300000,0.3790418690573053,32450241
