Feature,Coefficient,Std_Error,t_value,p_value
const,-0.25845867524639826,0.21487616072814056,-1.2028261970549536,0.22928446274203645
Budget(USD)_Inflated,0.2161195347843249,0.038300020308846446,5.642804704581479,2.092619571488994e-08
Runtime(mins),0.009149950226091826,0.03312709534954727,0.2762074407533854,0.7824370275941703
Audience_Score,-0.07897090164951548,0.034722274906693086,-2.2743585165928457,0.023123026758821767
Critics_Score,0.14017782241921864,0.034486778053861,4.064683056222032,5.127671188424032e-05
emotion_score,0.0015180558942741815,0.025235743843273532,0.060154989038645364,0.9520423631315134
drama,-0.06407612322675943,0.06007045472549219,-1.0666828396683894,0.2863328994078216
comedy,-0.2316259844076604,0.06053749469605106,-3.8261574181524507,0.00013696632238235923
thriller,0.14223705834447,0.0726549897991673,1.9577052964654078,0.05049961514482408
action,-0.018093392230172173,0.08068842391262424,-0.2242377698412491,0.8226110491019962
adventure,0.08566450373416913,0.07759427286400154,1.1040054964405965,0.26981544938019747
romance film,0.18501219776657202,0.06293064024894655,2.9399382722738006,0.003346622377767171
horror,0.06394657130002084,0.09339142126367614,0.6847156883872412,0.49365758390770365
fantasy,0.19274839946932026,0.08575997943700546,2.247533181965168,0.02478978694384332
mystery,0.18841238367063898,0.09284180044329271,2.0293917478013612,0.042642101841168234
crime,0.023967010658777606,0.0713818481016591,0.335757777308382,0.7371131191437434
indie,-0.08807544709007374,0.08190570769408363,-1.0753273437186328,0.28244764477646844
biography,0.032533439889160076,0.10989383973443718,0.29604425478059937,0.7672482874624511
family,-0.08435965200102521,0.09769384721130203,-0.8635103889251461,0.38803209185101173
sci-fi,0.08061944783063754,0.09051490309010124,0.8906759558742114,0.37328429172734945
period piece,-0.05135668940897043,0.08972695108982291,-0.5723663713654866,0.5671826377557854
animation,0.42100486937283976,0.14525187167170583,2.8984471217306105,0.0038193961025825367
teen,-0.09496594414039564,0.0920182793029373,-1.0320334705211582,0.30226755371530734
film adaptation,0.06984412136086927,0.09286049721099968,0.7521402906358332,0.4521164431701482
musical,0.06722407301100991,0.1076801291015137,0.624294134599667,0.5325549084073995
history,-0.09283289995754476,0.15517956939217156,-0.5982288797498619,0.5498018322082687
coming of age,-0.17893999306225716,0.10790125727352794,-1.6583680077855552,0.09750853062343713
sports,-0.48157316769916014,0.10636679220699932,-4.527476646677241,6.572641136376739e-06
war film,0.30914290264896405,0.12852262356466262,2.4053578589875837,0.01630952938770749
Worldwide_profit,0.001719341841084079,0.0013981379697615706,1.2297368916869373,0.21904036067047594
Rating_pg,-0.13642461031481706,0.1879563503910187,-0.7258313434528997,0.4680858567526597
Rating_pg-13,-0.007291626551888364,0.18981096070221595,-0.038415202815014454,0.9693631267725029
Rating_r,0.2185145098337674,0.19186794951835848,1.1388796846075604,0.2549841008615483
Month_Aug,-0.19312622512841804,0.11689026356466381,-1.6522011264144376,0.09875914805301635
Month_Dec,0.31411080136431435,0.11601222260927448,2.707566446875427,0.006875585084649354
Month_Feb,-0.058525993516617345,0.11952727606743643,-0.48964550554634406,0.6244756273015202
Month_Jan,0.03300157562491908,0.11655678124768207,0.28313732819020665,0.777121146605348
Month_Jul,0.028991911146133288,0.1236886999058985,0.23439417803073467,0.8147195717990201
Month_Jun,0.10919917938981004,0.12504248729789497,0.8732966030150966,0.38267880974324564
Month_Mar,-0.11210592720433737,0.11928262206701107,-0.9398345313146961,0.347494460040351
Month_May,0.020854718133777553,0.12928746372139324,0.1613050293779312,0.8718807279738467
Month_Nov,0.18450501140930237,0.11825616574364561,1.5602147274863474,0.11897683307498287
Month_Oct,0.04731420775679352,0.10936271166064485,0.43263564919284975,0.6653584090818102
Month_Sep,-0.04759332588968601,0.115027901104481,-0.41375462329314794,0.6791288786276409
emotion_disgust,0.00535725910416375,0.09738513352978538,0.05501105671868515,0.9561389516918428
emotion_fear,-0.026655091993001617,0.09007245100837571,-0.29592946227834965,0.7673359315160426
emotion_joy,-0.02851924868683177,0.1364452949527425,-0.20901599206267496,0.8344717690740419
emotion_neutral,-0.03457321397719848,0.08387396926989484,-0.4122043379865171,0.6802644024100828
emotion_sadness,-0.10808772845064982,0.10117186551969964,-1.0683575705105839,0.28557738573770675
emotion_surprise,-0.1113322669272766,0.1561558314015953,-0.7129561920806963,0.47601358946361383
