Feature,Coefficient,Std_Error,t_value,p_value
const,-0.04233737496562982,0.12098936867243643,-0.3499264061808023,0.7264461894453289
Budget(USD)_Inflated,0.26810588388578893,0.03547430002718808,7.557749798595271,7.34673441183668e-14
Runtime(mins),0.08694770473682704,0.03372254728490451,2.578325534018841,0.010028708863092943
Audience_Score,-0.22678898349501786,0.036347802783020924,-6.23941383331587,5.795943421923731e-10
Critics_Score,0.0737804937099114,0.03512662015232241,2.1004153940792216,0.03586954430105783
drama,-0.0005977563518597892,0.060628300922359935,-0.009859361762838624,0.9921348896538593
comedy,-0.23309746581075919,0.061436133014613106,-3.7941428663049965,0.00015442618091903332
thriller,0.1970935356858774,0.06738110082265927,2.9250566298198226,0.003499008147207104
action,0.16945397665860853,0.0704907615176965,2.4039175206820205,0.016348804883792513
adventure,0.30339671423977327,0.07590335228500084,3.9971451208186903,6.742761015340725e-05
romance film,0.08418762444605836,0.07135115317907247,1.1799055893990915,0.23823679326227887
horror,0.09229047043491359,0.08631009067185269,1.069289462176538,0.28512227533969936
fantasy,-0.025159801081121223,0.08316850494381164,-0.30251597161833194,0.7623033794817925
mystery,0.06193640919327323,0.08331155339370218,0.7434312129625377,0.4573445069277653
crime,-0.0932189238325756,0.07680860389869396,-1.2136521053751463,0.2250838555096434
indie,0.285354543307469,0.18067429470160049,1.579386507520382,0.11447172460393316
biography,-0.0845715756618853,0.10080806217518047,-0.8389366270618316,0.401647077427015
family,-0.06347812070165221,0.14190519204476904,-0.44732768256728606,0.6547071903694139
sci-fi,-0.03774559507764433,0.0789674277580309,-0.4779894210724832,0.6327318290691974
period piece,-0.2606415690362195,0.21989910180800415,-1.1852780065640647,0.23610726827196477
animation,0.5350999183696974,0.14835146971196703,3.606974163509299,0.0003206027973722597
teen,-0.11014250898502817,0.32093830913803534,-0.34318903617597096,0.7315074124879942
film adaptation,0.15997863757961106,0.23934941171527366,0.6683895165362644,0.5039943854364056
musical,0.0006377790070260323,0.11175203194950156,0.005707090921749248,0.995447232302793
history,-0.0657993906432334,0.13743344691621578,-0.4787727596132184,0.6321745310197993
coming of age,-0.240066308480072,0.4160926227924682,-0.5769540129525639,0.5640626211594801
sports,-0.48853975861979193,0.15708250960246162,-3.1100837378787083,0.0019078171320920697
war,-0.012386537490453736,0.1621956965345328,-0.07636785534452536,0.9391372766968163
Rating_pg,-0.2554613914399467,0.11456152619122827,-2.2299056230581784,0.025910637545448045
Rating_pg-13,-0.10090156115673585,0.057155577867478435,-1.7653843233058957,0.07771561403899524
Month_Aug,-0.026614972084335248,0.11233266382760144,-0.23692994697590034,0.8127455538351143
Month_Dec,0.38429214233671394,0.11865675551025524,3.2386874281549054,0.001228773351959774
Month_Feb,-0.028099471038488533,0.12502627907842845,-0.22474851883628286,0.8222074823872898
Month_Jan,0.06087541893905549,0.11912096369034027,0.511038670718813,0.6094039855425089
Month_Jul,0.1905710906149088,0.11966507137770559,1.5925373078448142,0.11148816660566065
Month_Jun,-0.013602117648911366,0.11743878631898284,-0.11582304343614215,0.9078092800847525
Month_Mar,-0.16726867387622843,0.11423276574873603,-1.4642792965737086,0.14334056081740054
Month_May,0.09454043776005217,0.12122429167377574,0.7798803066176542,0.4355922183992832
Month_Nov,0.3500956654100357,0.11523156502994505,3.038192402568314,0.0024237635940542977
Month_Oct,0.25835681903129115,0.10966349145546929,2.3559054668271373,0.018613879840796956
Month_Sep,0.15785069893711598,0.11556823453718239,1.3658657984113258,0.17219890965091764
emotion_disgust,0.23868199163322357,0.10504456304397591,2.272197481875398,0.023224621351212397
emotion_fear,0.044282879982280005,0.08058121498272411,0.5495434635947579,0.5827195708514717
emotion_joy,0.184855246370088,0.12974025595190503,1.4248102488607253,0.15443335509164569
emotion_neutral,0.07218519071816129,0.08092607519772006,0.8919892697353371,0.3725508780595205
emotion_sadness,0.08240566218056422,0.10052356436535657,0.8197646263423154,0.4124888474807259
emotion_surprise,-0.36285747945731295,0.15114561099786328,-2.4007146291693684,0.016491988565757735
