Feature,Coefficient,Std_Error,t_value,p_value
const,0.2410494968227192,0.18374551711115697,1.311866001481256,0.1896793695421586
Budget(USD)_Inflated,-0.2361697090960287,0.025961818696415964,-9.096809120257511,1.7825272349023185e-19
Runtime(mins),-0.056046639241707705,0.023880195198169137,-2.346992508922403,0.018999127175888288
Audience_Score,0.15538136099807925,0.025028763309026154,6.208111806388927,6.208072916970245e-10
Critics_Score,-0.1167907085705423,0.024549675339377408,-4.757321917948597,2.067337350299347e-06
drama,0.04639038492601852,0.043001158358585895,1.078817099278348,0.28076778893901927
comedy,0.2761665528880537,0.043452226284335316,6.3556364426743475,2.4368031751254585e-10
thriller,-0.11932888866532138,0.049402138078901904,-2.4154600044786925,0.01578283321397606
action,-0.0931116691501353,0.05302772032987888,-1.7559055635599483,0.07922044181926015
adventure,-0.1173749782888131,0.05346638264723715,-2.1953042730276873,0.028228503259092163
romance film,-0.10837497045871636,0.04787788369462512,-2.2635706112232103,0.023681358870683077
horror,-0.030817554440556852,0.06344639247276115,-0.4857258740721541,0.627201830160919
fantasy,-0.10115224738834117,0.0603545588656096,-1.6759669739874172,0.09386302720314184
mystery,-0.16734066782752338,0.06213124024543246,-2.693341822350397,0.00711868783808228
crime,0.07391241747748162,0.052717931169500166,1.4020356231324091,0.16102212930129206
indie,0.05483764330889827,0.07264786874629718,0.7548417352806832,0.4504112538242969
biography,0.04068298201361996,0.07433843978755891,0.5472670953262131,0.5842414872163484
family,0.10332959254181417,0.08218403256045473,1.257295235127392,0.20875792023624803
sci-fi,-0.0390333551871098,0.059884421001625714,-0.6518115151526661,0.5145794899876366
period piece,0.13396065511398383,0.08290753653315998,1.6157838082718148,0.10626050487265393
animation,-0.5773662470785041,0.10245047414831383,-5.635564421524023,1.9295725964805716e-08
teen,0.18282551936894875,0.09017306053697649,2.027495998031242,0.042711945842295033
film adaptation,0.007081969996692257,0.08865028517026434,0.07988660141465329,0.9363334988912101
musical,-0.014361772099928734,0.07840179179539616,-0.18318168208972072,0.8546695278715135
history,0.0666972808936622,0.10433846698253851,0.6392396095375282,0.5227225064384001
coming of age,0.2063554681298665,0.10781355418502311,1.914003018356409,0.0557277408276133
sports,0.5649036005305653,0.09014915659891189,6.266321525823169,4.3028802319115996e-10
war,-0.08104302966730122,0.10198619121992643,-0.7946470860210606,0.42689022197852267
Rating_pg,-0.009288925388341918,0.16832982429804616,-0.05518288530911118,0.9559969377243416
Rating_pg-13,-0.15095694742225654,0.1702904683112577,-0.886467392563257,0.3754464292557328
Rating_r,-0.3171344662879493,0.1714733472828665,-1.849467986210106,0.06450192744425284
Month_Aug,0.12285127953346522,0.08222345223720536,1.4941148320925906,0.13526506990868492
Month_Dec,-0.33919725220050256,0.0842599024577601,-4.025606988692442,5.842787828462065e-05
Month_Feb,0.054726118696999594,0.08796460697704453,0.6221379322627004,0.5339048795317846
Month_Jan,-0.06080517849961397,0.08458420726345363,-0.7188715301217479,0.4722836764260494
Month_Jul,-0.10005273792605576,0.08716038254230817,-1.1479153143630316,0.25110749343123173
Month_Jun,-0.034112551388188195,0.08672065557524075,-0.39336131815322123,0.6940843866243058
Month_Mar,0.1346069897182645,0.08390338123784319,1.60430947754883,0.10876542088369802
Month_May,-0.07450913045696592,0.08959795770609227,-0.8315940716124115,0.40571328978718235
Month_Nov,-0.24936270377851535,0.08369025690049497,-2.9795906120230886,0.0029126502625921214
Month_Oct,-0.14470834696935175,0.07889449784369586,-1.8342007481439953,0.06673664781057301
Month_Sep,-0.05937135123673007,0.08309113243693392,-0.7145329410667602,0.474960844334962
emotion_disgust,-0.07780641576131866,0.07206281482000085,-1.0797027004241262,0.2803731830088263
emotion_fear,-0.014086147468654373,0.060538509165969374,-0.2326807789408307,0.8160273256607902
emotion_joy,-0.03325229192675438,0.09515380966975633,-0.34945833532215664,0.7267731066373806
emotion_neutral,0.004177031192242223,0.05898292639904446,0.07081763227519162,0.9435482603977755
emotion_sadness,0.028940158419362087,0.07226789778266024,0.40045662468828463,0.6888526153736918
emotion_surprise,0.28673277173665357,0.11033912345744924,2.598650077614837,0.009411164448043421
