Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Dolphin ,1979,,United States,Documentary,"$170,000 (worldwide box office is 0.1 times production budget)",,,"$14,000",,
Lumea e a mea ,2015,Romanian,Romania,Drama,"$168,000 (worldwide box office is 0.2 times production budget)",104 minutes,Not Rated,n/a,"$29,678","$29,678"
The Horse Boy ,2009,English,"United Kingdom, United States",Documentary,"$160,000 (worldwide box office is 1.0 times production budget)",93 minutes,Not Rated,"$156,612",,
The Calling ,2002,,,Drama,"$160,000 (worldwide box office is 0.2 times production budget)",,PG for thematic elements,"$32,092",,
Sweet Sweetback's Baad Asssss Song ,1971,,United States,,"$150,000 (worldwide box office is 101.3 times production budget)",,R,"$15,200,000",,
Once ,2007,English,Ireland,Drama,"$150,000 (worldwide box office is 153.8 times production budget)",82 minutes,R for language.,"$9,445,857","$13,622,522","$23,068,379"
Tadpole ,2002,,,Comedy,"$150,000 (worldwide box office is 21.8 times production budget)",78 minutes,"PG-13 for sexual content, mature thematic elements and language","$2,891,288","$378,840","$3,270,128"
Mad God ,2022,English,United States,Horror,"$150,000 (worldwide box office is 2.2 times production budget)",85 minutes,,"$325,042","$3,967","$329,009"
The Woman Chaser ,2000,,,,"$150,000 (worldwide box office is 0.7 times production budget)",,R for sexual content and some language,"$110,719",,
Antarctic Edge: 70º South ,2015,English,United States,Documentary,"$150,000 (worldwide box office is 0.0 times production budget)",72 minutes,Not Rated,"$7,193",,
Top Spin ,2015,"English, Mandarin",United States,Documentary,"$150,000 (worldwide box office is 0.0 times production budget)",81 minutes,Not Rated,"$5,858",,
Speak No Evil ,2014,English,United States,Horror,"$150,000 (worldwide box office is 39.5 times production budget)",74 minutes,"R for disturbing horror violence.(Rating bulletin 2333, 7/30/2014)",n/a,"$5,930,120","$5,930,120"
A Charlie Brown Christmas ,2009,English,United States,Adventure,"$150,000",25 minutes,Not Rated,n/a,,
Aroused ,2013,English,United States,Documentary,"$150,000",73 minutes,Not Rated,n/a,,
