Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
How High ,2001,English,United States,Comedy,"$12,000,000 (worldwide box office is 2.6 times production budget)",94 minutes,"R for pervasive drug use and language, and for sexual dialogue.","$31,155,435","$66,960","$31,222,395"
Spartacus ,1960,English,United States,Drama,"$12,000,000 (worldwide box office is 5.0 times production budget)",197 minutes,"PG-13 Rating is for 1991 film released from Universal City Studios, Inc.","$30,000,000","$30,000,000","$60,000,000"
Crank ,2006,English,United States,Action,"$12,000,000 (worldwide box office is 3.7 times production budget)",88 minutes,"R for strong violence, pervasive language, sexuality, nudity and drug use.","$27,838,408","$16,086,515","$43,924,923"
The Muppet Christmas Carol ,1992,English,United States,Comedy,"$12,000,000 (worldwide box office is 2.6 times production budget)",85 minutes,G,"$27,379,507","$4,345,043","$31,724,550"
Hell or High Water ,2016,English,United States,Western,"$12,000,000 (worldwide box office is 3.1 times production budget)",102 minutes,"R for some strong violence, language throughout and brief sexuality.(Rating bulletin 2422 (Cert #50365), 4/27/2016)","$27,007,844","$10,558,273","$37,566,117"
Frida ,2002,"English, French, Russian, Spanish",United States,Drama,"$12,000,000 (worldwide box office is 4.7 times production budget)",123 minutes,R for sexuality/nudity and language.,"$25,885,000","$30,246,239","$56,131,239"
Katy Perry: Part of Me ,2012,English,United States,Concert/Performance,"$12,000,000 (worldwide box office is 2.7 times production budget)",95 minutes,"PG for some suggestive content, language, thematic elements and brief smoking.(Rating bulletin 2228, 6/20/2012)PG for some suggestive content, language and thematic elements. (Rating bulletin 2233, 7/25/2012)","$25,326,071","$7,374,368","$32,700,439"
Top Five ,2014,English,United States,Comedy,"$12,000,000 (worldwide box office is 2.2 times production budget)",101 minutes,"R for strong sexual content, nudity, crude humor, language throughout and some drug use.(Rating bulletin 2348, 11/12/2013)","$25,317,379","$684,362","$26,001,741"
Rounders ,1998,"English, French",United States,Drama,"$12,000,000 (worldwide box office is 1.9 times production budget)",121 minutes,"R for pervasive strong language, some sexuality and brief drug use","$22,921,898",,
Rudy ,1993,English,United States,Drama,"$12,000,000 (worldwide box office is 1.9 times production budget)",112 minutes,PG for mild language,"$22,750,363",,
Casino Royale ,1967,"English, French, Gaelic, German, Japanese","United Kingdom, United States",Comedy,"$12,000,000 (worldwide box office is 3.5 times production budget)",131 minutes,Not Rated,"$22,744,718","$19,000,000","$41,744,718"
Prophecy ,1979,English,United States,Horror,"$12,000,000 (worldwide box office is 1.9 times production budget)",102 minutes,PG,"$22,673,340",,
