Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
The Return of the Living Dead ,1985,English,United States,Horror,"$4,000,000 (worldwide box office is 3.6 times production budget)",91 minutes,R,"$14,237,880",$948,"$14,238,828"
They Live ,1988,English,United States,Thriller/Suspense,"$4,000,000 (worldwide box office is 3.4 times production budget)",93 minutes,R,"$13,447,978","$1,665","$13,449,643"
Saving Grace ,2000,English,United Kingdom,Comedy,"$4,000,000 (worldwide box office is 6.9 times production budget)",93 minutes,R for drug content and language,"$12,178,602","$15,608,247","$27,786,849"
The Great Escape ,1963,"English, French, German, Russian",United States,Drama,"$4,000,000 (worldwide box office is 3.0 times production budget)",172 minutes,Not Rated,"$11,744,471","$228,926","$11,973,397"
What the #$'! Do We Know ,2004,,,Documentary,"$4,000,000 (worldwide box office is 2.9 times production budget)",109 minutes,Not Rated,"$10,941,801","$762,967","$11,704,768"
The Lighthouse ,2019,English,"Canada, United States",Horror,"$4,000,000 (worldwide box office is 4.6 times production budget)",110 minutes,"R for sexual content, nudity, violence, disturbing images, and some language(Rating bulletin 2581 (Cert #52246), 6/5/2019)","$10,867,104","$7,395,360","$18,262,464"
The Darkness ,2005,English,United States,Horror,"$4,000,000 (worldwide box office is 2.7 times production budget)",92 minutes,"PG-13 for thematic elements, some disturbing violence, brief sensuality and language.(Rating bulletin 2417 (Cert #50210), 3/23/2016)","$10,753,574","$150,921","$10,904,495"
Scoop ,2006,English,"United Kingdom, United States",Romantic Comedy,"$4,000,000 (worldwide box office is 10.0 times production budget)",96 minutes,PG-13 for some sexual content,"$10,525,717","$29,577,545","$40,103,262"
The Wash ,2001,English,United States,Comedy,"$4,000,000 (worldwide box office is 2.5 times production budget)",93 minutes,"R for pervasive language, drug use, some sexuality and violence.","$10,097,096",,
3 Strikes ,2000,English,United States,Comedy,"$4,000,000 (worldwide box office is 2.5 times production budget)",82 minutes,"R for pervasive language, strong sexual content, some drug use and a brief scene of violence.","$9,821,335",,
The Visitor ,2008,English,United States,Comedy,"$4,000,000 (worldwide box office is 4.8 times production budget)",103 minutes,PG-13 for brief strong language.,"$9,427,026","$9,747,791","$19,174,817"
Traffik ,2018,English,United States,Thriller/Suspense,"$4,000,000 (worldwide box office is 2.4 times production budget)",96 minutes,"R for violent and disturbing material, language throughout, some drug use and sexual content.(Rating bulletin 2520 (Cert #51515), 3/28/2018)","$9,186,156","$375,075","$9,561,231"
The Cooler ,2003,English,United States,Drama,"$4,000,000 (worldwide box office is 2.8 times production budget)",101 minutes,R,"$8,291,572","$2,839,883","$11,131,455"
The Misfits ,1961,English,United States,,"$4,000,000 (worldwide box office is 2.1 times production budget)",125 minutes,Not Rated,"$8,200,000",,
The Night Listener ,2006,,United States,Thriller/Suspense,"$4,000,000 (worldwide box office is 2.7 times production budget)",81 minutes,R for language and some disquieting sexual content,"$7,836,393","$2,934,600","$10,770,993"
The Jerky Boys ,1995,,United States,Comedy,"$4,000,000 (worldwide box office is 1.9 times production budget)",81 minutes,R for continuous use of strong language,"$7,555,256",,
El orfanato ,2007,Spanish,"Mexico, Spain",Horror,"$4,000,000 (worldwide box office is 19.8 times production budget)",105 minutes,R for some disturbing content,"$7,159,147","$72,091,046","$79,250,193"
Bug ,2007,English,"Germany, United States",Horror,"$4,000,000 (worldwide box office is 2.1 times production budget)",102 minutes,"R for some strong violence, sexuality, nudity, language and drug use.","$7,006,708","$1,296,287","$8,302,995"
The Rules of Attraction ,2002,,United States,Black Comedy,"$4,000,000 (worldwide box office is 2.9 times production budget)",110 minutes,"R for strong sexual content, drug use, language and violent images","$6,525,762","$5,273,298","$11,799,060"
Topaz ,1969,"English, French, Russian, Spanish",United States,Thriller/Suspense,"$4,000,000 (worldwide box office is 1.5 times production budget)",143 minutes,M/PG,"$6,000,000",,
Let's Go to Prison ,2006,,United States,Comedy,"$4,000,000 (worldwide box office is 1.2 times production budget)",90 minutes,"R for language, sexual content, some violence and drug material","$4,630,045",,
Four Rooms ,1995,,,Black Comedy,"$4,000,000 (worldwide box office is 1.1 times production budget)",98 minutes,"R for pervasive strong language, sexuality and some drug use","$4,301,000",,
Secretary ,2002,,United States,Drama,"$4,000,000 (worldwide box office is 2.4 times production budget)",107 minutes,"R for strong sexuality, some nudity, depiction of behavorial disorders, and language","$4,046,737","$5,365,278","$9,412,015"
The Real Cancun ,2003,English,United States,Documentary,"$4,000,000 (worldwide box office is 1.0 times production budget)",96 minutes,"R for strong sexuality/nudity, language and partying","$3,816,594","$371,440","$4,188,034"
Talk Radio ,1988,,United States,Thriller/Suspense,"$4,000,000 (worldwide box office is 0.9 times production budget)",110 minutes,,"$3,468,572",,
Sing Street ,2016,English,Ireland,Drama,"$4,000,000 (worldwide box office is 3.2 times production budget)",100 minutes,"PG-13 for thematic elements including strong language and some bullying behavior, a suggestive 
image, drug material and teen smoking.(Rating bulletin 2380, 7/1/2015)","$3,237,118","$9,419,954","$12,657,072"
Waiting for Guffman ,1997,,,Comedy,"$4,000,000 (worldwide box office is 0.7 times production budget)",84 minutes,R for brief strong language,"$2,922,988",,
Love Stinks ,1999,,United States,Black Comedy,"$4,000,000 (worldwide box office is 0.7 times production budget)",94 minutes,R for language and sexual content,"$2,793,776",,
Samsara ,2012,English,United States,Documentary,"$4,000,000 (worldwide box office is 1.5 times production budget)",99 minutes,"PG-13 for some disturbing and sexual images.(Rating bulletin 2228, 6/20/2012)","$2,672,413","$3,294,258","$5,966,671"
You Kill Me ,2007,English,United States,Black Comedy,"$4,000,000 (worldwide box office is 1.0 times production budget)",93 minutes,R for language and some violence,"$2,426,851","$1,432,113","$3,858,964"
Cafarnaúm ,2018,"Amharic, Arabic","Lebanon, United States",Drama,"$4,000,000 (worldwide box office is 16.3 times production budget)",126 minutes,"R for language and some drug material.(Rating bulletin 2552 (Cert #51889), 11/7/2018)","$1,660,708","$63,573,085","$65,233,793"
The Art of Getting By ,2011,English,United States,Romantic Comedy,"$4,000,000 (worldwide box office is 0.5 times production budget)",84 minutes,"PG-13 for thematic elements including sexual content, language, teen drinking and partying.(Rating bulletin 2169, 4/27/2011)","$1,430,241","$558,794","$1,989,035"
Thumbsucker ,2005,,United States,Comedy,"$4,000,000 (worldwide box office is 0.5 times production budget)",,"R for drug/alcohol use and sexuality involving teens, language and a disturbing image.","$1,328,679","$590,518","$1,919,197"
Beyond the Mask ,2015,English,United States,Action,"$4,000,000 (worldwide box office is 0.3 times production budget)",103 minutes,"PG for action, violence and some thematic elements(Rating bulletin 2364, 3/11/2015)","$1,236,094",,
Red State ,2011,English,United States,Horror,"$4,000,000 (worldwide box office is 0.5 times production budget)",97 minutes,"R for strong violence/disturbing content, some sexual content including brief nudity, and pervasive language.(Rating bulletin 2181, 7/20/2011)","$1,065,429","$918,167","$1,983,596"
MirrorMask ,2005,,United Kingdom,Drama,"$4,000,000 (worldwide box office is 0.2 times production budget)",,PG for some mild thematic elements and scary images,"$864,959","$108,654","$973,613"
The Barbarians ,1987,English,"Italy, United States",Action,"$4,000,000 (worldwide box office is 0.2 times production budget)",87 minutes,,"$800,000",,
Holy Motors ,2012,"English, French","France, Germany",Drama,"$4,000,000 (worldwide box office is 1.1 times production budget)",116 minutes,Not Rated,"$641,054","$3,589,372","$4,230,426"
The Signal ,2014,English,United States,Thriller/Suspense,"$4,000,000 (worldwide box office is 0.7 times production budget)",97 minutes,"PG-13 for some thematic elements, violence and language.(Rating bulletin 2309, 2/12/2014)","$600,896","$2,064,426","$2,665,322"
Poolhall Junkies ,2003,English,United States,Drama,"$4,000,000 (worldwide box office is 0.1 times production budget)",94 minutes,R for language and some sexual content,"$563,711",,
The Loss of Sexual Innocence ,1999,English,"United Kingdom, United States",Drama,"$4,000,000 (worldwide box office is 0.1 times production budget)",106 minutes,"R for strong sexual images, pervasive nudity, violence and language.","$399,793",,
The Face of Love ,2013,English,United States,Drama,"$4,000,000 (worldwide box office is 0.3 times production budget)",82 minutes,"PG-13 for brief drug references.(Rating bulletin 2301, 12/11/2013)","$385,069","$773,808","$1,158,877"
Joe ,2014,English,United States,Drama,"$4,000,000 (worldwide box office is 0.1 times production budget)",117 minutes,"R for violence, disturbing material, language and some strong sexual content.(Rating bulletin 2312, 3/5/2014)","$373,375",,
Prison ,1988,,United States,Horror,"$4,000,000 (worldwide box office is 0.1 times production budget)",,,"$354,704",,
Shooting Fish ,1998,,United States,,"$4,000,000 (worldwide box office is 0.1 times production budget)",,"PG for thematic elements, suggestive humor and language. ","$302,204",,
Adoration ,2009,English,Canada,Drama,"$4,000,000 (worldwide box office is 0.1 times production budget)",100 minutes,R for language.,"$294,244","$90,000","$384,244"
Psycho Beach Party ,2000,English,"Australia, United States",Comedy,"$4,000,000 (worldwide box office is 0.1 times production budget)",,Not Rated,"$267,972",,
The Big Tease ,2000,,,Comedy,"$4,000,000 (worldwide box office is 0.0 times production budget)",86 minutes,R for language. ,"$185,577",,
Polina danser sa vie ,2016,"French, Russian",France,Drama,"$4,000,000 (worldwide box office is 0.2 times production budget)",112 minutes,Not Rated,"$165,203","$788,111","$953,314"
Desert Dancer ,2014,English,United Kingdom,Drama,"$4,000,000 (worldwide box office is 0.1 times production budget)",94 minutes,"PG-13 for thematic elements, some drug material and violence.(Rating bulletin 2357, 1/21/2015)","$155,271","$441,064","$596,335"
"Guten Tag, Ramon ",2014,"German, Spanish","Germany, Mexico",Drama,"$4,000,000 (worldwide box office is 1.2 times production budget)",119 minutes,"PG-13 for some sexual material, language and an intense situation.","$154,356","$4,700,000","$4,854,356"
Mondays in the Sun ,2003,Spanish,,,"$4,000,000 (worldwide box office is 0.0 times production budget)",,R for language,"$146,402",,
Manglehorn ,2015,English,United States,Drama,"$4,000,000 (worldwide box office is 0.2 times production budget)",103 minutes,"PG-13 on appeal for some sexual content and language, and for accident and surgery images.(Rating bulletin 2372, 5/6/2015)","$132,270","$665,169","$797,439"
Tau ming chong ,2010,,China,Action,"$4,000,000 (worldwide box office is 9.7 times production budget)",,R For sequences of strong violence,"$129,078","$38,770,714","$38,899,792"
Trust ,2011,English,United States,Drama,"$4,000,000 (worldwide box office is 0.0 times production budget)",106 minutes,"R for disturbing material involving the rape of a teen, language, sexual content and some violence.(Rating bulletin 2150, 12/8/2010)","$120,016",,
Sweet Country ,2017,English,Australia,Western,"$4,000,000 (worldwide box office is 0.6 times production budget)",110 minutes,"R for violence, bloody images and for language throughout.(Rating bulletin 2508 (Cert #51383), 1/3/2018)","$85,556","$2,205,989","$2,291,545"
An Everlasting Piece ,2000,English,,Comedy,"$4,000,000 (worldwide box office is 0.0 times production budget)",103 minutes,R for language. ,"$75,078",,
Among Giants ,1999,,,Romantic Comedy,"$4,000,000 (worldwide box office is 0.0 times production budget)",,R for language and sexuality/nudity,"$64,359",,
The Velocity of Gary ,1999,,,,"$4,000,000 (worldwide box office is 0.0 times production budget)",,"R for strong sexual content, language, some drug use and violent images.","$34,145",,
Stake Land ,2011,English,United States,Horror,"$4,000,000 (worldwide box office is 0.2 times production budget)",98 minutes,"R for strong bloody horror violence, language and brief nudity.(Rating bulletin 2175, 6/8/2011)","$33,245","$646,237","$679,482"
Praia do Futuro ,2014,"German, Portuguese","Brazil, Germany",Drama,"$4,000,000 (worldwide box office is 0.2 times production budget)",107 minutes,Not Rated,"$20,620","$740,058","$760,678"
Sonny ,2002,English,United States,Drama,"$4,000,000 (worldwide box office is 0.0 times production budget)",,"R for strong sexuality, language, some drug use and violence","$17,639",,
The Last Time I Committed Suicide ,1997,English,United States,Drama,"$4,000,000 (worldwide box office is 0.0 times production budget)",92 minutes,R for sexuality. ,"$12,836",,
13 Sins ,2014,English,United States,Horror,"$4,000,000 (worldwide box office is 0.0 times production budget)",92 minutes,"R for violence, bloody images and language.(Rating bulletin 2299, 11/20/2013)","$9,134","$38,418","$47,552"
Another Happy Day ,2011,English,United States,Drama,"$4,000,000 (worldwide box office is 0.2 times production budget)",115 minutes,"R for teen drug/alcohol abuse, pervasive language(Rating bulletin 2188, 9/7/2011)","$9,120","$969,407","$978,527"
Inescapable ,2013,English,"Canada, South Africa",Thriller/Suspense,"$4,000,000 (worldwide box office is 0.0 times production budget)",93 minutes,"R for some violence and brief language.(Rating bulletin 2267, 4/10/2013)","$4,327",,
Perfectos Desconocidos ,2017,Spanish,Spain,Comedy,"$4,000,000 (worldwide box office is 7.8 times production budget)",97 minutes,,n/a,"$31,166,312","$31,166,312"
