Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Dangerous Liaisons ,1988,English,United States,Drama,"$14,000,000 (worldwide box office is 2.5 times production budget)",119 minutes,R,"$34,700,000",,
Jojo Rabbit ,2019,English,"Germany, United States",Black Comedy,"$14,000,000 (worldwide box office is 6.2 times production budget)",108 minutes,"PG-13 for mature thematic content, some disturbing images, violence, and language.(Rating bulletin 2576 (Cert #52154), 5/1/2019)","$33,370,906","$53,507,167","$86,878,073"
Superstar ,1999,English,,Comedy,"$14,000,000 (worldwide box office is 2.2 times production budget)",,PG-13 for sex-related humor and language,"$30,628,981",,
The Iron Lady ,2012,English,United Kingdom,Drama,"$14,000,000 (worldwide box office is 8.3 times production budget)",105 minutes,"PG-13 for some violent images and brief nudity.(Rating bulletin 2195, 10/26/2011)","$29,959,436","$85,632,668","$115,592,104"
Poetic Justice ,1993,,United States,Drama,"$14,000,000 (worldwide box office is 2.0 times production budget)",109 minutes,"R for pervasive strong language, and for violence and sexuality.","$27,450,453",,
Jonah: A VeggieTales Movie ,2002,English,United States,Adventure,"$14,000,000 (worldwide box office is 1.8 times production budget)",83 minutes,G for General Audiences,"$25,571,351","$37,428","$25,608,779"
All About the Benjamins ,2002,English,United States,Comedy,"$14,000,000 (worldwide box office is 1.8 times production budget)",98 minutes,"R for strong violence, pervasive language and brief sexuality.","$25,482,931","$390,214","$25,873,145"
Exorcist II: The Heretic ,1977,English,United States,Horror,"$14,000,000 (worldwide box office is 1.8 times production budget)",102 minutes,R,"$25,011,000",,
Our Family Wedding ,2010,English,United States,Comedy,"$14,000,000 (worldwide box office is 1.5 times production budget)",103 minutes,PG-13 for some sexual content and brief strong language.,"$20,255,281","$1,155,265","$21,410,546"
Vampire in Brooklyn ,1995,English,United States,Horror,"$14,000,000 (worldwide box office is 1.4 times production budget)",100 minutes,R for strong language and vampire violence,"$19,637,147",,
An American Haunting ,2006,English,"Canada, Romania, United Kingdom, United States",Horror,"$14,000,000 (worldwide box office is 2.2 times production budget)",83 minutes,PG-13 for intense terror sequences and thematic materials,"$16,298,046","$14,145,231","$30,443,277"
My Boss's Daughter ,2003,English,United States,Romantic Comedy,"$14,000,000 (worldwide box office is 1.1 times production budget)",86 minutes,"PG-13 for crude and sex-related humor, drug content and language","$15,549,702","$15,655","$15,565,357"
A Perfect Getaway ,2009,English,United States,Thriller/Suspense,"$14,000,000 (worldwide box office is 1.6 times production budget)",97 minutes,"R for graphic violence, language including sexual references and some drug use.","$15,515,460","$7,300,000","$22,815,460"
Thinner ,1996,,United States,Horror,"$14,000,000 (worldwide box office is 1.1 times production budget)",92 minutes,"R for horror violence and gore, language and sexuality","$15,171,475",,
Dead Man on Campus ,1998,,,Black Comedy,"$14,000,000 (worldwide box office is 1.1 times production budget)",,"R for drug use, language and crude sexual humor","$15,064,948",,
Tea with Mussolini ,1999,,,Drama,"$14,000,000 (worldwide box office is 1.0 times production budget)",,"PG for thematic elements, language, brief nudity and some mild violence","$14,395,874",,
"New York, New York ",1977,English,United States,Musical,"$14,000,000 (worldwide box office is 1.0 times production budget)",155 minutes,,"$13,800,000",$302,"$13,800,302"
Jason X ,2002,,United States,Horror,"$14,000,000 (worldwide box office is 1.2 times production budget)",,R,"$13,121,555","$3,830,243","$16,951,798"
