Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Room ,2015,English,"Canada, Ireland, United Kingdom, United States",Drama,"$13,000,000 (worldwide box office is 2.8 times production budget)",113 minutes,R,"$14,677,674","$21,639,053","$36,316,727"
Woodlawn ,2015,English,United States,Drama,"$13,000,000 (worldwide box office is 1.1 times production budget)",123 minutes,"PG for sexual content, language throughout, some violence and drug use.(Rating bulletin 2387, 7/17/2015)","$14,394,097","$9,794","$14,403,891"
Letters from Iwo Jima ,2006,Japanese,United States,Drama,"$13,000,000 (worldwide box office is 5.2 times production budget)",101 minutes,R for graphic war violence.,"$13,756,082","$54,111,916","$67,867,998"
Män som hatar kvinnor ,2009,Swedish,"Denmark, Sweden",Thriller/Suspense,"$13,000,000 (worldwide box office is 8.4 times production budget)",152 minutes,"R for disturbing violent content including rape, grisly images, sexual material, nudity and Language(Rating bulletin 2124, 6/9/2010)","$12,749,992","$96,671,919","$109,421,911"
The Astronaut Farmer ,2007,"English, Spanish",,Drama,"$13,000,000 (worldwide box office is 0.9 times production budget)",104 minutes,"PG for thematic material, peril and language","$11,003,643","$137,570","$11,141,213"
Mrs. Harris Goes to Paris ,2022,English,"Hungary, United Kingdom",Drama,"$13,000,000 (worldwide box office is 2.4 times production budget)",115 minutes,"PG for suggestive material, language and smoking.(Rating bulletin 2718 (cert #53187), 2/9/2022)","$10,433,915","$20,825,269","$31,259,184"
Dirty Work ,1998,,,Black Comedy,"$13,000,000 (worldwide box office is 0.8 times production budget)",82 minutes,PG-13 for crude sexual humor and language,"$10,020,081",,
Bajrangi Bhaijaan ,2015,Hindi,India,Action,"$13,000,000 (worldwide box office is 9.4 times production budget)",159 minutes,Not Rated,"$8,178,001","$113,600,346","$121,778,347"
Woo ,1998,,,Romantic Comedy,"$13,000,000 (worldwide box office is 0.6 times production budget)",,R for sexual content and language,"$8,064,972",,
Robinson Crusoe ,2016,"English, French, German","Belgium, France",Adventure,"$13,000,000 (worldwide box office is 3.3 times production budget)",91 minutes,"PG for mild action/peril and some rude humor.(Rating bulletin 2436 (Cert #50218), 8/3/2016)","$8,005,586","$34,440,869","$42,446,455"
Serial Mom ,1994,,United States,Black Comedy,"$13,000,000 (worldwide box office is 0.6 times production budget)",93 minutes,"R for satirical presentation of strong violence, vulgar language, and sexual episodes","$7,881,335","$2,752","$7,884,087"
Dick ,1999,English,"Canada, France, United States",Comedy,"$13,000,000 (worldwide box office is 0.5 times production budget)",100 minutes,"PG-13 for sex-related humor, drug content and language","$6,276,869",,
Light It Up ,1999,,United States,Drama,"$13,000,000 (worldwide box office is 0.5 times production budget)",99 minutes,R for language and violent content.,"$5,871,603",,
Bubble Boy ,2001,,,Black Comedy,"$13,000,000 (worldwide box office is 0.4 times production budget)",84 minutes,PG-13 for language and crude sexual humor,"$5,002,310",,
Birthday Girl ,2002,"English, Russian",,Thriller/Suspense,"$13,000,000 (worldwide box office is 0.6 times production budget)",93 minutes,R for sexuality and language,"$4,919,896","$3,210,831","$8,130,727"
"Paris, je t'aime ",2007,"Arabic, English, French, Mandarin, Spanish","France, Germany, Switzerland",Drama,"$13,000,000 (worldwide box office is 0.4 times production budget)",120 minutes,R for language and brief drug use.,"$4,857,374","$317,714","$5,175,088"
Ben is Back ,2018,English,United States,Drama,"$13,000,000 (worldwide box office is 1.0 times production budget)",103 minutes,"R for language throughout and some drug use.(Rating bulletin 2549 (Cert #51863), 10/17/2018)","$3,703,182","$8,913,813","$12,616,995"
Resurrecting the Champ ,2007,English,United States,Drama,"$13,000,000 (worldwide box office is 0.3 times production budget)",111 minutes,PG-13 for some violence and brief language,"$3,172,382","$88,173","$3,260,555"
Chloe ,2010,English,"Canada, France, United States",Thriller/Suspense,"$13,000,000 (worldwide box office is 1.0 times production budget)",96 minutes,"R for strong sexual content including graphic dialogue, nudity and language.(Rating bulletin 2103, 1/13/2010)","$3,075,255","$10,101,357","$13,176,612"
The Widow of St. Pierre ,2001,French,,Drama,"$13,000,000 (worldwide box office is 0.2 times production budget)",120 minutes,R for a scene of sexuality and brief violence,"$3,058,380",,
Youth ,2015,English,"France, Italy, Switzerland, United Kingdom",Drama,"$13,000,000 (worldwide box office is 1.8 times production budget)",123 minutes,"R for graphic nudity, some sexuality, and language.(Rating bulletin 2391, 9/16/2015)","$2,703,296","$21,298,277","$24,001,573"
Faithful ,1996,,,Black Comedy,"$13,000,000 (worldwide box office is 0.2 times production budget)",,R for language and sex-related dialogue,"$2,104,439",,
Un Prophète ,2010,French,France,Drama,"$13,000,000 (worldwide box office is 1.5 times production budget)",149 minutes,"R For strong violence, sexual content, nudity, language and drug material","$2,087,720","$17,822,904","$19,910,624"
"I Love You, Phillip Morris ",2010,English,"France, United States",Comedy,"$13,000,000 (worldwide box office is 1.8 times production budget)",100 minutes,"R for sexual content including strong dialogue, and language","$2,037,459","$20,976,568","$23,014,027"
The Vatican Tapes ,2015,English,United States,Horror,"$13,000,000 (worldwide box office is 1.1 times production budget)",91 minutes,"PG-13 for disturbing violent content, and some sexual references.(Rating bulletin 2326, 6/11/2014)","$1,784,763","$13,144,421","$14,929,184"
Find Me Guilty ,2006,English,"Germany, United States",Drama,"$13,000,000 (worldwide box office is 0.2 times production budget)",124 minutes,R for strong language and some violence,"$1,173,673","$1,724,552","$2,898,225"
Excessive Force ,1993,,,,"$13,000,000 (worldwide box office is 0.1 times production budget)",,"R for strong violence and language, and for sexuality and drug use.","$1,152,117",,
Infamous ,2006,English,United States,Drama,"$13,000,000 (worldwide box office is 0.2 times production budget)",118 minutes,"R for language, violence and some sexuality.","$1,151,330","$1,462,387","$2,613,717"
Attack the Block ,2011,English,United Kingdom,Action,"$13,000,000 (worldwide box office is 0.5 times production budget)",87 minutes,"R for creature violence, drug content and pervasive language.(Rating bulletin 2180, 7/13/2011)","$1,024,175","$5,435,008","$6,459,183"
