Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Sinister ,2012,English,United States,Horror,"$3,000,000 (worldwide box office is 29.2 times production budget)",110 minutes,"R for disturbing violent images and some terror.(Rating bulletin 2210, 2/15/2012)","$48,086,903","$39,640,904","$87,727,807"
The Original Kings of Comedy ,2000,English,United States,Concert/Performance,"$3,000,000 (worldwide box office is 12.7 times production budget)",115 minutes,R for language and sex related humor,"$38,168,022","$68,316","$38,236,338"
The Bridge on the River Kwai ,1957,English,"United Kingdom, United States",Drama,"$3,000,000 (worldwide box office is 11.1 times production budget)",161 minutes,"PG for mild war violence.
Rating is for 1991 Re-Issue of film from Columbia Pictures","$33,300,000","$21,917","$33,321,917"
Coming Home ,1978,English,United States,Drama,"$3,000,000 (worldwide box office is 10.9 times production budget)",119 minutes,R,"$32,653,000",,
Serpico ,1973,English,United States,Drama,"$3,000,000 (worldwide box office is 9.1 times production budget)",130 minutes,R,"$27,274,150","$27,459","$27,301,609"
Air Bud ,1997,English,,Comedy,"$3,000,000 (worldwide box office is 9.7 times production budget)",100 minutes,PG for brief mild language,"$26,033,546","$3,141,713","$29,175,259"
Waking Ned Devine ,1998,"English, Gaelic, Latin","France, United Kingdom",Comedy,"$3,000,000 (worldwide box office is 18.4 times production budget)",,"PG for nudity, language and thematic elements","$24,793,251","$30,400,000","$55,193,251"
Bowling for Columbine ,2002,English,United States,Documentary,"$3,000,000 (worldwide box office is 19.4 times production budget)",119 minutes,R,"$21,576,018","$36,664,469","$58,240,487"
A Nightmare on Elm Street Part 2: Freddy’s Revenge ,1985,English,United States,Horror,"$3,000,000 (worldwide box office is 7.1 times production budget)",87 minutes,R,"$21,163,999",,
A Room with a View ,1986,English,United Kingdom,Drama,"$3,000,000 (worldwide box office is 7.0 times production budget)",115 minutes,Not Rated,"$20,966,644","$75,363","$21,042,007"
Love and Death ,1975,English,United States,Comedy,"$3,000,000 (worldwide box office is 6.7 times production budget)",85 minutes,PG,"$20,123,742",,
Friday the 13th Part VI: Jason Lives ,1986,English,United States,Horror,"$3,000,000 (worldwide box office is 6.5 times production budget)",87 minutes,R,"$19,472,057",$466,"$19,472,523"
Martin Lawrence Live: RunTelDat ,2002,English,United States,Concert/Performance,"$3,000,000 (worldwide box office is 6.4 times production budget)",103 minutes,R for strong crude sexual dialogue and pervasive language,"$19,184,820",,
The Apartment ,1960,English,United States,Romantic Comedy,"$3,000,000 (worldwide box office is 8.2 times production budget)",125 minutes,Not Rated,"$18,600,000","$5,999,998","$24,599,998"
The Farewell ,2019,"English, Italian, Japanese, Mandarin",United Kingdom,Drama,"$3,000,000 (worldwide box office is 8.5 times production budget)",98 minutes,"PG for thematic material, brief language and some smoking.(Rating bulletin 2575 (Cert #52174), 4/24/2019)","$17,700,478","$7,765,535","$25,466,013"
Cat on a Hot Tin Roof ,1958,English,United States,Drama,"$3,000,000 (worldwide box office is 5.9 times production budget)",107 minutes,Not Rated,"$17,570,324",$318,"$17,570,642"
Beneath the Planet of the Apes ,1970,English,United States,Action,"$3,000,000 (worldwide box office is 5.8 times production budget)",95 minutes,G,"$17,489,009",,
The Whale ,2022,English,United States,Drama,"$3,000,000 (worldwide box office is 18.0 times production budget)",117 minutes,"R language, some drug use and sexual content.(Rating bulletin 2753 (cert #54087), 10/12/2022)","$17,453,440","$36,591,041","$54,044,481"
Pokemon 3: The Movie ,2001,,Japan,Adventure,"$3,000,000 (worldwide box office is 22.8 times production budget)",74 minutes,G,"$17,052,128","$51,400,000","$68,452,128"
Jason Goes to Hell: The Final Friday ,1993,,United States,Horror,"$3,000,000 (worldwide box office is 5.3 times production budget)",,"R for strong violence and gore, and for sexuality and language.","$15,935,068",,
Spaced Invaders ,1990,English,United States,Comedy,"$3,000,000 (worldwide box office is 5.0 times production budget)",100 minutes,PG,"$15,000,000",,
The Case for Christ ,2017,English,United States,Drama,"$3,000,000 (worldwide box office is 6.0 times production budget)",112 minutes,"PG for thematic elements including medical descriptions of crucifixion, and incidental smoking.(Rating bulletin 2463 (Cert #50919), 2/15/2017)","$14,678,714","$3,288,046","$17,966,760"
Love & Friendship ,2016,English,"France, Ireland, Netherlands",Drama,"$3,000,000 (worldwide box office is 8.0 times production budget)",93 minutes,"PG for some thematic elements.(Rating bulletin 2421 (Cert #50412), 4/20/2016)","$14,016,568","$9,917,807","$23,934,375"
Family Plot ,1976,,United States,Black Comedy,"$3,000,000 (worldwide box office is 4.4 times production budget)",121 minutes,,"$13,200,000",,
Torn Curtain ,1966,English,United States,Thriller/Suspense,"$3,000,000 (worldwide box office is 4.3 times production budget)",128 minutes,PG Rating for 1984 Re-Issue,"$13,000,000",$615,"$13,000,615"
Am I Racist? ,2024,English,United States,Documentary,"$3,000,000 (worldwide box office is 4.1 times production budget)",101 minutes,"PG-13 for strong language, thematic material, some sexual references and smoking.(Rating bulletin 2844 (cert #55097), 7/24/2024)","$12,311,598",,
Upgrade ,2018,English,Australia,Thriller/Suspense,"$3,000,000 (worldwide box office is 5.7 times production budget)",95 minutes,"R for strong violence, grisly images, and language.(Rating bulletin 2517 (Cert #51463), 3/7/2018)","$11,977,130","$4,999,431","$16,976,561"
Dave Chappelle's Block Party ,2006,English,United States,Documentary,"$3,000,000 (worldwide box office is 4.0 times production budget)",103 minutes,R for language.,"$11,718,595","$333,329","$12,051,924"
Krush Groove ,1985,,United States,Drama,"$3,000,000 (worldwide box office is 3.7 times production budget)",97 minutes,R,"$11,052,713",,
Impractical Jokers: The Movie ,2020,English,United States,Comedy,"$3,000,000 (worldwide box office is 3.5 times production budget)",93 minutes,"PG-13 for suggestive content, language, some drug references and brief nudity.(Rating bulletin 2614 (Cert #52573), 1/29/2020)","$10,466,091",,
Elmer Gantry ,1960,English,United States,Drama,"$3,000,000 (worldwide box office is 3.5 times production budget)",146 minutes,Not Rated Approved,"$10,400,000",$64,"$10,400,064"
