Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Home Fries ,1998,English,United States,Black Comedy,"$15,000,000 (worldwide box office is 0.7 times production budget)",91 minutes,PG-13 for thematic elements and some sexual humor,"$10,513,979",,
Here on Earth ,2000,,,Drama,"$15,000,000 (worldwide box office is 0.7 times production budget)",96 minutes,PG-13 for some sensuality and thematic elements,"$10,494,147","$350,980","$10,845,127"
Raise Your Voice ,2004,,United States,Drama,"$15,000,000 (worldwide box office is 1.0 times production budget)",107 minutes,PG for thematic elements and language,"$10,411,980","$4,400,000","$14,811,980"
Brazil ,1985,English,United States,Black Comedy,"$15,000,000 (worldwide box office is 0.7 times production budget)",132 minutes,R,"$9,929,135","$5,349","$9,934,484"
The Dark Half ,1993,English,,Horror,"$15,000,000 (worldwide box office is 0.6 times production budget)",121 minutes,R for violence and language.,"$9,579,068",,
Black Snake Moan ,2007,English,United States,Drama,"$15,000,000 (worldwide box office is 0.7 times production budget)",118 minutes,"R for strong sexual content, language, some violence and drug use","$9,396,870","$1,554,283","$10,951,153"
Dark Blue ,2003,,,Thriller/Suspense,"$15,000,000 (worldwide box office is 0.8 times production budget)",118 minutes,"R for violence, language and brief sexuality","$9,237,470","$3,024,595","$12,262,065"
A Mighty Heart ,2007,English,United States,Drama,"$15,000,000 (worldwide box office is 1.3 times production budget)",108 minutes,R for language,"$9,176,787","$9,976,781","$19,153,568"
Brainstorm ,1983,,United States,Thriller/Suspense,"$15,000,000 (worldwide box office is 0.6 times production budget)",106 minutes,,"$8,921,050",,
Queen of Katwe ,2016,English,United States,Drama,"$15,000,000 (worldwide box office is 0.7 times production budget)",90 minutes,"PG for thematic elements, an accident scene and some suggestive material.(Rating bulletin 2421 (Cert #50255), 4/20/2016)","$8,874,389","$1,181,092","$10,055,481"
Whatever it Takes ,2000,,,Romantic Comedy,"$15,000,000 (worldwide box office is 0.6 times production budget)",,"PG-13 for thematic elements, sexual material and language","$8,735,529",,
Boat Trip ,2003,,,Comedy,"$15,000,000 (worldwide box office is 1.0 times production budget)",94 minutes,"R for strong sexual content, language and some drug material","$8,586,376","$6,347,337","$14,933,713"
The Importance of Being Earnest ,2002,"English, German","United Kingdom, United States",Comedy,"$15,000,000 (worldwide box office is 0.6 times production budget)",97 minutes,PG for mild sensuality,"$8,378,141","$289,068","$8,667,209"
The Love Letter ,1999,,United States,Romantic Comedy,"$15,000,000 (worldwide box office is 0.6 times production budget)",,"PG-13 on appeal for some sensuality, nudity and strong language (previously rated R)","$8,322,608","$923,269","$9,245,877"
Hoot ,2006,English,United States,Adventure,"$15,000,000 (worldwide box office is 0.5 times production budget)",91 minutes,PG for mild bullying and brief language,"$8,117,637","$107,361","$8,224,998"
Trumbo ,2015,English,United States,Drama,"$15,000,000 (worldwide box office is 0.9 times production budget)",124 minutes,"R for language including some sexual references.(Rating bulletin 2369, 4/15/2015)","$7,857,741","$5,442,440","$13,300,181"
In Bruges ,2008,"English, Flemish, French","Belgium, United Kingdom, United States",Black Comedy,"$15,000,000 (worldwide box office is 2.3 times production budget)",107 minutes,"R for strong bloody violence, pervasive language and some drug use.","$7,800,825","$26,726,270","$34,527,095"
Promised Land ,2013,English,United States,Drama,"$15,000,000 (worldwide box office is 0.8 times production budget)",106 minutes,"R for language.(Rating bulletin 2238, 8/29/2012)","$7,597,898","$4,796,664","$12,394,562"
Mulholland Drive ,2001,English,"France, United States",Thriller/Suspense,"$15,000,000 (worldwide box office is 1.4 times production budget)",87 minutes,"R for violence, language and some strong sexuality.","$7,219,578","$13,560,990","$20,780,568"
Hotel Artemis ,2018,English,United Kingdom,Thriller/Suspense,"$15,000,000 (worldwide box office is 0.9 times production budget)",97 minutes,"R for violence and language throughout, some sexual references, and brief drug use.(Rating bulletin 2528 (Cert #51187), 5/23/2018)","$6,708,137","$6,608,490","$13,316,627"
The Rocker ,2008,English,United States,Comedy,"$15,000,000 (worldwide box office is 0.6 times production budget)",102 minutes,"PG-13 for drug and sexual references, nudity and language.","$6,409,528","$2,357,810","$8,767,338"
Post Grad ,2009,English,United States,Romantic Comedy,"$15,000,000 (worldwide box office is 0.4 times production budget)",88 minutes,PG-13 for sexual situations and brief strong language.,"$6,382,178","$181,224","$6,563,402"
Whatever Works ,2009,English,United States,Romantic Comedy,"$15,000,000 (worldwide box office is 2.3 times production budget)",92 minutes,"PG-13 For sexual situations including dialogue, brief nude images and thematic material","$5,306,706","$29,800,000","$35,106,706"
The In Crowd ,2000,English,United States,Thriller/Suspense,"$15,000,000 (worldwide box office is 0.3 times production budget)",105 minutes,"PG-13 for violence, sexuality, language and drug content","$5,217,498",,
Los tres entierros de Melquiades Estrada ,2005,,United States,Western,"$15,000,000 (worldwide box office is 0.9 times production budget)",121 minutes,"R for language, violence and sexuality","$5,027,684","$8,426,790","$13,454,474"
Jakob the Liar ,1999,,France,Drama,"$15,000,000 (worldwide box office is 0.3 times production budget)",120 minutes,PG-13 for violence and disturbing images,"$4,956,401",,
Se jie ,2007,Mandarin,"China, United States",Drama,"$15,000,000 (worldwide box office is 4.3 times production budget)",158 minutes,NC-17 for some explicit sexuality,"$4,604,982","$60,562,448","$65,167,430"
The Company Men ,2011,English,United States,Drama,"$15,000,000 (worldwide box office is 0.3 times production budget)",115 minutes,"R for language and brief nudity.(Rating bulletin 2138, 9/15/2010)","$4,444,612","$125,355","$4,569,967"
"Kiss Kiss, Bang Bang ",2005,English,United States,Comedy,"$15,000,000 (worldwide box office is 1.1 times production budget)",102 minutes,"R for language, violence and sexuality/nudity. ","$4,235,837","$12,593,627","$16,829,464"
Idle Hands ,1999,English,United States,Horror,"$15,000,000 (worldwide box office is 0.3 times production budget)",92 minutes,"R for horror violence and gore, pervasive teen drug use, language and sexuality","$4,023,741",$406,"$4,024,147"
Scouts Guide to the Zombie Apocalypse ,2015,English,United States,Comedy,"$15,000,000 (worldwide box office is 1.0 times production budget)",93 minutes,"R for zombie violence and gore, sexual material, graphic nudity, and language throughout.(Rating bulletin 2385, 8/4/2015)","$3,703,046","$11,851,809","$15,554,855"
Blood and Chocolate ,2007,"English, Romanian",,Horror,"$15,000,000 (worldwide box office is 0.4 times production budget)",98 minutes,"PG-13 for violence/terror, some sexuality and substance abuse.","$3,526,588","$3,024,722","$6,551,310"
You Will Meet a Tall Dark Stranger ,2010,English,"Spain, United Kingdom, United States",Drama,"$15,000,000 (worldwide box office is 2.6 times production budget)",98 minutes,"R For some language.(Rating bulletin 2123, 6/2/2010)","$3,247,816","$35,287,932","$38,535,748"
Rock the Kasbah ,2015,English,United States,Comedy,"$15,000,000 (worldwide box office is 0.2 times production budget)",106 minutes,"R for language including sexual references, some drug use and brief violence.(Rating bulletin 2393, 9/30/2015)","$3,020,665","$365,488","$3,386,153"
Chi-raq ,2015,English,United States,Drama,"$15,000,000 (worldwide box office is 0.2 times production budget)",127 minutes,"R for strong sexual content including dialogue, nudity, language, some violence and drug use.(Rating bulletin 2399 (cert #50123), 11/11/2015)","$2,653,031","$80,366","$2,733,397"
Never Let Me Go ,2010,English,United Kingdom,Drama,"$15,000,000 (worldwide box office is 0.7 times production budget)",120 minutes,"R For some sexuality and nudity.(Rating bulletin 2123, 6/2/2010)","$2,434,652","$8,739,066","$11,173,718"
The Disappointments Room ,2016,English,United States,Horror,"$15,000,000 (worldwide box office is 0.2 times production budget)",91 minutes,"R for violent content, bloody images, some sexuality and language.(Rating bulletin 2438 (Cert #49954), 8/17/2016)","$2,423,467","$1,080,294","$3,503,761"
The Company ,2003,English,"Germany, United States",Drama,"$15,000,000 (worldwide box office is 0.2 times production budget)",112 minutes,"PG-13 on appeal for brief strong language, some nudity and sexual content (previously rated R)","$2,281,585","$1,112,021","$3,393,606"
Transsiberian ,2008,English,"Germany, Spain, United Kingdom",Thriller/Suspense,"$15,000,000 (worldwide box office is 0.4 times production budget)",105 minutes,"R for some violence, including torture and language.","$2,203,641","$4,175,934","$6,379,575"
Crazy in Alabama ,1999,English,,Drama,"$15,000,000 (worldwide box office is 0.1 times production budget)",111 minutes,"PG-13 for some violence, thematic material, language and a scene of sensuality","$1,954,202",,
The Clan of the Cave Bear ,1986,English,United States,Adventure,"$15,000,000 (worldwide box office is 0.1 times production budget)",98 minutes,,"$1,953,732",,
Armageddon Time ,2022,English,"Brazil, United States",Drama,"$15,000,000 (worldwide box office is 0.4 times production budget)",114 minutes,"R for language and some drug use involving minors.(Rating bulletin 2752 (cert #53611), 10/5/2022)","$1,872,625","$4,695,609","$6,568,234"
