Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Alabama Moon ,2011,English,United States,Adventure,"$10,000,000 (worldwide box office is 0.0 times production budget)",98 minutes,"PG for thematic elements, language and a brief injury.(Rating bulletin 2150, 12/8/2010)","$47,305",,
An Alan Smithee Film: Burn Hollywood Burn ,1998,English,United States,Comedy,"$10,000,000 (worldwide box office is 0.0 times production budget)",86 minutes,R for strong language and some sexual humor,"$45,779",,
The Open Road ,2009,English,United States,Drama,"$10,000,000 (worldwide box office is 0.0 times production budget)",,PG-13 For some language,"$19,716",,
Strangerland ,2015,English,Australia,Drama,"$10,000,000 (worldwide box office is 0.0 times production budget)",111 minutes,"R for language, some sexuality and brief graphic nudity.(Rating bulletin 2370, 4/21/2015)","$17,472","$143,625","$161,097"
Hross i oss ,2015,Icelandic,"Germany, Iceland, Norway",Comedy,"$10,000,000 (worldwide box office is 0.0 times production budget)",81 minutes,Not Rated,"$11,894",,
Janky Promoters ,2009,English,United States,Comedy,"$10,000,000 (worldwide box office is 0.0 times production budget)",85 minutes,"R For pervasive language, some drug and sexual content","$9,069",,
Blonde Ambition ,2007,English,United States,Comedy,"$10,000,000 (worldwide box office is 0.2 times production budget)",93 minutes,PG-13 for some sexual material,"$6,422","$1,531,057","$1,537,479"
The Oxford Murders ,2010,English,"France, Spain, United Kingdom",Thriller/Suspense,"$10,000,000 (worldwide box office is 1.8 times production budget)",108 minutes,"R for language, sexual content/nudity and some violence/disturbing images(Rating bulletin 2118, 4/28/2010)","$4,803","$17,699,328","$17,704,131"
Barbecue ,2014,French,France,Comedy,"$10,000,000 (worldwide box office is 0.0 times production budget)",98 minutes,Not Rated,$388,"$247,177","$247,565"
T-34 ,2018,Russian,Russian Federation,Drama,"$10,000,000 (worldwide box office is 4.0 times production budget)",75 minutes,,n/a,"$39,526,616","$39,526,616"
The Reef ,2010,English,Australia,Thriller/Suspense,"$10,000,000 (worldwide box office is 1.5 times production budget)",,"R for language.(Rating bulletin 2163, 3/16/2011)",n/a,"$15,037,867","$15,037,867"
White Noise 2: The Light ,2008,English,"Canada, United States",Horror,"$10,000,000 (worldwide box office is 0.8 times production budget)",,"PG-13 for intense sequences of violence and terror, some disturbing images, thematic material and language",n/a,"$8,243,567","$8,243,567"
Jessabelle ,2014,English,United States,Horror,"$10,000,000 (worldwide box office is 0.7 times production budget)",90 minutes,"PG-13 for sequences of horror violence and terror.(Rating bulletin 2305, 1/15/2014)",n/a,"$6,998,359","$6,998,359"
