Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Wedding Crashers ,2005,English,United States,Comedy,"$40,000,000 (worldwide box office is 7.1 times production budget)",119 minutes,R for sexual content/nudity and language.,"$209,218,368","$74,000,000","$283,218,368"
The Karate Kid ,2010,English,United States,Action,"$40,000,000 (worldwide box office is 8.8 times production budget)",140 minutes,"PG for bullying, martial arts action violence and some mild language(Rating bulletin 2112, 3/17/2010)","$176,591,618","$175,183,320","$351,774,938"
Fifty Shades of Grey ,2015,English,United States,Drama,"$40,000,000 (worldwide box office is 14.3 times production budget)",125 minutes,"R for strong sexual content including dialogue, some unusual behavior and graphic nudity, and for language.(Rating bulletin 2355, 1/7/2015)","$166,167,230","$404,627,720","$570,794,950"
Knives Out ,2019,English,United States,Drama,"$40,000,000 (worldwide box office is 7.8 times production budget)",130 minutes,"PG-13 for thematic elements including brief violence, some strong language, sexual references, and drug material.(Rating bulletin 2597 (Cert #52256), 9/25/2019)","$165,364,060","$147,534,686","$312,898,746"
The Proposal ,2009,English,United States,Romantic Comedy,"$40,000,000 (worldwide box office is 7.9 times production budget)",107 minutes,"PG-13 For sexual content, nudity and language","$163,958,031","$150,751,686","$314,709,717"
American Hustle ,2013,"Arabic, English",United States,Black Comedy,"$40,000,000 (worldwide box office is 6.4 times production budget)",138 minutes,"R for pervasive language, some sexual content and brief violence.(Rating bulletin 2300, 11/27/2013)","$150,098,456","$107,760,487","$257,858,943"
Cheaper by the Dozen ,2003,English,United States,Comedy,"$40,000,000 (worldwide box office is 4.8 times production budget)",98 minutes,PG for language and some thematic elements,"$138,614,544","$51,597,569","$190,212,113"
Lucy ,2014,"English, Korean, Mandarin","France, United States",Action,"$40,000,000 (worldwide box office is 11.4 times production budget)",88 minutes,"R for strong violence, disturbing images, and sexuality.(Rating bulletin 2325, 6/4/2014)","$126,573,960","$330,933,816","$457,507,776"
Lone Survivor ,2013,English,United States,Action,"$40,000,000 (worldwide box office is 3.7 times production budget)",121 minutes,"R for strong bloody war violence and pervasive language.(Rating bulletin 2271, 5/8/2013)","$125,095,601","$24,709,031","$149,804,632"
Back to the Future Part II ,1989,English,United States,Adventure,"$40,000,000 (worldwide box office is 8.3 times production budget)",108 minutes,PG,"$118,450,002","$213,521,866","$331,971,868"
Double Jeopardy ,1999,English,"Canada, Germany, United States",Action,"$40,000,000 (worldwide box office is 4.4 times production budget)",105 minutes,"R for language, a scene of sexuality and some violence","$116,735,231","$61,100,000","$177,835,231"
Spy Kids 3-D: Game Over ,2003,English,United States,Adventure,"$40,000,000 (worldwide box office is 4.2 times production budget)",82 minutes,PG for action sequences and peril,"$111,760,631","$56,091,364","$167,851,995"
A Time to Kill ,1996,English,United States,Drama,"$40,000,000 (worldwide box office is 3.8 times production budget)",149 minutes,R for violence and some graphic language,"$108,766,007","$43,500,000","$152,266,007"
A League of Their Own ,1992,English,United States,Comedy,"$40,000,000 (worldwide box office is 3.3 times production budget)",128 minutes,PG for language.,"$107,533,925","$24,906,141","$132,440,066"
The Conjuring 2: The Enfield Poltergeist ,2016,English,United States,Horror,"$40,000,000 (worldwide box office is 7.8 times production budget)",133 minutes,"R for terror and horror violence.(Rating bulletin 2422 (Cert #50358), 4/27/2016)","$102,470,008","$207,726,324","$310,196,332"
The Social Network ,2010,English,United States,Drama,"$40,000,000 (worldwide box office is 5.6 times production budget)",120 minutes,"PG-13 for sexual content, drug and alcohol use and language.(Rating bulletin 2138, 9/15/2010)","$96,962,694","$127,959,441","$224,922,135"
Julie & Julia ,2009,English,United States,Comedy,"$40,000,000 (worldwide box office is 3.3 times production budget)",122 minutes,PG-13 for brief strong language and some sensuality,"$94,125,426","$37,390,752","$131,516,178"
He's Just Not That Into You ,2009,English,United States,Romantic Comedy,"$40,000,000 (worldwide box office is 4.5 times production budget)",129 minutes,PG-13 for sexual content and brief strong language,"$93,953,653","$87,100,004","$181,053,657"
John Wick: Chapter Two ,2017,English,United States,Action,"$40,000,000 (worldwide box office is 4.3 times production budget)",122 minutes,"R for strong violence throughout, some language, and brief nudity.(Rating bulletin 2460 (Cert #50840), 1/25/2017)","$92,029,184","$79,510,703","$171,539,887"
Ride Along 2 ,2016,English,United States,Comedy,"$40,000,000 (worldwide box office is 3.1 times production budget)",102 minutes,"PG-13 for sequences of violence, sexual content, language and some drug material.(Rating bulletin 2384, 7/29/2015)","$90,862,685","$33,964,631","$124,827,316"
Scary Movie 4 ,2006,English,United States,Comedy,"$40,000,000 (worldwide box office is 4.5 times production budget)",83 minutes,"PG-13 for crude and sexual humor throughout, some comic violence and language","$90,710,620","$88,000,000","$178,710,620"
Get Hard ,2015,English,United States,Comedy,"$40,000,000 (worldwide box office is 2.8 times production budget)",99 minutes,"R for pervasive crude and sexual content and language, some graphic nudity, and drug material.(Rating bulletin 2346, 10/29/2014)","$90,411,453","$21,300,000","$111,711,453"
Scream 3 ,2000,English,United States,Horror,"$40,000,000 (worldwide box office is 4.0 times production budget)",117 minutes,R for strong horror violence and language,"$89,138,076","$72,700,000","$161,838,076"
Back to the Future Part III ,1990,English,United States,Western,"$40,000,000 (worldwide box office is 6.1 times production budget)",119 minutes,PG,"$88,055,283","$156,031,976","$244,087,259"
The Accountant ,2016,English,United States,Thriller/Suspense,"$40,000,000 (worldwide box office is 3.8 times production budget)",128 minutes,"R for strong violence and language throughout.(Rating bulletin 2390, 9/9/2015)","$86,260,045","$66,702,038","$152,962,083"
Dumb and Dumber To ,2014,English,United States,Comedy,"$40,000,000 (worldwide box office is 3.9 times production budget)",110 minutes,"PG-13 for crude and sexual humor, partial nudity, language and some drug references.(Rating bulletin 2327, 6/17/2014)","$86,208,010","$70,345,582","$156,553,592"
The Other Woman ,2014,English,United States,Comedy,"$40,000,000 (worldwide box office is 4.9 times production budget)",109 minutes,"PG-13 on appeal for mature thematic material, sexual references and language.(Rating bulletin 2318, 4/16/2014)","$83,911,193","$110,358,910","$194,270,103"
Bram Stoker's Dracula ,1992,English,United States,Horror,"$40,000,000 (worldwide box office is 5.4 times production budget)",123 minutes,R for sexuality and horror violence.,"$82,522,790","$133,339,876","$215,862,666"
Eight Below ,2006,English,United States,Adventure,"$40,000,000 (worldwide box office is 3.0 times production budget)",120 minutes,PG for some peril and brief mild language.,"$81,612,565","$38,843,429","$120,455,994"
The Talented Mr. Ripley ,1999,English,United States,Thriller/Suspense,"$40,000,000 (worldwide box office is 3.2 times production budget)",139 minutes,"R for violence, language and brief nudity.","$81,292,135","$47,499,995","$128,792,130"
The Intern ,2015,English,United States,Comedy,"$40,000,000 (worldwide box office is 4.9 times production budget)",121 minutes,"PG-13 for some suggestive content and brief strong language.(Rating bulletin 2368, 4/8/2015)","$75,764,672","$121,351,038","$197,115,710"
The Last of the Mohicans ,1992,,United States,Drama,"$40,000,000 (worldwide box office is 1.9 times production budget)",112 minutes,R for violence.,"$75,505,856",,
Ray ,2004,English,United States,Drama,"$40,000,000 (worldwide box office is 3.1 times production budget)",152 minutes,"PG-13 for depiction of drug addiction, sexuality and some thematic elements","$75,305,995","$49,517,099","$124,823,094"
Sin City ,2005,English,United States,Thriller/Suspense,"$40,000,000 (worldwide box office is 4.0 times production budget)",124 minutes,"R for sustained strong stylized violence, nudity and sexual content including dialogue","$74,103,820","$84,424,098","$158,527,918"
Bridge of Spies ,2015,"English, German, Russian",United States,Thriller/Suspense,"$40,000,000 (worldwide box office is 4.1 times production budget)",141 minutes,"PG-13 for some violence and brief strong language.(Rating bulletin 2385, 8/4/2015)","$72,313,754","$90,184,584","$162,498,338"
Vantage Point ,2008,English,United States,Thriller/Suspense,"$40,000,000 (worldwide box office is 3.8 times production budget)",89 minutes,"PG-13 for sequences of intense violence and action, some disturbing images and brief strong language.","$72,266,306","$78,620,023","$150,886,329"
"I Love You, Man ",2009,English,United States,Comedy,"$40,000,000 (worldwide box office is 2.3 times production budget)",105 minutes,"R for pervasive language, including crude and sexual references","$72,013,010","$20,289,492","$92,302,502"
Shallow Hal ,2001,English,United States,Romantic Comedy,"$40,000,000 (worldwide box office is 1.8 times production budget)",114 minutes,PG-13 for language and sexual content,"$70,836,296",,
JFK ,1991,English,United States,Drama,"$40,000,000 (worldwide box office is 5.1 times production budget)",189 minutes,R for language. (also 1992 edited version) ,"$70,405,498","$134,994,502","$205,400,000"
Big Momma's House 2 ,2006,English,United States,Comedy,"$40,000,000 (worldwide box office is 3.4 times production budget)",99 minutes,PG-13 for some sexual humor and a humorous drug reference.,"$70,165,972","$66,881,404","$137,047,376"
Angel Has Fallen ,2019,English,United States,Thriller/Suspense,"$40,000,000 (worldwide box office is 3.3 times production budget)",114 minutes,"R for violence and language throughout.(Rating bulletin 2586 (Cert #52112), 7/10/2019)","$69,030,436","$64,315,147","$133,345,583"
The House with a Clock in its Walls ,2018,English,United States,Comedy,"$40,000,000 (worldwide box office is 3.3 times production budget)",105 minutes,"PG for thematic elements including sorcery, some action, scary images, rude humor and language.(Rating bulletin 2527 (Cert #51599), 5/16/2018)","$68,549,695","$62,907,452","$131,457,147"
Hacksaw Ridge ,2016,English,United States,Drama,"$40,000,000 (worldwide box office is 4.2 times production budget)",138 minutes,"R for intense prolonged realistically graphic sequences of war violence including grisly bloody images.(Rating bulletin 2445 (Cert #50531), 10/5/2016)","$67,209,615","$101,213,634","$168,423,249"
The Mexican ,2001,English,United States,Action,"$40,000,000 (worldwide box office is 3.6 times production budget)",122 minutes,R for violence and language,"$66,808,615","$78,429,635","$145,238,250"
The Final Destination ,2009,English,United States,Horror,"$40,000,000 (worldwide box office is 4.7 times production budget)",81 minutes,"R for strong violent/gruesome accidents, language and a scene of sexuality","$66,477,700","$120,906,927","$187,384,627"
The Conjuring: The Devil Made Me Do It ,2021,"English, Portuguese",United States,Horror,"$40,000,000 (worldwide box office is 5.0 times production budget)",112 minutes,"R for terror, violence and some disturbing images.(Rating bulletin 2677 (cert #53178), 4/21/2021)","$65,631,050","$134,635,391","$200,266,441"
17 Again ,2009,English,United States,Comedy,"$40,000,000 (worldwide box office is 3.5 times production budget)",102 minutes,"PG-13 for language, some sexual material and teen partying","$64,167,069","$75,307,837","$139,474,906"
Unknown ,2011,English,"Germany, United Kingdom, United States",Thriller/Suspense,"$40,000,000 (worldwide box office is 3.4 times production budget)",108 minutes,"PG-13 for some intense sequences of violence and action, and brief sexual content.(Rating bulletin 2150, 12/8/2010)","$63,686,397","$72,436,686","$136,123,083"
Get Him to the Greek ,2010,English,United States,Comedy,"$40,000,000 (worldwide box office is 2.3 times production budget)",108 minutes,"R for strong sexual content and drug use throughout, and pervasive language(Rating bulletin 2107, 2/10/2010)","$61,153,526","$31,841,401","$92,994,927"
Gothika ,2003,English,United States,Horror,"$40,000,000 (worldwide box office is 3.5 times production budget)",95 minutes,"R for violence, brief language and nudity.","$59,588,068","$81,896,744","$141,484,812"
Behind Enemy Lines ,2001,"Bosnian, English",United States,Action,"$40,000,000 (worldwide box office is 1.5 times production budget)",106 minutes,PG-13 for war violence and some language.,"$58,855,732",,
The Lincoln Lawyer ,2011,English,United States,Thriller/Suspense,"$40,000,000 (worldwide box office is 2.2 times production budget)",119 minutes,"R for some violence, sexual content and language.(Rating bulletin 2158, 2/9/2011)","$58,009,200","$29,135,886","$87,145,086"
Shall We Dance? ,2004,English,United States,Romantic Comedy,"$40,000,000 (worldwide box office is 4.3 times production budget)",106 minutes,PG-13 for some sexual references and brieg language,"$57,887,882","$112,238,000","$170,125,882"
Invincible ,2006,English,United States,Drama,"$40,000,000 (worldwide box office is 1.5 times production budget)",104 minutes,PG for sports action and some mild language.,"$57,806,952","$694,175","$58,501,127"
