Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Midnight Cabaret ,2013,English,United States,Drama,"$300,000",77 minutes,Not Rated,n/a,,
Teeth and Blood ,2015,English,United States,Horror,"$300,000",,,n/a,,
Walking to Paris ,Announced,English,United Kingdom,Drama,"$300,000",,,n/a,,
Anderson's Cross ,2010,English,United States,Comedy,"$300,000",98 minutes,"R for sexual content and language.(Rating bulletin 2366, 3/25/2015)",n/a,,
Amidst the Devil's Wings ,2015,English,United States,Action,"$300,000",,Not Rated,n/a,,
Collisions ,2018,English,United States,Drama,"$300,000",82 minutes,,n/a,,
Death Calls ,2010,English,United States,Action,"$290,000",90 minutes,,n/a,,
Compliance ,2012,English,United States,Drama,"$270,000 (worldwide box office is 3.1 times production budget)",90 minutes,"R for language and sexual content/nudity.(Rating bulletin 2218, 4/11/2012)","$319,285","$511,415","$830,700"
Graduation Day ,1981,English,United States,Horror,"$250,000 (worldwide box office is 95.6 times production budget)",96 minutes,R,"$23,894,000",,
His Only Son ,2023,English,United States,Drama,"$250,000 (worldwide box office is 54.0 times production budget)",106 minutes,"PG-13 for thematic content and some violence.(Rating bulletin 2767 (cert #54243), 1/25/2023)","$12,084,084","$1,422,631","$13,506,715"
Chasing Amy ,1997,English,United States,Romantic Comedy,"$250,000 (worldwide box office is 60.6 times production budget)",111 minutes,"R for strong graphic sex-related dialogue, language, sexuality and drug content","$12,006,514","$3,148,581","$15,155,095"
Terrifier 2 ,2022,English,United States,Horror,"$250,000 (worldwide box office is 62.7 times production budget)",138 minutes,,"$10,962,502","$4,724,836","$15,687,338"
Lovely and Amazing ,2002,,United States,Drama,"$250,000 (worldwide box office is 18.5 times production budget)",91 minutes,R for language and nudity,"$4,210,379","$403,103","$4,613,482"
Sleight ,2017,English,United States,Action,"$250,000 (worldwide box office is 15.7 times production budget)",89 minutes,"R for language throughout, drug content and some violence.(Rating bulletin 2459 (Cert #50437), 1/18/2017)","$3,930,990","$3,460","$3,934,450"
Better Luck Tomorrow ,2003,,,Drama,"$250,000 (worldwide box office is 15.2 times production budget)",101 minutes,"R for violence, drug use, language and sexuality","$3,802,390","$6,836","$3,809,226"
Like Crazy ,2011,English,United States,Drama,"$250,000 (worldwide box office is 14.9 times production budget)",89 minutes,"PG-13 for sexual content and brief strong language.(Rating bulletin 2177, 6/22/2011)","$3,395,391","$333,009","$3,728,400"
