Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Biutiful ,2011,English,"Mexico, Spain",Drama,"$35,000,000 (worldwide box office is 0.7 times production budget)",138 minutes,"R for disturbing images, language, some sexual content, nudity and drug use.(Rating bulletin 2140, 9/29/2010)","$5,101,237","$19,586,287","$24,687,524"
Radio Flyer ,1992,English,United States,Drama,"$35,000,000 (worldwide box office is 0.1 times production budget)",113 minutes,PG-13,"$4,651,977",,
Bound by Honor ,1993,"English, Spanish",United States,,"$35,000,000 (worldwide box office is 0.1 times production budget)",,"R for strong violence and language, and for sexuality and drug content.","$4,496,583",,
A Hologram for the King ,2016,English,United States,Drama,"$35,000,000 (worldwide box office is 0.3 times production budget)",97 minutes,"R for some sexuality/nudity, language and brief drug use.(Rating bulletin 2418 (Cert #50361), 3/30/2016)","$4,212,494","$7,633,516","$11,846,010"
Smilla's Sense of Snow ,1997,English,United States,Thriller/Suspense,"$35,000,000 (worldwide box office is 0.1 times production budget)",121 minutes,"R for language, some violence and a sex scene","$2,221,994",,
Playing for Keeps ,1986,,United States,Romantic Comedy,"$35,000,000 (worldwide box office is 0.1 times production budget)",,,"$2,000,000",,
Lion of the Desert ,1980,English,Libyan Arab Jamahiriya,Drama,"$35,000,000 (worldwide box office is 0.0 times production budget)",156 minutes,,"$1,500,000","$2,136","$1,502,136"
Le hussard sur le toit ,1996,"French, Italian",France,Drama,"$35,000,000 (worldwide box office is 0.0 times production budget)",,R for a scene of nudity.,"$1,320,043",,
Ride With the Devil ,1999,,United States,Western,"$35,000,000 (worldwide box office is 0.0 times production budget)",,R for graphic war violence,"$630,779",,
Stolen ,2012,English,United States,Action,"$35,000,000 (worldwide box office is 0.5 times production budget)",96 minutes,"R for some violence and brief language.(Rating bulletin 2226, 6/6/2012)","$289,773","$17,677,973","$17,967,746"
Trespass ,2011,English,United States,Thriller/Suspense,"$35,000,000 (worldwide box office is 0.0 times production budget)",90 minutes,"R for violence and terror, pervasive language and some brief drug use.(Rating bulletin 2184, 8/10/2011)","$16,816","$769,716","$786,532"
Bandidas ,2006,"English, Spanish","France, Mexico, United States",Western,"$35,000,000 (worldwide box office is 0.6 times production budget)",93 minutes,"PG-13 for sexuality, nudity and violence.",n/a,"$19,282,590","$19,282,590"
The Power of the Dog ,2021,English,"Australia, Canada, New Zealand, United Kingdom, United States",Drama,"$35,000,000 (worldwide box office is 0.0 times production budget)",125 minutes,"R for brief sexual content/full nudity.(Rating bulletin 2692 (cert #53229), 8/4/2021)",n/a,"$732,269","$732,269"
The Trial of the Chicago 7 ,2020,English,United States,Drama,"$35,000,000 (worldwide box office is 0.0 times production budget)",129 minutes,"R for language throughout, some violence, bloody images and drug use.(Rating bulletin 2642 (Cert #52706), 8/12/2020)",n/a,"$116,473","$116,473"
Guillermo Del Toro’s Pinocchio ,2022,English,"France, United States",Adventure,"$35,000,000 (worldwide box office is 0.0 times production budget)",114 minutes,"PG for dark thematic material, violence, peril, some rude humor and brief smoking.(Rating bulletin 2753 (cert #53839), 10/12/2022)",n/a,"$86,906","$86,906"
The Lovers ,2015,English,"Australia, Belgium, India",Adventure,"$35,000,000 (worldwide box office is 0.0 times production budget)",109 minutes,"PG-13 for some thematic material including violence.(Rating bulletin 2355, 1/7/2015)",n/a,"$53,899","$53,899"
Black Water Transit ,2008,,,Drama,"$35,000,000",,,n/a,,
The Darkest Hour ,2011,"English, Russian","Russian Federation, United States",Action,"$34,800,000 (worldwide box office is 1.9 times production budget)",89 minutes,"PG-13 for sci-fi action violence and some language.(Rating bulletin 2169, 4/27/2011)","$21,443,494","$43,183,292","$64,626,786"
Baby Driver ,2017,English,"United Kingdom, United States",Thriller/Suspense,"$34,000,000 (worldwide box office is 6.7 times production budget)",115 minutes,"R for violence and language throughout.(Rating bulletin 2480 (Cert #50334), 6/14/2017)","$107,825,862","$119,152,129","$226,977,991"
The Maze Runner ,2014,English,United States,Action,"$34,000,000 (worldwide box office is 10.2 times production budget)",113 minutes,"PG-13 for thematic elements and intense sequences of sci-fi violence and action, including some disturbing images.(Rating bulletin 2326, 6/11/2014)","$102,427,862","$245,891,999","$348,319,861"
The Longest Ride ,2015,English,United States,Drama,"$34,000,000 (worldwide box office is 1.9 times production budget)",128 minutes,"PG-13 for some sexuality, partial nudity, and some war and sports action.(Rating bulletin 2362, 2/25/2013)","$37,446,117","$26,356,811","$63,802,928"
The Age of Innocence ,1993,,,Drama,"$34,000,000 (worldwide box office is 0.9 times production budget)",,PG for thematic elements and some mild language.,"$32,014,993","$6,695","$32,021,688"
Ponyo ,崖の上のポニョ,Japanese,Japan,Adventure,"$34,000,000 (worldwide box office is 6.0 times production budget)",101 minutes,G,"$15,090,399","$190,072,267","$205,162,666"
The Darkest Minds ,2018,English,United States,Adventure,"$34,000,000 (worldwide box office is 1.1 times production budget)",105 minutes,"PG-13 for violence including disturbing images, and thematic elements.(Rating bulletin 2533 (Cert #51140), 6/19/2018)","$12,695,691","$25,665,737","$38,361,428"
Chill Factor ,1999,,,Action,"$34,000,000 (worldwide box office is 0.3 times production budget)",101 minutes,R for violence and language,"$11,263,966",,
