Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
10 Cloverfield Lane ,2016,English,United States,Thriller/Suspense,"$15,000,000 (worldwide box office is 7.2 times production budget)",103 minutes,"PG-13 for thematic material including frightening sequences of threat with some violence, and brief language.(Rating bulletin 2414 (Cert #50291), 3/2/2016)","$72,082,999","$36,203,423","$108,286,422"
Mama ,2013,English,"Canada, Spain",Horror,"$15,000,000 (worldwide box office is 9.9 times production budget)",109 minutes,"PG-13 for violence and terror, some disturbing images and thematic elements.(Rating bulletin 2248, 11/7/2012)","$71,628,180","$76,467,386","$148,095,566"
Private Benjamin ,1980,English,United States,Comedy,"$15,000,000 (worldwide box office is 4.7 times production budget)",109 minutes,R,"$69,847,348",,
Coal Miner’s Daughter ,1980,English,United States,Drama,"$15,000,000 (worldwide box office is 4.5 times production budget)",124 minutes,PG,"$67,182,787",,
Lethal Weapon ,1987,English,United States,Action,"$15,000,000 (worldwide box office is 8.0 times production budget)",112 minutes,R,"$65,192,350","$55,000,000","$120,192,350"
Diary of a Wimpy Kid ,2010,English,United States,Comedy,"$15,000,000 (worldwide box office is 5.1 times production budget)",92 minutes,"PG for some rude humor and language(Rating bulletin 2107, 2/10/2010)","$64,003,625","$12,950,686","$76,954,311"
Dog ,2022,English,United States,Comedy,"$15,000,000 (worldwide box office is 5.6 times production budget)",101 minutes,"PG-13 for language, thematic elements, drug content and some suggestive material.(Rating bulletin 2670 (cert #52875), 3/3/2021)","$61,778,069","$22,765,563","$84,543,632"
National Lampoon’s Vacation ,1983,English,United States,Comedy,"$15,000,000 (worldwide box office is 4.1 times production budget)",98 minutes,R,"$61,400,000",,
Halloween ,2007,English,United States,Horror,"$15,000,000 (worldwide box office is 5.2 times production budget)",109 minutes,"R for strong brutal bloody violence and terror throughout, sexual content, graphic nudity and language","$58,269,151","$19,245,250","$77,514,401"
Godzilla Minus One ,ゴジラ最新作,Japanese,Japan,Action,"$15,000,000 (worldwide box office is 7.0 times production budget)",125 minutes,"PG-13 for creature violence and action.(Rating bulletin 2805 (cert #54697), 11/18/2023)","$57,144,669","$47,949,415","$105,094,084"
The Queen ,2006,English,United Kingdom,Drama,"$15,000,000 (worldwide box office is 8.6 times production budget)",103 minutes,PG-13 for brief strong language.,"$56,441,711","$72,444,162","$128,885,873"
Why Did I Get Married? ,2007,English,United States,Comedy,"$15,000,000 (worldwide box office is 3.7 times production budget)",118 minutes,"PG-13 for mature thematic material, sexual references and language.","$55,204,525","$729,653","$55,934,178"
The Woman in Black ,2012,English,"Canada, Sweden, United Kingdom",Horror,"$15,000,000 (worldwide box office is 8.6 times production budget)",95 minutes,"PG-13 for thematic material and violence/disturbing images.(Rating bulletin 2193, 10/12/2011)","$54,333,290","$74,622,608","$128,955,898"
Jesus Revolution ,2023,English,United States,Drama,"$15,000,000 (worldwide box office is 3.6 times production budget)",120 minutes,"PG-13 for strong drug content involving teens and some thematic elements.(Rating bulletin 2770 (cert #54166), 2/15/2023)","$52,102,987","$1,278,979","$53,381,966"
Little Women ,1994,English,United States,Drama,"$15,000,000 (worldwide box office is 3.3 times production budget)",118 minutes,PG for two uses of mild language.,"$50,003,303",,
The Deer Hunter ,1978,English,"United Kingdom, United States",Drama,"$15,000,000 (worldwide box office is 3.3 times production budget)",183 minutes,R,"$50,000,000","$65,119","$50,065,119"
BlacKkKlansman ,2018,English,United States,Black Comedy,"$15,000,000 (worldwide box office is 6.2 times production budget)",134 minutes,"R for language throughout, including racial epithets, and for disturbing/violent material and some sexual references.(Rating bulletin 2537 (Cert #51555), 7/25/2018)","$49,275,340","$44,136,086","$93,411,426"
When a Stranger Calls ,2006,English,United States,Horror,"$15,000,000 (worldwide box office is 4.5 times production budget)",87 minutes,"PG-13 for intense terror, violence and some language.","$47,860,214","$19,355,221","$67,215,435"
