Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Metallica Through the Never ,2013,English,United States,Concert/Performance,"$18,000,000 (worldwide box office is 0.5 times production budget)",93 minutes,"R for some violent content and language.(Rating bulletin 2282, 7/24/2013)","$3,419,967","$5,662,939","$9,082,906"
Anything Else ,2003,,,Romantic Comedy,"$18,000,000 (worldwide box office is 0.7 times production budget)",,R for a scene of drug use and some sexual references,"$3,203,044","$10,000,000","$13,203,044"
Unforgettable ,1996,English,,Thriller/Suspense,"$18,000,000 (worldwide box office is 0.1 times production budget)",117 minutes,"R for strong violence, language and nudity","$2,483,790",,
T2: Trainspotting ,2017,English,United Kingdom,Drama,"$18,000,000 (worldwide box office is 2.3 times production budget)",117 minutes,"R for drug use, language throughout, strong sexual content, graphic nudity and some violence.(Rating bulletin 2459 (Cert #50338), 1/18/2017)","$2,402,004","$39,728,112","$42,130,116"
Das Weisse Band: Eine deutsche Kindergeschichte ,2009,German,"Austria, France, Germany, Italy",Drama,"$18,000,000 (worldwide box office is 1.4 times production budget)",145 minutes,R For some disturbing content involving violence and sexuality,"$2,222,862","$23,504,182","$25,727,044"
8 Million Ways to Die ,1986,"English, Spanish",United States,Action,"$18,000,000 (worldwide box office is 0.1 times production budget)",,,"$1,305,114",,
Phantom ,2013,English,United States,Thriller/Suspense,"$18,000,000 (worldwide box office is 0.1 times production budget)",97 minutes,"R for violence.(Rating bulletin 2251, 12/5/2012)","$1,034,589","$164,921","$1,199,510"
The Salton Sea ,2002,,United States,Thriller/Suspense,"$18,000,000 (worldwide box office is 0.0 times production budget)",103 minutes,"R for strong violence, drug use, language and some sexuality.","$676,698",,
The Informers ,2009,,United States,Thriller/Suspense,"$18,000,000 (worldwide box office is 0.0 times production budget)",,"R for strong sexual content, nudity, drug use, pervasive language and some disturbing images","$315,000",,
One Man's Hero ,1999,"English, Spanish","Mexico, Spain, United States",Action,"$18,000,000 (worldwide box office is 0.0 times production budget)",121 minutes,R for violence.,"$229,311",,
Carlos ,2010,"Arabic, English, French, German, Hungarian, Japanese, Russian, Spanish",Germany,Drama,"$18,000,000 (worldwide box office is 0.1 times production budget)",123 minutes,Not Rated,"$145,526","$1,473,627","$1,619,153"
Renaissance ,2006,English,"France, Luxembourg, United Kingdom",Action,"$18,000,000 (worldwide box office is 0.1 times production budget)",105 minutes,"R for some violent images, sexuality, nudity and language.","$70,644","$2,330,769","$2,401,413"
My Spy ,2020,English,United States,Comedy,"$18,000,000 (worldwide box office is 0.4 times production budget)",102 minutes,"PG-13 for action/violence and language.(Rating bulletin 2577 (Cert #52192), 5/8/2019)",n/a,"$7,074,124","$7,074,124"
I Come with the Rain ,2008,English,France,Thriller/Suspense,"$18,000,000 (worldwide box office is 0.0 times production budget)",114 minutes,,n/a,"$627,422","$627,422"
Marriage Story ,2019,English,United States,Comedy,"$18,000,000 (worldwide box office is 0.0 times production budget)",136 minutes,"R for language throughout and sexual references.(Rating bulletin 2591 (Cert #52149), 8/14/2019)",n/a,"$321,463","$321,463"
I Am Wrath ,2016,English,United States,Action,"$18,000,000 (worldwide box office is 0.0 times production budget)",92 minutes,"R for violence and some language.(Rating bulletin 2411 (Cert #50268), 2/10/2016)",n/a,"$309,608","$309,608"
Wolves ,2014,English,France,Horror,"$18,000,000 (worldwide box office is 0.0 times production budget)",91 minutes,"R for bloody violence throughout, and some sexuality.(Rating bulletin 2341, 9/24/2014)",n/a,"$94,953","$94,953"
Day of the Dead ,2008,,,Horror,"$18,000,000",,"R for strong pervasive horror violence and gore, and language",n/a,,
