Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
The Boat That Rocked ,2009,English,"France, Germany, United Kingdom",Comedy,"$50,000,000 (worldwide box office is 0.7 times production budget)",130 minutes,"R for language, and some sexual content including brief nudity(Rating bulletin 2086 (Cert #45019), 9/9/2009)","$8,017,467","$29,455,184","$37,472,651"
Operation Fortune: Ruse de guerre ,2023,English,United States,Action,"$50,000,000 (worldwide box office is 0.6 times production budget)",114 minutes,"R for language and violence.(Rating bulletin 2770 (cert #53175), 2/15/2023)","$6,496,125","$21,339,690","$27,835,815"
The Big Bounce ,2004,English,United States,Comedy,"$50,000,000 (worldwide box office is 0.1 times production budget)",88 minutes,"PG-13 for sexual content and nudity, violence and language","$6,471,394","$154,721","$6,626,115"
What Planet Are You From? ,2000,,,Comedy,"$50,000,000 (worldwide box office is 0.1 times production budget)",105 minutes,R for sexuality and language,"$6,291,602",,
The Wandering Earth ,流浪地球,Mandarin,China,Action,"$50,000,000 (worldwide box office is 13.1 times production budget)",125 minutes,Not Rated,"$5,875,487","$650,007,597","$655,883,084"
Arctic Dogs ,2019,English,"Canada, China, India, Japan, Republic of Korea, United Kingdom, United States",Adventure,"$50,000,000 (worldwide box office is 0.2 times production budget)",93 minutes,"PG for some mild action and rude humor.(Rating bulletin 2558 (Cert #51960), 12/19/2018)","$5,801,249","$5,483,905","$11,285,154"
The Rhythm Section ,2020,English,"United Kingdom, United States",Thriller/Suspense,"$50,000,000 (worldwide box office is 0.1 times production budget)",109 minutes,"R for violence, sexual content, language throughout, and some drug use.(Rating bulletin 2612 (Cert #51913), 1/15/2020)","$5,437,971","$545,072","$5,983,043"
Child 44 ,2015,English,"United Kingdom, United States",Thriller/Suspense,"$50,000,000 (worldwide box office is 0.2 times production budget)",137 minutes,"R for violence, some disturbing images, language and a scene of sexuality.(Rating bulletin 2363, 3/4/2015)","$1,224,330","$6,779,891","$8,004,221"
Outlander ,2009,"English, Latin","France, Germany, United States",Action,"$50,000,000 (worldwide box office is 0.0 times production budget)",115 minutes,R for violence,"$166,003","$1,084,614","$1,250,617"
Upside Down ,2012,English,"Canada, France",Romantic Comedy,"$50,000,000 (worldwide box office is 0.5 times production budget)",113 minutes,"PG-13 for some violence.(Rating bulletin 2255, 1/16/2013)","$102,118","$26,284,921","$26,387,039"
Shanghai ,2012,"English, German, Japanese, Mandarin","China, United States",Drama,"$50,000,000 (worldwide box office is 0.3 times production budget)",104 minutes,"R For strong violence, some drug use and brief language","$46,425","$15,459,497","$15,505,922"
Hannibal the Conqueror ,Announced,,,Adventure,"$50,000,000",,,n/a,,
Horizon: An American Saga Chapter 2 ,2025,English,United States,Western,"$50,000,000",164 minutes,,n/a,,
Dora and the Lost City of Gold ,2019,English,"Australia, United States",Adventure,"$49,000,000 (worldwide box office is 2.5 times production budget)",102 minutes,"PG for action and some impolite humor.(Rating bulletin 2584 (Cert #51918), 6/26/2019)","$60,477,943","$60,114,333","$120,592,276"
The One ,2001,,United States,Action,"$49,000,000 (worldwide box office is 1.5 times production budget)",87 minutes,PG-13 for intense action violence and some language,"$43,905,746","$28,783,380","$72,689,126"
Chappie ,2015,English,United States,Action,"$49,000,000 (worldwide box office is 2.1 times production budget)",120 minutes,"R for violence, language and brief nudity.(Rating bulletin 2360, 2/11/2015)","$31,569,268","$73,432,788","$105,002,056"
The Adventures of Ford Fairlane ,1990,English,United States,Comedy,"$49,000,000 (worldwide box office is 0.4 times production budget)",102 minutes,R,"$20,423,389",,
Anna Karenina ,2012,English,United Kingdom,Drama,"$49,000,000 (worldwide box office is 1.4 times production budget)",129 minutes,"R for some sexuality and violence.(Rating bulletin 2233, 7/25/2012)","$12,816,367","$58,188,260","$71,004,627"
Indiana Jones and the Last Crusade ,1989,English,United States,Adventure,"$48,000,000 (worldwide box office is 9.9 times production budget)",127 minutes,PG-13,"$197,171,806","$277,000,000","$474,171,806"
The Ring ,2002,English,United States,Horror,"$48,000,000 (worldwide box office is 5.2 times production budget)",115 minutes,PG-13,"$129,094,024","$119,124,462","$248,218,486"
Traffic ,2000,"English, Spanish",United States,Drama,"$48,000,000 (worldwide box office is 4.3 times production budget)",148 minutes,"R for pervasive drug content, strong language, violence and some sexuality.","$124,107,476","$84,192,524","$208,300,000"
Panic Room ,2002,,United States,Thriller/Suspense,"$48,000,000 (worldwide box office is 4.1 times production budget)",,R for violence and language,"$95,308,367","$101,000,000","$196,308,367"
Taken 3 ,2015,English,France,Action,"$48,000,000 (worldwide box office is 6.8 times production budget)",118 minutes,"PG-13 for intense sequences of violence and action, and for brief strong language.(Rating bulletin 2349, 11/19/2014)","$89,256,424","$238,400,000","$327,656,424"
Zombieland: Double Tap ,2019,English,United States,Comedy,"$48,000,000 (worldwide box office is 2.6 times production budget)",93 minutes,"R for bloody violence, language throughout, some drug and sexual content.(Rating bulletin 2596 (Cert #51942), 9/18/2019)","$73,118,130","$52,094,888","$125,213,018"
The Thomas Crown Affair ,1999,English,United States,Thriller/Suspense,"$48,000,000 (worldwide box office is 2.6 times production budget)",113 minutes,R for some sexuality and language.,"$69,304,264","$55,000,000","$124,304,264"
Instant Family ,2018,English,United States,Comedy,"$48,000,000 (worldwide box office is 2.5 times production budget)",119 minutes,"PG-13 for thematic elements, sexual material, language and some drug references.(Rating bulletin 2550 (Cert #51762), 10/24/2018)","$67,363,237","$52,372,951","$119,736,188"
The Bone Collector ,1999,English,United States,Thriller/Suspense,"$48,000,000 (worldwide box office is 3.2 times production budget)",118 minutes,"R for strong violent content including grisly images, and for language","$66,488,090","$84,975,000","$151,463,090"
Three Kings ,1999,English,United States,Black Comedy,"$48,000,000 (worldwide box office is 2.2 times production budget)",114 minutes,"R for graphic war violence, language and some sexuality","$60,652,036","$47,100,000","$107,752,036"
Tooth Fairy ,2010,English,United States,Adventure,"$48,000,000 (worldwide box office is 2.3 times production budget)",101 minutes,"PG For mild language, some rude humor and sports action","$60,022,256","$52,588,130","$112,610,386"
