Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Battle for the Planet of the Apes ,1973,English,United States,Action,"$1,800,000 (worldwide box office is 4.9 times production budget)",93 minutes,G,"$8,800,000",,
A Streetcar Named Desire ,1951,English,United States,Drama,"$1,800,000 (worldwide box office is 4.4 times production budget)",125 minutes,PG rating is for 1970 Re-Issue of film from United Artists,"$8,000,000","$8,368","$8,008,368"
Hang 'em High ,1968,English,United States,Western,"$1,800,000 (worldwide box office is 3.8 times production budget)",114 minutes,PG-13,"$6,800,000",,
El crimen de padre Amaro ,2002,Spanish,,Drama,"$1,800,000 (worldwide box office is 3.2 times production budget)",,"R for sexuality, language and some disturbing images","$5,719,000","$130,791","$5,849,791"
Songcatcher ,2001,,,Drama,"$1,800,000 (worldwide box office is 1.7 times production budget)",109 minutes,PG-13 for sexual content and an intense scene of childbirth,"$3,050,934",,
Higher Ground ,2011,English,United States,Drama,"$1,800,000 (worldwide box office is 0.5 times production budget)",109 minutes,"R for some language and sexual content.(Rating bulletin 2174, 6/1/2011)","$841,056","$1,637","$842,693"
POM Wonderful Presents: The Greatest Movie Ever Sold ,2011,English,United States,Documentary,"$1,800,000 (worldwide box office is 0.4 times production budget)",90 minutes,"PG-13 for some language and sexual material.(Rating bulletin 2162, 3/9/2011)","$638,476","$145,257","$783,733"
Travellers and Magicians ,2005,,,Drama,"$1,800,000 (worldwide box office is 0.7 times production budget)",,Not Rated,"$506,793","$815,368","$1,322,161"
Ed and his Dead Mother ,1993,English,United States,,"$1,800,000 (worldwide box office is 0.0 times production budget)",,,$673,,
Deadline ,2009,,,,"$1,800,000",,,n/a,,
Sublime ,2007,English,United States,Horror,"$1,800,000",115 minutes,,n/a,,
Dysfunctional Friends ,2012,English,United States,Comedy,"$1,800,000",111 minutes,Not Rated,n/a,,
Independence Daysaster ,2013,English,Canada,Thriller/Suspense,"$1,800,000",90 minutes,"PG-13 for some sci-fi action/violence.(Rating bulletin 2294 (Cert #48721), 10/16/2013)",n/a,,
Against the Wild ,2014,English,Canada,Adventure,"$1,800,000",90 minutes,"PG for action and peril.(Rating bulletin 2301, 12/11/2013)",n/a,,
Beginner’s Guide to Sex ,2015,English,United States,Comedy,"$1,800,000",,Not Rated,n/a,,
Hamsterit ,2023,Finnish,Finland,Comedy,"$1,784,448 (worldwide box office is 0.4 times production budget)",,,n/a,"$699,804","$699,804"
The Assistant ,2020,English,United States,Drama,"$1,780,000 (worldwide box office is 1.0 times production budget)",87 minutes,"R for some language.(Rating bulletin 2610 (Cert #52522), 12/25/2019)","$1,100,310","$600,219","$1,700,529"
Lola rennt ,1998,English,Germany,Thriller/Suspense,"$1,750,000 (worldwide box office is 13.5 times production budget)",81 minutes,R for some violence and language.,"$8,077,539","$15,611,870","$23,689,409"
May ,2003,,United States,,"$1,750,000 (worldwide box office is 0.4 times production budget)",,"R for strong violence/gore, some sexuality and language","$145,540","$489,263","$634,803"
I Spit on Your Grave ,2010,English,United States,Horror,"$1,750,000 (worldwide box office is 0.7 times production budget)",108 minutes,"R for pervasive strong sadistic brutal violence, rape and torture, nudity and language.(Rating bulletin 2124, 6/9/2010)","$93,051","$1,185,420","$1,278,471"
Girl ,2018,"English, Flemish, French","Belgium, Netherlands",Drama,"$1,750,000 (worldwide box office is 5.0 times production budget)",109 minutes,"R for some sexual content, graphic nudity and brief disturbing content.(Rating bulletin 2555 (Cert #51702), 11/28/2018)",n/a,"$8,719,182","$8,719,182"
Living Dark: The Story of Ted the Caver ,2019,English,United States,Horror,"$1,750,000",97 minutes,"PG-13 for intense and frightening sequences, language and crude references.(Rating bulletin 2344 (Cert #49420), 10/15/2014)",n/a,,
Järjettömän paska idea ,2023,Finnish,Finland,Drama,"$1,705,215 (worldwide box office is 0.1 times production budget)",,,n/a,"$213,089","$213,089"
In the Bedroom ,2001,,United States,Drama,"$1,700,000 (worldwide box office is 24.8 times production budget)",131 minutes,R for some violence and language,"$35,930,604","$6,207,267","$42,137,871"
La misma luna ,2008,Spanish,"Mexico, United States",Drama,"$1,700,000 (worldwide box office is 13.7 times production budget)",100 minutes,PG-13 for some mature thematic elements,"$12,590,147","$10,681,594","$23,271,741"
Conquest of the Planet of the Apes ,1972,,United States,,"$1,700,000 (worldwide box office is 5.7 times production budget)",,PG,"$9,700,000",,
