Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Side Effects ,2013,English,United States,Thriller/Suspense,"$30,000,000 (worldwide box office is 2.2 times production budget)",105 minutes,"R for sexuality, nudity, violence and language.(Rating bulletin 2254, 1/9/2013)","$32,172,757","$34,569,381","$66,742,138"
9 ,2009,English,United States,Adventure,"$30,000,000 (worldwide box office is 1.6 times production budget)",79 minutes,PG-13 for violence and scary images.,"$31,749,894","$16,810,105","$48,559,999"
Deliver Us from Evil ,2014,English,United States,Horror,"$30,000,000 (worldwide box office is 2.9 times production budget)",118 minutes,"R for bloody violence, grisly images, terror throughout, and language.(Rating bulletin 2326, 6/11/2014)","$30,577,122","$57,379,496","$87,956,618"
Get on Up ,2014,English,United States,Drama,"$30,000,000 (worldwide box office is 1.1 times production budget)",138 minutes,"PG-13 for sexual content, drug use, some strong language, and violent situations.(Rating bulletin 2329, 7/2/2014)","$30,569,935","$2,769,933","$33,339,868"
Molly’s Game ,2017,English,United States,Drama,"$30,000,000 (worldwide box office is 1.8 times production budget)",140 minutes,"R for language, drug content and some violence.(Rating bulletin 2502 (Cert #51191), 11/15/2017)","$28,780,744","$24,515,680","$53,296,424"
The Five-Year Engagement ,2012,English,United States,Romantic Comedy,"$30,000,000 (worldwide box office is 2.1 times production budget)",124 minutes,"R for sexual content, and language throughout.(Rating bulletin 2210, 2/15/2012)","$28,700,285","$32,923,534","$61,623,819"
The Prince & Me ,2004,"Danish, English, German","Czech Republic, United States",Romantic Comedy,"$30,000,000 (worldwide box office is 1.0 times production budget)",111 minutes,PG for some sex-related material and language,"$28,165,882","$1,923,228","$30,089,110"
Winnie the Pooh ,2011,English,United States,Adventure,"$30,000,000 (worldwide box office is 1.7 times production budget)",69 minutes,"G(Rating bulletin 2156, 1/26/2011)","$26,692,846","$23,452,761","$50,145,607"
Bulworth ,1998,English,United States,Comedy,"$30,000,000 (worldwide box office is 1.0 times production budget)",108 minutes,R for pervasive strong language and some drug content,"$26,528,684","$2,674,699","$29,203,383"
Dumb and Dumberer: When Harry Met Lloyd ,2003,English,United States,Comedy,"$30,000,000 (worldwide box office is 1.0 times production budget)",85 minutes,"PG-13 for crude sex-related humor, and for language.","$26,214,846","$2,771,512","$28,986,358"
White Boy Rick ,2018,English,United States,Drama,"$30,000,000 (worldwide box office is 0.9 times production budget)",111 minutes,"R for language throughout, drug content, violence, some sexual references, and brief nudity.(Rating bulletin 2543 (Cert #51433), 9/5/2018)","$24,004,833","$1,943,150","$25,947,983"
Virtuosity ,1995,English,United States,Action,"$30,000,000 (worldwide box office is 0.8 times production budget)",106 minutes,"R for strong futuristic violence, some brutal beatings and some language","$23,998,226",,
One True Thing ,1998,,United States,Drama,"$30,000,000 (worldwide box office is 0.9 times production budget)",127 minutes,R for language,"$23,337,196","$3,371,000","$26,708,196"
Sanctum ,2011,English,"Australia, United States",Action,"$30,000,000 (worldwide box office is 3.6 times production budget)",109 minutes,"R for language, some violence and disturbing images.(Rating bulletin 2148, 11/24/2010)","$23,209,310","$85,747,788","$108,957,098"
My Super Ex-Girlfriend ,2006,English,United States,Romantic Comedy,"$30,000,000 (worldwide box office is 2.0 times production budget)",95 minutes,"PG-13 for sexual content, crude humor, language and brief nudity","$22,530,295","$38,242,561","$60,772,856"
Ballerina ,2016,English,"Canada, France",Adventure,"$30,000,000 (worldwide box office is 3.2 times production budget)",89 minutes,"PG for some impolite humor, and action.(Rating bulletin 2468 (Cert #50979), 3/22/2017)","$21,858,070","$74,593,514","$96,451,584"
Mr. 3000 ,2004,English,United States,Comedy,"$30,000,000 (worldwide box office is 0.7 times production budget)",,PG-13 for sexual content and language,"$21,800,302","$26,994","$21,827,296"
Shaft ,2019,English,United States,Comedy,"$30,000,000 (worldwide box office is 0.7 times production budget)",105 minutes,"R for pervasive language, violence, sexual content, some drug material and brief nudity.(Rating bulletin 2567 (Cert #51991), 2/27/2019)","$21,360,215",,
The Next Three Days ,2010,"English, English",United States,Thriller/Suspense,"$30,000,000 (worldwide box office is 2.2 times production budget)",133 minutes,"PG-13 for violence, drug material, language, some sexuality and thematic elements.(Rating bulletin 2139, 9/22/2010)","$21,148,651","$46,107,265","$67,255,916"
Proud Mary ,2018,English,United States,Action,"$30,000,000 (worldwide box office is 0.7 times production budget)",88 minutes,"R for violence.(Rating bulletin 2508 (Cert #51045), 1/3/2018)","$20,868,638","$840,901","$21,709,539"
Sleepless ,2017,English,United States,Thriller/Suspense,"$30,000,000 (worldwide box office is 1.1 times production budget)",95 minutes,"R for strong violence and language throughout.(Rating bulletin 2455 (Cert #50233), 12/14/2016)","$20,783,704","$12,512,955","$33,296,659"
Little Black Book ,2004,English,United States,Romantic Comedy,"$30,000,000 (worldwide box office is 0.7 times production budget)",106 minutes,PG-13 for sexual content/humor and language,"$20,422,207","$1,336,164","$21,758,371"
"Are You There God? It’s Me, Margaret ",2023,English,United States,Comedy,"$30,000,000 (worldwide box office is 0.7 times production budget)",105 minutes,"PG-13 for thematic material involving sexual education and some suggestive material.(Rating bulletin 2777 (cert #53511), 4/5/2023)","$20,372,406","$1,209,418","$21,581,824"
