Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
The Legend of God's Gun ,2008,,United States,Western,"$30,000 (worldwide box office is 8.1 times production budget)",,Not Rated,"$243,768",,
Krisha ,2016,English,United States,Drama,"$30,000 (worldwide box office is 4.8 times production budget)",83 minutes,"R for language, substance abuse and some sexual content.(Rating bulletin 2390, 9/9/2015)","$144,822",,
Mutual Appreciation ,2006,,United States,Comedy,"$30,000 (worldwide box office is 3.5 times production budget)",,R for language,"$103,509",,
Funny Ha Ha ,2005,,,Comedy,"$30,000 (worldwide box office is 2.8 times production budget)",,Not Rated,"$77,070","$5,628","$82,698"
Down Terrace ,2010,,United Kingdom,Black Comedy,"$30,000 (worldwide box office is 0.9 times production budget)",93 minutes,"R for violence, pervasive language and some drug use(Rating bulletin 2109, 2/24/2010)","$9,812","$18,021","$27,833"
Paraphobia ,2013,English,United States,Comedy,"$30,000",80 minutes,,n/a,,
The Molokans ,2018,Russian,"Azerbaijan, Russian Federation",Documentary,"$29,120",76 minutes,,n/a,,
Clerks ,1994,,,Comedy,"$27,000 (worldwide box office is 144.2 times production budget)",92 minutes,R on appeal for extensive use of extremely explicit sex-related dialogue (previously rated NC-17),"$3,073,428","$820,812","$3,894,240"
Pink Narcissus ,1999,,United States,,"$27,000 (worldwide box office is 0.3 times production budget)",,Not Rated,"$8,231",,
Emily ,2017,English,United States,Drama,"$27,000 (worldwide box office is 0.1 times production budget)",83 minutes,Not Rated,"$3,547",,
Deep Throat ,1972,,United States,,"$25,000 (worldwide box office is 1,800.0 times production budget)",,NC-17 Rated X,"$45,000,000",,
In the Company of Men ,1997,,Canada,Black Comedy,"$25,000 (worldwide box office is 115.3 times production budget)",97 minutes,R for language and emotional abuse,"$2,883,661",,
The Terrorist ,2000,Tamil,India,,"$25,000 (worldwide box office is 7.8 times production budget)",95 minutes,Not Rated,"$195,043",,
Exeter ,2015,English,United States,Horror,"$25,000 (worldwide box office is 19.6 times production budget)",,"R for strong bloody horror violence, language throughout, sexual references, drug use, and some nudity.(Rating bulletin 2362, 2/25/2015)",n/a,"$489,792","$489,792"
Manito ,2003,,United States,,"$25,000",,,n/a,,
Ten ,2015,English,United States,Horror,"$25,000",,Not Rated,n/a,,
Dutch Kills ,2015,English,United States,Thriller/Suspense,"$25,000",,Not Rated,n/a,,
