Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Ferdinand ,2017,English,United States,Adventure,"$111,000,000 (worldwide box office is 2.8 times production budget)",107 minutes,"PG for rude humor, action and some thematic elements.(Rating bulletin 2497 (Cert #51275), 10/11/2017)","$84,410,380","$223,081,265","$307,491,645"
Deadpool 2 ,2018,English,United States,Action,"$110,000,000 (worldwide box office is 7.1 times production budget)",119 minutes,"R for strong violence and language throughout, sexual references and brief drug material.(Rating bulletin 2526 (Cert #51353), 5/9/2018)PG-13 for intense sequences of violence and action, crude sexual content, language, thematic elements and brief drug material.
EDITED VERSION. CONTENT IS DIFFERENT FROM ""R"" RATED VERSION, BULLETIN NO. 2526 (5/9/2018)(Rating bulletin 2552 (Cert #51850), 11/7/2018)","$324,591,735","$461,770,635","$786,362,370"
Gravity ,2013,English,"United Kingdom, United States",Thriller/Suspense,"$110,000,000 (worldwide box office is 6.2 times production budget)",91 minutes,"PG-13 for intense perilous sequences, some disturbing images and brief strong language.(Rating bulletin 2246, 10/24/2012)","$274,092,705","$410,565,026","$684,657,731"
Night at the Museum ,2006,English,United States,Adventure,"$110,000,000 (worldwide box office is 5.3 times production budget)",108 minutes,"PG for mild action, language and brief rude humor","$250,863,268","$328,583,139","$579,446,407"
Venom: Let There be Carnage ,2021,English,United States,Action,"$110,000,000 (worldwide box office is 4.6 times production budget)",97 minutes,"PG-13 for intense sequences of violence and action, some strong language, disturbing material and suggestive references.(Rating bulletin 2696 (cert #52628), 9/1/2021)","$213,550,366","$287,996,556","$501,546,922"
Mr. and Mrs. Smith ,2005,English,United States,Action,"$110,000,000 (worldwide box office is 4.4 times production budget)",120 minutes,"PG-13 for sequences of violence, intense action, sexual content and brief strong language.","$186,336,279","$299,787,811","$486,124,090"
San Andreas ,2015,English,United States,Adventure,"$110,000,000 (worldwide box office is 4.1 times production budget)",114 minutes,"PG-13 for intense disaster action and mayhem throughout, and brief strong language.(Rating bulletin 2367, 4/1/2015)","$155,190,832","$301,067,707","$456,258,539"
The Smurfs ,2011,English,United States,Adventure,"$110,000,000 (worldwide box office is 5.1 times production budget)",103 minutes,"PG for mild rude humor and action.(Rating bulletin 2178, 6/29/2011)","$142,614,158","$421,135,165","$563,749,323"
Venom: The Last Dance ,2024,English,United States,Action,"$110,000,000 (worldwide box office is 4.3 times production budget)",109 minutes,"PG-13 for intense sequences of violence and action, bloody images and strong language.(Rating bulletin 2856 (cert #54306), 10/16/2024)","$139,113,000","$333,700,000","$472,813,000"
Live Free or Die Hard ,2007,English,United States,Action,"$110,000,000 (worldwide box office is 3.5 times production budget)",129 minutes,"PG-13 for intense sequences of violence and action, language and a brief sexual situation","$134,529,403","$247,758,744","$382,288,147"
