Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Collide ,2016,English,United Kingdom,Action,"$29,200,000 (worldwide box office is 0.2 times production budget)",99 minutes,"PG-13 for violence, frenetic action, some sexuality, language, and drug material.(Rating bulletin 2403 (Cert #49918), 12/9/2015)","$2,280,004","$3,186,694","$5,466,698"
Pitch Perfect 2 ,2015,English,United States,Comedy,"$29,000,000 (worldwide box office is 9.9 times production budget)",115 minutes,"PG-13 for innuendo and language.(Rating bulletin 2354, 12/24/2014)","$184,296,230","$102,918,966","$287,215,196"
Walk the Line ,2005,English,United States,Drama,"$29,000,000 (worldwide box office is 6.5 times production budget)",136 minutes,"PG-13 for some language, thematic material and depiction of drug dependency.","$119,519,402","$68,188,093","$187,707,495"
Night School ,2018,English,United States,Comedy,"$29,000,000 (worldwide box office is 3.6 times production budget)",111 minutes,"PG-13 for crude and sexual content throughout, language, some drug references and violence.(Rating bulletin 2533 (Cert #51602), 6/19/2018)","$77,339,130","$26,806,503","$104,145,633"
The Boss ,2016,English,United States,Comedy,"$29,000,000 (worldwide box office is 2.7 times production budget)",99 minutes,"R for sexual content, language and brief drug use.(Rating bulletin 2397 (Cert #50118), 10/28/2015)","$63,077,560","$15,574,647","$78,652,207"
12 Monkeys ,1995,English,United States,Drama,"$29,000,000 (worldwide box office is 5.8 times production budget)",130 minutes,R for violence and language.,"$57,141,459","$111,700,000","$168,841,459"
Once Upon a Time in Mexico ,2003,"English, Spanish","Mexico, United States",Action,"$29,000,000 (worldwide box office is 3.4 times production budget)",102 minutes,"R for strong violence, and for language","$56,330,657","$41,082,870","$97,413,527"
Awakenings ,1990,English,United States,Drama,"$29,000,000 (worldwide box office is 1.8 times production budget)",121 minutes,PG-13,"$51,636,504",,
Keeping the Faith ,2000,,United States,Romantic Comedy,"$29,000,000 (worldwide box office is 1.6 times production budget)",129 minutes,PG-13 for some sexuality and language,"$37,036,404","$8,300,000","$45,336,404"
Logan Lucky ,2017,English,United States,Comedy,"$29,000,000 (worldwide box office is 1.7 times production budget)",119 minutes,"PG-13 for language and some crude comments.(Rating bulletin 2474 (Cert #51012), 5/3/2017)","$27,778,642","$21,267,479","$49,046,121"
Florence Foster Jenkins ,2016,English,United States,Drama,"$29,000,000 (worldwide box office is 1.9 times production budget)",110 minutes,"PG-13 for brief suggestive material.(Rating bulletin 2435 (Cert #50258), 7/27/2016)","$27,383,770","$28,616,569","$56,000,339"
The Borrowers ,1998,English,"United Kingdom, United States",Adventure,"$29,000,000 (worldwide box office is 1.9 times production budget)",83 minutes,PG for mild peril and some crude humor,"$22,619,589","$31,426,243","$54,045,832"
