Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Never Back Down ,2008,English,United States,Action,"$21,000,000 (worldwide box office is 1.9 times production budget)",113 minutes,"PG-13 for mature thematic material involving intense sequences of fighting/violence, some sexuality, partying and language - all involving teens.","$24,850,922","$14,468,879","$39,319,801"
Tinker Tailor Soldier Spy ,2011,"English, Hungarian, Russian, Turkish","France, Germany, United Kingdom",Thriller/Suspense,"$21,000,000 (worldwide box office is 3.9 times production budget)",128 minutes,"R for violence, some sexuality/nudity and language.(Rating bulletin 2183, 8/3/2011)","$24,149,393","$57,278,995","$81,428,388"
Victoria and Abdul ,2017,English,"United Kingdom, United States",Drama,"$21,000,000 (worldwide box office is 3.3 times production budget)",112 minutes,"PG-13 for some thematic elements and language.(Rating bulletin 2471 (Cert #51001), 4/12/2017)","$22,245,070","$46,026,076","$68,271,146"
The Bachelor ,1999,English,United States,Romantic Comedy,"$21,000,000 (worldwide box office is 1.8 times production budget)",101 minutes,PG-13 for language,"$21,731,001","$15,151,377","$36,882,378"
The Rage: Carrie 2 ,1999,,United States,Horror,"$21,000,000 (worldwide box office is 0.8 times production budget)",104 minutes,"R for strong graphic horror violence and gore, brief strong sexuality and language","$17,760,244",,
Swing Vote ,2008,English,United States,Comedy,"$21,000,000 (worldwide box office is 0.8 times production budget)",120 minutes,PG-13 for language.,"$16,289,867","$1,300,000","$17,589,867"
Away We Go ,2009,English,United States,Comedy,"$21,000,000 (worldwide box office is 0.5 times production budget)",98 minutes,R for language and some sexual content.,"$9,451,946","$656,070","$10,108,016"
Moonlight Mile ,2002,,United States,Drama,"$21,000,000 (worldwide box office is 0.3 times production budget)",117 minutes,PG-13 for some sensuality and brief strong language,"$6,830,957",,
The Beaver ,2011,English,"United Arab Emirates, United States",Comedy,"$21,000,000 (worldwide box office is 0.2 times production budget)",91 minutes,"PG-13 for mature thematic material, some disturbing content, sexuality and language including a drug reference.(Rating bulletin 2131, 7/28/2010)","$970,816","$4,075,222","$5,046,038"
Bitter Harvest ,2017,English,Canada,Drama,"$21,000,000 (worldwide box office is 0.0 times production budget)",103 minutes,"R for violence and disturbing images.(Rating bulletin 2454 (Cert #50598), 12/7/2016)","$557,241","$48,921","$606,162"
Molly ,1999,English,United States,Drama,"$21,000,000 (worldwide box office is 0.0 times production budget)",89 minutes,PG-13 for some sex-related material and nudity. ,"$17,396",,
Robot Overlords ,2015,English,United Kingdom,Action,"$21,000,000 (worldwide box office is 0.0 times production budget)",89 minutes,"PG-13 for sci-fi action and violence, sexual references and a crude gesture.(Rating bulletin 2370, 4/21/2015)",n/a,"$991,329","$991,329"
Velvet Buzzsaw ,2019,English,United States,Horror,"$21,000,000",109 minutes,"R for violence, language, some sexuality/nudity and brief drug use(Rating bulletin 2560 (Cert #51955), 1/9/2019)",n/a,,
Hustlers ,2019,English,United States,Drama,"$20,700,000 (worldwide box office is 7.3 times production budget)",110 minutes,"R for pervasive sexual material, drug content, language and nudity.(Rating bulletin 2593 (Cert #52354), 8/28/2019)","$104,963,598","$45,504,321","$150,467,919"
eXistenZ ,1999,English,Canada,Thriller/Suspense,"$20,700,000 (worldwide box office is 0.1 times production budget)",97 minutes,"R for strong sci-fi violence and gore, and for language","$2,840,417",,
The Best Little Whorehouse in Texas ,1982,English,United States,Musical,"$20,500,000 (worldwide box office is 3.4 times production budget)",114 minutes,R,"$69,701,637",,
Pulse ,2006,English,United States,Horror,"$20,500,000 (worldwide box office is 1.5 times production budget)",85 minutes,R for some violent images.,"$20,264,436","$9,976,999","$30,241,435"
Raiders of the Lost Ark ,1981,"Arabic, English, German, Hebrew, Nepali, Spanish",United States,Adventure,"$20,000,000 (worldwide box office is 18.4 times production budget)",115 minutes,PG,"$225,686,079","$141,765,835","$367,451,914"
Beauty and the Beast ,1991,English,United States,Musical,"$20,000,000 (worldwide box office is 21.9 times production budget)",85 minutes,G,"$206,333,165","$232,323,678","$438,656,843"
Us ,2019,English,United States,Horror,"$20,000,000 (worldwide box office is 12.8 times production budget)",116 minutes,"R for violence/terror, and language.(Rating bulletin 2564 (Cert #52014), 2/6/2019)","$175,084,580","$80,536,419","$255,620,999"
Home Alone 2: Lost in New York ,1992,English,United States,Comedy,"$20,000,000 (worldwide box office is 17.9 times production budget)",120 minutes,PG for comic action and mild language,"$173,585,516","$185,409,334","$358,994,850"
Close Encounters of the Third Kind ,1977,English,United States,Drama,"$20,000,000 (worldwide box office is 17.0 times production budget)",134 minutes,PG,"$169,100,479","$171,700,000","$340,800,479"
Beverly Hills Cop II ,1987,English,United States,Comedy,"$20,000,000 (worldwide box office is 13.8 times production budget)",102 minutes,R,"$153,665,036","$123,000,000","$276,665,036"
The Conjuring ,2013,English,United States,Horror,"$20,000,000 (worldwide box office is 15.8 times production budget)",111 minutes,"R for sequences of disturbing violence and terror.(Rating bulletin 2276, 6/12/2013)","$137,400,141","$179,079,009","$316,479,150"
Five Nights at Freddy’s ,2023,English,United States,Horror,"$20,000,000 (worldwide box office is 14.9 times production budget)",,"PG-13 for strong violent content, bloody images and language.(Rating bulletin 2793 (cert #54564), 7/26/2023)","$137,275,620","$159,868,510","$297,144,130"
Bringing Down the House ,2003,English,United States,Comedy,"$20,000,000 (worldwide box office is 8.2 times production budget)",105 minutes,"PG-13 for language, sexual humor and drug material","$132,675,402","$32,000,000","$164,675,402"
Wonder ,2017,English,United States,Drama,"$20,000,000 (worldwide box office is 15.5 times production budget)",113 minutes,"PG for thematic elements including bullying, and some mild language.(Rating bulletin 2464 (Cert #50925), 2/22/2017)","$132,422,809","$178,319,363","$310,742,172"
The Silence of the Lambs ,1991,English,United States,Horror,"$20,000,000 (worldwide box office is 13.8 times production budget)",118 minutes,R,"$130,726,716","$145,000,000","$275,726,716"
Wayne's World ,1992,,United States,Comedy,"$20,000,000 (worldwide box office is 9.2 times production budget)",95 minutes,PG-13 for sex related dialogue,"$121,697,323","$61,400,000","$183,097,323"
