Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Nemesis ,1993,English,"Denmark, United States",Thriller/Suspense,"$2,000,000 (worldwide box office is 1.0 times production budget)",95 minutes,R for strong futuristic violence.,"$2,001,124",,
Shortbus ,2006,English,United States,Comedy,"$2,000,000 (worldwide box office is 1.0 times production budget)",101 minutes,Not Rated,"$1,997,497",,
Son of Rambow: A Home Movie ,2008,English,"France, United Kingdom",Comedy,"$2,000,000 (worldwide box office is 5.6 times production budget)",95 minutes,PG-13 for some violence and reckless behavior.,"$1,785,505","$9,477,758","$11,263,263"
"The Book of Mormon Movie, Volume 1: The Journey ",2003,,,Drama,"$2,000,000 (worldwide box office is 0.8 times production budget)",,PG for violence and some thematic elements. (2004 re-rating),"$1,660,865",,
Hamlet ,2000,,,Drama,"$2,000,000 (worldwide box office is 1.2 times production budget)",112 minutes,R for some violence,"$1,577,287","$842,382","$2,419,669"
The Diary of a Teenage Girl ,2015,English,United States,Drama,"$2,000,000 (worldwide box office is 1.1 times production budget)",101 minutes,"R for strong sexual content including dialogue, graphic nudity, drug use, language and 
drinking - all involving teens.(Rating bulletin 2375, 5/27/2015)","$1,477,002","$802,957","$2,279,959"
No End In Sight ,2007,English,United States,Documentary,"$2,000,000 (worldwide box office is 0.7 times production budget)",102 minutes,Not Rated,"$1,433,319",,
Locke ,2014,English,"United Kingdom, United States",Thriller/Suspense,"$2,000,000 (worldwide box office is 1.1 times production budget)",85 minutes,"R for language throughout.(Rating bulletin 2290, 9/18/2013)","$1,370,646","$819,154","$2,189,800"
Get Real ,1999,,,Comedy,"$2,000,000 (worldwide box office is 0.6 times production budget)",,R for language and sexual content,"$1,152,411",,
In the Shadow of the Moon ,2007,English,United Kingdom,Documentary,"$2,000,000 (worldwide box office is 1.1 times production budget)",100 minutes,"PG for mild language, brief violent images and incidental smoking","$1,134,358","$1,041,229","$2,175,587"
Meek's Cutoff ,2011,English,United States,Drama,"$2,000,000 (worldwide box office is 0.9 times production budget)",104 minutes,"PG for some mild violent content, brief language and smoking.(Rating bulletin 2158, 2/9/2011)","$977,772","$892,156","$1,869,928"
The Babadook ,2014,English,Australia,Horror,"$2,000,000 (worldwide box office is 3.7 times production budget)",93 minutes,Not Rated,"$950,792","$6,531,595","$7,482,387"
Sharkwater ,2007,,Canada,Documentary,"$2,000,000 (worldwide box office is 0.9 times production budget)",,"PG for images of animal cruelty, thematic elements, language and some smoking.","$850,920","$869,913","$1,720,833"
Inside Deep Throat ,2005,,United States,Documentary,"$2,000,000 (worldwide box office is 0.3 times production budget)",,NC-17 for explicit sexual content.,"$691,880",,
Dinner Rush ,2001,,,Drama,"$2,000,000 (worldwide box office is 0.5 times production budget)",,"R for language, some violence and sexuality. ","$638,227","$437,277","$1,075,504"
