Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Mutiny on The Bounty ,1962,English,United States,,"$19,000,000 (worldwide box office is 0.7 times production budget)",178 minutes,Not Rated,"$13,680,000",,
Gone ,2012,English,United States,Thriller/Suspense,"$19,000,000 (worldwide box office is 1.0 times production budget)",94 minutes,"PG-13 for violence and terror, some sexual material, brief language and drug references.(Rating bulletin 2201, 12/7/2011)","$11,682,205","$6,417,984","$18,100,189"
Spirited Away ,千と千尋の神隠し,"English, Japanese",Japan,Adventure,"$19,000,000 (worldwide box office is 20.2 times production budget)",125 minutes,PG for some scary moments,"$10,049,886","$373,920,836","$383,970,722"
Sex Drive ,2008,English,United States,Comedy,"$19,000,000 (worldwide box office is 0.5 times production budget)",101 minutes,"R for strong crude and sexual content, nudity, language, some drug and alcohol use - all involving teens.","$8,402,485","$2,010,000","$10,412,485"
Firestorm ,1998,English,United States,Action,"$19,000,000 (worldwide box office is 0.4 times production budget)",89 minutes,R for violence and language,"$8,123,860",,
Take Me Home Tonight ,2011,"English, English",United States,Comedy,"$19,000,000 (worldwide box office is 0.4 times production budget)",114 minutes,"R for language, sexual content and drug use","$6,928,068","$648,536","$7,576,604"
Won't Back Down ,2012,English,United States,Drama,"$19,000,000 (worldwide box office is 0.3 times production budget)",121 minutes,"PG or thematic elements and language.(Rating bulletin 2206, 1/18/2012)","$5,310,554","$434,949","$5,745,503"
Action Point ,2018,English,United States,Comedy,"$19,000,000 (worldwide box office is 0.3 times production budget)",84 minutes,"R for crude sexual content, language, drug use, teen drinking, and brief graphic nudity.(Rating bulletin 2527 (Cert #51420), 5/16/2018)","$5,059,608","$44,067","$5,103,675"
The Fall of the Roman Empire ,1964,English,United States,Drama,"$19,000,000 (worldwide box office is 0.3 times production budget)",188 minutes,Not Rated Approved,"$4,750,000",,
The Nutcracker ,1993,English,United States,Musical,"$19,000,000 (worldwide box office is 0.1 times production budget)",92 minutes,G,"$2,119,994",,
George Balanchine's The Nutcracker ,2011,English,United States,Concert/Performance,"$19,000,000 (worldwide box office is 0.1 times production budget)",92 minutes,G,"$2,119,994",,
Kansas City ,1996,English,"France, United States",Drama,"$19,000,000 (worldwide box office is 0.1 times production budget)",116 minutes,"R for language, and for some violence and drug use","$1,353,824",,
Out of the Inferno ,2016,"Cantonese, Mandarin",China,Action,"$19,000,000",,"PG-13 for disaster action/peril and some violence.(Rating bulletin 2388, 8/26/2015)",n/a,,
George A. Romero's Land of the Dead ,2005,English,"Canada, France, United States",Horror,"$18,975,000 (worldwide box office is 2.5 times production budget)",97 minutes,"R for pervasive strong violence and gore, language, brief sexuality and some drug use.","$20,700,082","$27,050,933","$47,751,015"
Indigènes ,2006,"Arabic, French","Algeria, Belgium, France, Morocco",Drama,"$18,900,000 (worldwide box office is 1.4 times production budget)",120 minutes,Not Rated,"$320,700","$25,742,872","$26,063,572"
The Amityville Horror ,2005,English,United States,Horror,"$18,500,000 (worldwide box office is 5.9 times production budget)",89 minutes,"R for violence, disturbing images, language, brief sexuality and drug use.","$65,233,369","$43,942,304","$109,175,673"
Adaptation ,2002,English,,Comedy,"$18,500,000 (worldwide box office is 1.8 times production budget)",,"R for language, sexuality, some drug use and violent images.","$22,498,520","$10,033,236","$32,531,756"
The Invention of Lying ,2009,English,United States,Comedy,"$18,500,000 (worldwide box office is 1.8 times production budget)",100 minutes,PG-13 for language including some sexual material and a drug reference.,"$18,451,251","$14,263,567","$32,714,818"
Fear and Loathing in Las Vegas ,1998,English,United States,Black Comedy,"$18,500,000 (worldwide box office is 0.7 times production budget)",119 minutes,"R for pervasive extreme drug use and related bizarre behavior, strong language, and brief nudity","$10,680,275","$3,031,628","$13,711,903"
Ne le dis à personne ,2008,French,France,Thriller/Suspense,"$18,500,000 (worldwide box office is 1.8 times production budget)",125 minutes,Not Rated,"$6,198,883","$27,755,135","$33,954,018"
Left Behind ,2001,,United States,Drama,"$18,500,000 (worldwide box office is 0.2 times production budget)",100 minutes,PG-13 for violence,"$4,224,065",,
The Hunt ,2020,English,United States,Thriller/Suspense,"$18,200,000 (worldwide box office is 0.7 times production budget)",115 minutes,"R for strong bloody violence, and language throughout.(Rating bulletin 2617 (Cert #52363), 2/19/2020)","$5,812,500","$6,588,479","$12,400,979"
Neighbors ,2014,English,United States,Comedy,"$18,000,000 (worldwide box office is 15.1 times production budget)",91 minutes,"R for pervasive language, strong crude and sexual content, graphic nudity, and drug use throughout.(Rating bulletin 2295, 10/23/2013)","$150,086,800","$120,857,628","$270,944,428"
Borat ,2006,English,United States,Comedy,"$18,000,000 (worldwide box office is 14.5 times production budget)",82 minutes,"R for pervasive strong crude and sexual content including graphic nudity, and language.","$128,505,958","$132,937,284","$261,443,242"
The Mask ,1994,English,United States,Comedy,"$18,000,000 (worldwide box office is 19.5 times production budget)",101 minutes,PG-13 for some stylized violence,"$119,920,129","$231,700,000","$351,620,129"
Big ,1988,English,United States,Comedy,"$18,000,000 (worldwide box office is 8.4 times production budget)",104 minutes,PG,"$114,968,774","$36,696,573","$151,665,347"
Legally Blonde ,2001,English,United States,Comedy,"$18,000,000 (worldwide box office is 7.9 times production budget)",96 minutes,PG-13 for language and sexual references,"$96,493,426","$45,315,809","$141,809,235"
Mean Girls ,2004,English,United States,Comedy,"$18,000,000 (worldwide box office is 7.2 times production budget)",96 minutes,"PG-13 for sexual content, language and some teen partying","$86,047,227","$44,414,821","$130,462,048"
Star Trek III: The Search for Spock ,1984,English,United States,Adventure,"$18,000,000 (worldwide box office is 4.8 times production budget)",105 minutes,PG,"$76,471,046","$10,528,954","$87,000,000"
The Exorcism of Emily Rose ,2005,"Aramaic, English",United States,Horror,"$18,000,000 (worldwide box office is 8.0 times production budget)",119 minutes,"PG-13 for thematic material, including intense/frightening sequences and disturbing images.","$75,072,454","$69,456,624","$144,529,078"
Deuce Bigalow: Male Gigolo ,1999,English,United States,Comedy,"$18,000,000 (worldwide box office is 5.2 times production budget)",88 minutes,"R for sexual content, language and crude humor.","$65,535,067","$27,400,000","$92,935,067"
Barbershop 2: Back in Business ,2004,English,United States,Comedy,"$18,000,000 (worldwide box office is 3.7 times production budget)",106 minutes,"PG-13 for language, sexual material and brief drug references","$65,070,412","$772,000","$65,842,412"
The Family Stone ,2005,English,United States,Comedy,"$18,000,000 (worldwide box office is 5.1 times production budget)",104 minutes,PG-13,"$60,062,868","$32,294,631","$92,357,499"
Bad Santa ,2003,English,United States,Black Comedy,"$18,000,000 (worldwide box office is 4.3 times production budget)",93 minutes,"R for pervasive language, strong sexual content and some violence","$60,060,328","$17,086,703","$77,147,031"
Predator ,1987,English,United States,Action,"$18,000,000 (worldwide box office is 5.5 times production budget)",107 minutes,R,"$59,735,548","$38,532,010","$98,267,558"
My Big Fat Greek Wedding 2 ,2016,English,United States,Comedy,"$18,000,000 (worldwide box office is 5.1 times production budget)",94 minutes,"PG-13 for some suggestive material.(Rating bulletin 2407 (Cert #50215), 1/13/2016)","$59,689,605","$32,406,953","$92,096,558"
The Perfect Guy ,2015,English,United States,Thriller/Suspense,"$18,000,000 (worldwide box office is 3.3 times production budget)",100 minutes,"PG-13 for violence, menace, sexuality and brief strong language.(Rating bulletin 2381, 7/8/2015)","$57,027,435","$3,250,731","$60,278,166"
Austin Powers: International Man of Mystery ,1997,English,United States,Comedy,"$18,000,000 (worldwide box office is 3.8 times production budget)",87 minutes,"PG-13 for nudity, sex-related dialogue and humor","$53,883,989","$13,800,000","$67,683,989"
Diary of a Wimpy Kid: Rodrick Rules ,2011,English,United States,Adventure,"$18,000,000 (worldwide box office is 4.1 times production budget)",99 minutes,"PG for some mild rude humor and mischief.(Rating bulletin 2159, 2/16/2011)","$52,698,535","$20,996,659","$73,695,194"
Amadeus ,1984,English,United States,Drama,"$18,000,000 (worldwide box office is 2.9 times production budget)",158 minutes,R for brief nudity (Director's Cut),"$51,973,029",,
Old ,2021,English,United States,Thriller/Suspense,"$18,000,000 (worldwide box office is 5.0 times production budget)",108 minutes,"PG-13 for strong violence, disturbing images, suggestive content, partial nudity and brief strong language.(Rating bulletin 2685 (cert #53247), 6/16/2021)","$48,276,510","$41,560,287","$89,836,797"
The Forever Purge ,2021,English,United States,Horror,"$18,000,000 (worldwide box office is 4.3 times production budget)",103 minutes,"R for strong/bloody violence, and language throughout.(Rating bulletin 2674 (cert #53158), 3/31/2021)","$44,539,245","$32,411,280","$76,950,525"
Prom Night ,2008,English,United States,Horror,"$18,000,000 (worldwide box office is 3.2 times production budget)",87 minutes,"PG-13 for violence and terror, some sexual material, underage drinking, and language","$43,869,350","$13,324,305","$57,193,655"
Soul Surfer ,2011,English,United States,Drama,"$18,000,000 (worldwide box office is 2.6 times production budget)",106 minutes,"PG for an intense accident sequence and some thematic material.(Rating bulletin 2143, 10/20/2010)","$43,853,424","$3,282,065","$47,135,489"
Under the Tuscan Sun ,2003,English,"Italy, United States",Comedy,"$18,000,000 (worldwide box office is 3.2 times production budget)",113 minutes,PG-13 for sexual content and language,"$43,601,508","$13,888,516","$57,490,024"
Uncle Drew ,2018,English,United States,Comedy,"$18,000,000 (worldwide box office is 2.6 times production budget)",103 minutes,"PG-13 for suggestive material, language and brief nudity.(Rating bulletin 2526 (Cert #51514), 5/9/2018)","$42,469,946","$4,124,315","$46,594,261"
Birdman or ,The Unexpected Virtue of Ignorance,English,United States,Black Comedy,"$18,000,000 (worldwide box office is 5.7 times production budget)",119 minutes,"R for language throughout, some sexual content and brief violence.(Rating bulletin 2317, 4/9/2014)","$42,340,598","$60,203,785","$102,544,383"
Peggy Sue Got Married ,1986,,United States,Comedy,"$18,000,000 (worldwide box office is 2.3 times production budget)",,PG-13,"$41,382,841",,
Gosford Park ,2001,English,"Italy, United Kingdom, United States",Comedy,"$18,000,000 (worldwide box office is 3.2 times production budget)",137 minutes,R for some language and brief sexuality,"$41,300,105","$16,971,781","$58,271,886"
Orange County ,2002,English,United States,Comedy,"$18,000,000 (worldwide box office is 2.4 times production budget)",83 minutes,"PG-13 for drug content, language and sexuality","$41,059,716","$2,248,991","$43,308,707"
Gung Ho ,1986,"English, Japanese",United States,Comedy,"$18,000,000 (worldwide box office is 2.0 times production budget)",112 minutes,PG-13,"$36,611,610",,
Blue Jasmine ,2013,English,United States,Comedy,"$18,000,000 (worldwide box office is 5.7 times production budget)",98 minutes,"PG-13 for mature thematic material, language and sexual content.(Rating bulletin 2268, 4/17/2013)","$33,404,871","$69,508,090","$102,912,961"
United 93 ,2006,English,United States,Drama,"$18,000,000 (worldwide box office is 4.3 times production budget)",111 minutes,R for language and some intense sequences of terror and violence,"$31,567,134","$46,067,901","$77,635,035"
