Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Ta Ra Rum Pum ,2007,,"India, United States",Comedy,"$7,400,000 (worldwide box office is 1.3 times production budget)",,Not Rated,"$872,643","$8,571,221","$9,443,864"
Crash ,2005,English,United States,Drama,"$7,303,082 (worldwide box office is 13.9 times production budget)",112 minutes,"R for language, sexual content and some violence.","$55,334,418","$45,838,620","$101,173,038"
Persepolis ,2007,English,"France, United States",Drama,"$7,300,000 (worldwide box office is 3.5 times production budget)",95 minutes,"PG-13 for mature thematic material including violent images, sexual references, language and brief drug content","$4,443,403","$20,953,784","$25,397,187"
Harry Brown ,2010,English,United Kingdom,Thriller/Suspense,"$7,300,000 (worldwide box office is 1.6 times production budget)",103 minutes,"R for strong violence and language throughout, drug use and sexual content(Rating bulletin 2103, 1/13/2010)","$1,818,681","$10,204,925","$12,023,606"
Skammerens datter ,2015,,Denmark,Adventure,"$7,300,000 (worldwide box office is 0.5 times production budget)",96 minutes,,n/a,"$3,364,513","$3,364,513"
Die Welle ,2011,German,Germany,Drama,"$7,250,000 (worldwide box office is 4.8 times production budget)",107 minutes,,n/a,"$35,122,948","$35,122,948"
Diamonds Are Forever ,1971,English,United Kingdom,Action,"$7,200,000 (worldwide box office is 16.1 times production budget)",120 minutes,GP,"$43,800,000","$72,199,985","$115,999,985"
The Omega Code ,1999,,United States,Action,"$7,200,000 (worldwide box office is 1.8 times production budget)",100 minutes,PG-13 for several scenes of shooting,"$12,610,552","$67,760","$12,678,312"
3 ,2011,German,Germany,Drama,"$7,200,000 (worldwide box office is 0.0 times production budget)",119 minutes,Not Rated,"$59,774","$235,718","$295,492"
Mississippi Grind ,2015,English,United States,Drama,"$7,100,000 (worldwide box office is 0.1 times production budget)",108 minutes,"R for language.(Rating bulletin 2366, 3/25/2015)","$130,541","$318,100","$448,641"
Juno ,2007,English,United States,Comedy,"$7,000,000 (worldwide box office is 33.1 times production budget)",96 minutes,"PG-13 for mature thematic material, sexual content and language","$143,495,265","$87,954,837","$231,450,102"
The Godfather ,1972,English,United States,Drama,"$7,000,000 (worldwide box office is 38.6 times production budget)",175 minutes,R,"$136,479,994","$133,527,400","$270,007,394"
Magic Mike ,2012,English,United States,Comedy,"$7,000,000 (worldwide box office is 24.4 times production budget)",109 minutes,"R for pervasive sexual content, brief graphic nudity, language and some drug use.(Rating bulletin 2218, 4/11/2012)","$113,721,571","$56,828,182","$170,549,753"
Flashdance ,1983,English,United States,Drama,"$7,000,000 (worldwide box office is 28.8 times production budget)",95 minutes,R,"$90,463,574","$111,000,000","$201,463,574"
I Can Only Imagine ,2018,English,United States,Drama,"$7,000,000 (worldwide box office is 12.3 times production budget)",110 minutes,"PG for thematic elements including some violence.(Rating bulletin 2490 (Cert #51203), 8/23/2017)","$83,482,352","$2,301,215","$85,783,567"
Earthquake ,1974,English,United States,Drama,"$7,000,000 (worldwide box office is 11.4 times production budget)",121 minutes,Not Rated,"$79,700,000",,
The Invisible Man ,2020,English,"Australia, United States",Horror,"$7,000,000 (worldwide box office is 19.9 times production budget)",124 minutes,"R for some strong bloody violence, and language.(Rating bulletin 2611 (Cert #52535), 1/8/2020)","$64,914,050","$74,097,915","$139,011,965"
Five Feet Apart ,2019,English,United States,Drama,"$7,000,000 (worldwide box office is 13.2 times production budget)",116 minutes,"PG-13 for thematic elements, language and suggestive material.(Rating bulletin 2559 (Cert #51947), 1/2/2019)","$45,729,221","$46,824,988","$92,554,209"
Pee Wee's Big Adventure ,1985,English,United States,Adventure,"$7,000,000 (worldwide box office is 5.8 times production budget)",86 minutes,PG,"$40,940,662",,
The Piano ,1993,,"Australia, France, New Zealand",Drama,"$7,000,000 (worldwide box office is 5.7 times production budget)",121 minutes,R for moments of extremely graphic sexuality.,"$40,157,856","$54,624","$40,212,480"
Jumping the Broom ,2011,English,United States,Romantic Comedy,"$7,000,000 (worldwide box office is 5.5 times production budget)",107 minutes,"PG-13 for some sexual content.(Rating bulletin 2167, 4/13/2011)","$37,295,394","$863,207","$38,158,601"
Live and Let Die ,1973,English,United Kingdom,Action,"$7,000,000 (worldwide box office is 23.1 times production budget)",121 minutes,PG,"$35,400,000","$126,400,000","$161,800,000"
My Dog Skip ,2000,English,United States,Drama,"$7,000,000 (worldwide box office is 5.1 times production budget)",95 minutes,PG for some violent content and mild language,"$34,099,640","$1,695,679","$35,795,319"
Darkness Falls ,2003,English,"Australia, United States",Horror,"$7,000,000 (worldwide box office is 6.8 times production budget)",86 minutes,"PG-13 for terror and horror images, and brief language.","$32,539,681","$14,750,077","$47,289,758"
