Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Gracie ,2007,English,,Drama,"$9,000,000 (worldwide box office is 0.4 times production budget)",95 minutes,PG-13 for brief sexual content,"$2,956,339","$965,704","$3,922,043"
The Sapphires ,2012,English,Australia,Musical,"$9,000,000 (worldwide box office is 2.3 times production budget)",99 minutes,"PG-13 for sexuality, a scene of war violence, some language, thematic elements and smoking.(Rating bulletin 2253, 12/19/2012)","$2,450,867","$17,944,173","$20,395,040"
Greater ,2016,English,United States,Drama,"$9,000,000 (worldwide box office is 0.2 times production budget)",131 minutes,"PG for thematic elements, some language and smoking.(Rating bulletin 2404 (Cert #50179), 12/16/2015)","$2,000,093",,
Destroyer ,2018,English,United States,Thriller/Suspense,"$9,000,000 (worldwide box office is 0.7 times production budget)",123 minutes,"R for language throughout, violence, some sexual content and brief drug use.(Rating bulletin 2551 (Cert #51777), 10/31/2018)","$1,533,324","$4,332,165","$5,865,489"
Trust the Man ,2006,,United States,Comedy,"$9,000,000 (worldwide box office is 0.3 times production budget)",,R for language and sexual content.,"$1,530,535","$1,017,843","$2,548,378"
Undiscovered ,2005,,,Romantic Comedy,"$9,000,000 (worldwide box office is 0.1 times production budget)",,"PG-13 for sexual material including dialogue, partial nudity, language and drug content","$1,069,318",,
Velvet Goldmine ,1998,,,Musical,"$9,000,000 (worldwide box office is 0.5 times production budget)",,"R for strong sexual content, nudity, language and drug use","$1,053,788","$3,259,856","$4,313,644"
Princess Kaiulani ,2010,English,"United Kingdom, United States",Drama,"$9,000,000 (worldwide box office is 0.1 times production budget)",,"PG for some violence and thematic material, and for brief language, sensuality and smoking(Rating bulletin 2119, 5/5/2010)","$883,887",,
National Champions ,2021,English,United States,Drama,"$9,000,000 (worldwide box office is 0.1 times production budget)",116 minutes,"R for language throughout and sexual references.(Rating bulletin 2708 (cert #53312), 11/24/2021)","$475,488",,
The Legend of Suriyothai ,2003,Thai,Thailand,Action,"$9,000,000 (worldwide box office is 0.1 times production budget)",185 minutes,R for violence and some nudity,"$454,255","$7,326","$461,581"
Due occhi diabolici ,1991,English,"Italy, United States",Horror,"$9,000,000 (worldwide box office is 0.0 times production budget)",120 minutes,R,"$349,618",,
Dheepan ,2015,"English, French, Tamil",France,Drama,"$9,000,000 (worldwide box office is 0.9 times production budget)",115 minutes,"R for violence, language and brief sexuality/nudity.(Rating bulletin 2418 (Cert #50385), 3/30/2016)","$248,795","$7,455,562","$7,704,357"
La fille du RER ,2010,French,France,Drama,"$9,000,000 (worldwide box office is 0.0 times production budget)",105 minutes,Not Rated,"$208,163",,
All or Nothing ,2002,English,"France, United Kingdom",Drama,"$9,000,000 (worldwide box office is 0.0 times production budget)",128 minutes,R for pervasive language and some sexuality,"$184,255","$1,985","$186,240"
Red Riding: The Year of Our Lord 1974 ,2010,English,United Kingdom,Drama,"$9,000,000 (worldwide box office is 0.0 times production budget)",102 minutes,Not Rated,"$148,826",,
Flammen og Citronen ,2009,"Danish, German","Denmark, Germany",Thriller/Suspense,"$9,000,000 (worldwide box office is 0.2 times production budget)",,Not Rated,"$148,089","$1,487,152","$1,635,241"
Leaves of Grass ,2010,"English, Latin",United States,Black Comedy,"$9,000,000 (worldwide box office is 0.0 times production budget)",105 minutes,"R For violence, pervasive language, and drug content(Rating bulletin 2087 (Cert #44831), 9/16/2009)","$70,066","$15,461","$85,527"
Opal Dream ,2006,,"Australia, United Kingdom",Drama,"$9,000,000 (worldwide box office is 0.0 times production budget)",86 minutes,"PG for mild thematic elements, language and some violence.","$14,443",,
Another Day of Life ,2018,"English, Polish, Portuguese, Spanish","Belgium, Germany, Poland, Spain",Drama,"$9,000,000 (worldwide box office is 0.1 times production budget)",85 minutes,Not Rated,"$3,190","$577,707","$580,897"
Skin Trade ,2015,English,"Thailand, United States",Action,"$9,000,000 (worldwide box office is 0.0 times production budget)",95 minutes,"R for strong violence throughout, disturbing sexual content, nudity, drug use and language.(Rating bulletin 2341, 9/24/2014)","$1,242",,
Les gamins ,2013,French,France,Comedy,"$9,000,000 (worldwide box office is 1.7 times production budget)",95 minutes,,n/a,"$15,660,664","$15,660,664"
Beneath Hill 60 ,2014,English,Australia,Drama,"$9,000,000 (worldwide box office is 0.4 times production budget)",122 minutes,"R for some war violence and language.(Rating bulletin 2166, 4/6/2011)",n/a,"$3,440,939","$3,440,939"
Veronika Decides to Die ,2012,English,United States,Drama,"$9,000,000 (worldwide box office is 0.0 times production budget)",103 minutes,R for some sexual content.,n/a,"$2,243","$2,243"
Barbarella ,1968,"English, French","France, Italy",Adventure,"$9,000,000",98 minutes,PG,n/a,,
A Haunting in Connecticut 2: The Ghosts of Georgia ,2013,English,United States,Horror,"$9,000,000",100 minutes,"R for some disturbing horror content.(Rating bulletin 2226, 6/6/2012)",n/a,,
Polisse ,2012,French,France,Thriller/Suspense,"$8,900,000 (worldwide box office is 2.6 times production budget)",127 minutes,Not Rated,"$176,988","$22,567,144","$22,744,132"
Heist ,2015,English,United States,Thriller/Suspense,"$8,900,000 (worldwide box office is 0.4 times production budget)",90 minutes,"R for violence, pervasive language and some sexual content.(Rating bulletin 2382, 7/17/2015)","$50,136","$3,273,995","$3,324,131"
Ultramarines ,2011,,,Action,"$8,900,000",76 minutes,"R for strong bloody violence.(Rating bulletin 2148, 11/24/2010)",n/a,,
Crocodile Dundee ,1986,English,"Australia, United States",Comedy,"$8,800,000 (worldwide box office is 37.3 times production budget)",97 minutes,PG-13,"$174,803,506","$153,400,000","$328,203,506"
Dofus - Livre 1: Julith ,2016,French,France,Adventure,"$8,800,000 (worldwide box office is 0.1 times production budget)",100 minutes,,n/a,"$624,747","$624,747"
The I Inside ,2004,English,"United Kingdom, United States",Thriller/Suspense,"$8,800,000",,,n/a,,
Le tout nouveau testament ,2015,French,"Belgium, France, Luxembourg",Comedy,"$8,700,000 (worldwide box office is 2.2 times production budget)",116 minutes,Not Rated,"$127,910","$19,371,946","$19,499,856"
Awake ,2007,"English, Japanese",United States,Thriller/Suspense,"$8,600,000 (worldwide box office is 3.8 times production budget)",84 minutes,"R for language, an intense disturbing situation, and brief drug use.","$14,373,825","$18,594,823","$32,968,648"
The Age of Shadows ,밀정,Korean,Republic of Korea,Action,"$8,600,000 (worldwide box office is 6.3 times production budget)",140 minutes,Not Rated,"$540,268","$53,959,901","$54,500,169"
All the President’s Men ,1976,English,United States,Drama,"$8,500,000 (worldwide box office is 6.0 times production budget)",138 minutes,PG (appeal overturned).,"$51,048,435",$422,"$51,048,857"
Manchester by the Sea ,2016,English,United States,Drama,"$8,500,000 (worldwide box office is 9.1 times production budget)",137 minutes,"R for language throughout and some sexual content.(Rating bulletin 2398 (Cert #50129), 11/4/2015)","$47,695,371","$30,038,496","$77,733,867"
Crazy Heart ,2009,English,United States,Drama,"$8,500,000 (worldwide box office is 5.6 times production budget)",112 minutes,R for language and brief sexuality.,"$39,471,742","$7,945,509","$47,417,251"
The Strangers: Chapter 1 ,2024,English,United States,Horror,"$8,500,000 (worldwide box office is 5.6 times production budget)",91 minutes,"R for horror violence, language and brief drug use.(Rating bulletin 2831 (cert #54616), 4/24/2024)","$35,202,562","$12,243,343","$47,445,905"
Star Wars: The Clone Wars ,2008,English,United States,Adventure,"$8,500,000 (worldwide box office is 8.1 times production budget)",98 minutes,"PG for sci-fi action violence throughout, brief language and momentary smoking.","$35,161,554","$33,533,889","$68,695,443"
The DUFF ,2015,English,United States,Comedy,"$8,500,000 (worldwide box office is 5.1 times production budget)",100 minutes,"PG-13 for crude and sexual material throughout, some language and teen partying.(Rating bulletin 2355, 1/7/2015)","$34,030,343","$9,498,291","$43,528,634"
Nightcrawler ,2014,English,United States,Thriller/Suspense,"$8,500,000 (worldwide box office is 5.9 times production budget)",117 minutes,"R for violence including graphic images, and for language.(Rating bulletin 2339, 9/10/2014)","$32,381,218","$17,953,200","$50,334,418"
The Lost Boys ,1987,English,United States,Horror,"$8,500,000 (worldwide box office is 3.8 times production budget)",97 minutes,R,"$32,222,567","$171,576","$32,394,143"
Dragon Ball Super: Broly ,2018,Japanese,Japan,Action,"$8,500,000 (worldwide box office is 14.4 times production budget)",100 minutes,"PG for prolonged frenetic sequences of action and violence, and for language.(Rating bulletin 2559 (Cert #51905), 1/2/2019)","$30,376,755","$92,363,861","$122,740,616"
The Rose ,1979,English,United States,Drama,"$8,500,000 (worldwide box office is 3.4 times production budget)",134 minutes,R,"$29,200,000",,
Baggage Claim ,2013,"English, French",United States,Romantic Comedy,"$8,500,000 (worldwide box office is 2.7 times production budget)",96 minutes,"PG-13 for sexual content and some language.(Rating bulletin 2275, 6/5/2013)","$21,569,509","$1,316,327","$22,885,836"
Middle School: The Worst Years of My Life ,2016,English,United States,Comedy,"$8,500,000 (worldwide box office is 2.7 times production budget)",92 minutes,"PG for rude humor throughout, language and thematic elements.(Rating bulletin 2439 (Cert #50625), 8/24/2016)","$20,007,149","$3,304,144","$23,311,293"
Haakon Haakonsen ,1991,English,"Norway, Sweden, United States",Adventure,"$8,500,000 (worldwide box office is 1.8 times production budget)",92 minutes,PG,"$15,024,232",,
Election ,1999,,,Black Comedy,"$8,500,000 (worldwide box office is 2.0 times production budget)",,"R for strong sexuality, sex-related dialogue and language, and a scene of drug use","$14,943,582","$2,259,272","$17,202,854"
The Namesake ,2007,English,United States,Drama,"$8,500,000 (worldwide box office is 2.4 times production budget)",122 minutes,"PG-13 for sexuality/nudity, a scene of drug use, some disturbing images and brief language.","$13,610,521","$6,678,253","$20,288,774"
Sound of Hope: The Story of Possum Trot ,2024,English,United States,Drama,"$8,500,000 (worldwide box office is 1.4 times production budget)",129 minutes,"PG-13 for thematic material involving child abuse, some violence, language and brief suggestive material.(Rating bulletin 2832 (cert #54976), 5/1/2024)","$11,647,099","$16,616","$11,663,715"
All is Lost ,2013,English,United States,Thriller/Suspense,"$8,500,000 (worldwide box office is 1.2 times production budget)",107 minutes,"PG-13 for brief strong language.(Rating bulletin 2275, 6/5/2013)","$6,263,670","$4,123,144","$10,386,814"
Club Dread ,2004,English,"Mexico, United States",Comedy,"$8,500,000 (worldwide box office is 0.9 times production budget)",104 minutes,"R for violence/gore, sexual content, language and drug use.","$5,001,655","$2,571,896","$7,573,551"
Bright Star ,2009,"English, French","Australia, France, United Kingdom",Drama,"$8,500,000 (worldwide box office is 2.0 times production budget)",119 minutes,"PG for thematic elements, some sensuality, brief language and incidental smoking","$4,444,637","$12,775,454","$17,220,091"
Glitter ,2001,,,Drama,"$8,500,000 (worldwide box office is 0.5 times production budget)",104 minutes,"PG-13 for some sensuality, language and brief violence","$4,273,372",,
The Rover ,2014,English,Australia,Drama,"$8,500,000 (worldwide box office is 0.4 times production budget)",102 minutes,"R For language and some bloody violence.(Rating bulletin 2308, 2/5/2014)","$1,109,199","$2,071,053","$3,180,252"
Silmido ,2004,,Republic of Korea,Action,"$8,500,000 (worldwide box office is 3.6 times production budget)",,Not Rated,"$298,347","$30,000,000","$30,298,347"
Repo! The Genetic Opera ,2008,,United States,Musical,"$8,500,000 (worldwide box office is 0.0 times production budget)",,"R for strong bloody violence and gore, language, some drug and sexual content","$140,244","$58,639","$198,883"
Posledniy bogatyr ,2017,Russian,Russian Federation,Adventure,"$8,500,000 (worldwide box office is 3.6 times production budget)",114 minutes,,n/a,"$30,723,013","$30,723,013"
A.C.O.R.N.S.: Operation Crackdown ,2016,English,United States,Adventure,"$8,500,000 (worldwide box office is 0.2 times production budget)",83 minutes,"PG for rude humor.(Rating bulletin 2442 (Cert #50676), 9/14/2016)",n/a,"$1,353,287","$1,353,287"
My Name is Khan ,2010,"English, Hindi","India, United States",Drama,"$8,470,000 (worldwide box office is 5.0 times production budget)",161 minutes,"PG-13 for some violence, sexual content and language.(Rating bulletin 2108, 2/17/2010)PG-13 for some violence, sexual content and language.(Rating bulletin 2132, 8/4/2010)","$4,046,336","$38,309,190","$42,355,526"
Namastey London ,2007,Hindi,India,Romantic Comedy,"$8,400,000 (worldwide box office is 0.8 times production budget)",136 minutes,Not Rated,"$1,207,007","$5,624,062","$6,831,069"
Yeh Jawaani Hai Deewani ,2013,"English, Hindi",India,Romantic Comedy,"$8,300,000 (worldwide box office is 6.1 times production budget)",159 minutes,Not Rated,"$3,827,466","$47,000,000","$50,827,466"
Limbo ,1999,English,United States,Drama,"$8,300,000 (worldwide box office is 0.3 times production budget)",126 minutes,R for language,"$2,160,710","$437,514","$2,598,224"
C’mon C’mon ,2021,English,United States,Drama,"$8,300,000 (worldwide box office is 0.4 times production budget)",108 minutes,,"$2,005,481","$1,293,949","$3,299,430"
The Wind That Shakes the Barley ,2006,English,"France, Ireland, United Kingdom",Drama,"$8,300,000 (worldwide box office is 3.1 times production budget)",128 minutes,Not Rated,"$1,829,142","$23,841,032","$25,670,174"
The City of Your Final Destination ,2010,"English, Spanish",United States,Drama,"$8,300,000 (worldwide box office is 0.2 times production budget)",118 minutes,PG-13 For a brief sexual situation with partial nudity,"$493,296","$860,000","$1,353,296"
Kurtlar vadisi - Irak ,2006,,Turkey,Action,"$8,300,000 (worldwide box office is 3.0 times production budget)",,,n/a,"$24,906,717","$24,906,717"
Quo Vadis? ,1951,English,United States,Drama,"$8,250,000 (worldwide box office is 3.6 times production budget)",171 minutes,Not Rated,"$30,000,000","$29,100","$30,029,100"
The Sound of Music ,1965,English,United States,Musical,"$8,200,000 (worldwide box office is 34.9 times production budget)",174 minutes,G,"$163,214,286","$122,998,947","$286,213,233"
Footloose ,1984,English,United States,Drama,"$8,200,000 (worldwide box office is 9.8 times production budget)",110 minutes,PG (edited for re-rating),"$80,000,000","$9,427","$80,009,427"
Neuilly Sa Mère ,2009,French,France,,"$8,200,000 (worldwide box office is 2.4 times production budget)",,,n/a,"$19,637,575","$19,637,575"
Pulp Fiction ,1994,English,United States,Drama,"$8,000,000 (worldwide box office is 26.6 times production budget)",155 minutes,"R for strong graphic violence and drug use, pervasive strong language and some sexuality.","$107,928,762","$104,962,836","$212,891,598"
The Karate Kid ,1984,English,United States,Action,"$8,000,000 (worldwide box office is 11.4 times production budget)",126 minutes,PG,"$90,815,558","$42,823","$90,858,381"
The Muppet Movie ,1979,English,"United Kingdom, United States",Adventure,"$8,000,000 (worldwide box office is 9.6 times production budget)",95 minutes,G,"$76,657,000",,
Splash ,1984,English,United States,Romantic Comedy,"$8,000,000 (worldwide box office is 7.8 times production budget)",109 minutes,PG,"$62,599,495",,
Little Miss Sunshine ,2006,English,United States,Comedy,"$8,000,000 (worldwide box office is 12.6 times production budget)",102 minutes,"R for language, some sex and drug content.","$59,891,098","$40,751,255","$100,642,353"
Easy A ,2010,English,United States,Comedy,"$8,000,000 (worldwide box office is 9.5 times production budget)",92 minutes,"PG-13 for mature thematic elements involving teen sexuality, language and some drug material.(Rating bulletin 2133, 8/11/2010)","$58,401,464","$17,799,257","$76,200,721"
Stand by Me ,1986,English,United States,Drama,"$8,000,000 (worldwide box office is 6.5 times production budget)",89 minutes,R,"$52,287,414","$2,272","$52,289,686"
28 Days Later… ,2003,English,United Kingdom,Horror,"$8,000,000 (worldwide box office is 10.3 times production budget)",112 minutes,"R for strong violence and gore, language and nudity.","$45,064,915","$37,719,602","$82,784,517"
Escape from Alcatraz ,1979,English,United States,Drama,"$8,000,000 (worldwide box office is 5.4 times production budget)",107 minutes,PG,"$43,000,000",$459,"$43,000,459"
You Got Served ,2004,English,United States,Drama,"$8,000,000 (worldwide box office is 6.4 times production budget)",95 minutes,PG-13 for thematic elements and sexual references.,"$40,066,497","$10,745,361","$50,811,858"
The Intruder ,2019,English,United States,Thriller/Suspense,"$8,000,000 (worldwide box office is 5.1 times production budget)",102 minutes,"PG-13 for violence, terror, some sexuality, language and thematic elements.(Rating bulletin 2534 (Cert #51686), 7/4/2018)","$35,388,976","$5,208,425","$40,597,401"
50/50 ,2011,English,United States,Black Comedy,"$8,000,000 (worldwide box office is 5.2 times production budget)",100 minutes,"R for language throughout, sexual content and some drug use","$35,016,118","$6,318,617","$41,334,735"
A Thin Line Between Love & Hate ,1996,,United States,Romantic Comedy,"$8,000,000 (worldwide box office is 4.4 times production budget)",,"R for strong language, a sex scene and some violence","$34,873,513",,
A Walk in the Woods ,2015,English,United States,Adventure,"$8,000,000 (worldwide box office is 4.6 times production budget)",104 minutes,"R for language and some sexual references.(Rating bulletin 2379, 6/24/2015)","$29,499,394","$7,619,964","$37,119,358"
Brown Sugar ,2002,,,Romantic Comedy,"$8,000,000 (worldwide box office is 3.5 times production budget)",,PG-13 for sexual content and language,"$27,362,712","$952,560","$28,315,272"
Howards End ,1992,English,United Kingdom,Drama,"$8,000,000 (worldwide box office is 3.3 times production budget)",140 minutes,"PG for mild language, violence and sensuality.","$26,124,872","$227,381","$26,352,253"
That Awkward Moment ,2014,English,United States,Romantic Comedy,"$8,000,000 (worldwide box office is 6.6 times production budget)",94 minutes,"R for sexual content and language throughout.(Rating bulletin 2287, 8/28/2013)","$26,068,955","$27,000,000","$53,068,955"
Shutter ,2008,English,United States,Horror,"$8,000,000 (worldwide box office is 6.0 times production budget)",85 minutes,"PG-13 for terror, disturbing images, sexual content and","$25,928,550","$21,853,876","$47,782,426"
Modern Problems ,1981,English,United States,Comedy,"$8,000,000 (worldwide box office is 3.1 times production budget)",89 minutes,PG,"$24,474,312",,
On Her Majesty's Secret Service ,1969,English,United Kingdom,Action,"$8,000,000 (worldwide box office is 10.3 times production budget)",142 minutes,PG,"$22,800,000","$59,200,000","$82,000,000"
Much Ado About Nothing ,1993,English,United Kingdom,Romantic Comedy,"$8,000,000 (worldwide box office is 2.8 times production budget)",,PG-13 for momentary sensuality.,"$22,549,338",,
The Player ,1992,English,United States,Black Comedy,"$8,000,000 (worldwide box office is 3.6 times production budget)",,"R for language, and for some sensuality. ","$21,706,101","$7,170,601","$28,876,702"
Creepshow ,1982,English,United States,Horror,"$8,000,000 (worldwide box office is 2.5 times production budget)",120 minutes,R,"$20,036,244",,
Akeelah and the Bee ,2006,English,United States,Drama,"$8,000,000 (worldwide box office is 2.4 times production budget)",112 minutes,PG for some language.,"$18,848,430","$110,994","$18,959,424"
Tarot ,2024,English,United States,Horror,"$8,000,000 (worldwide box office is 6.1 times production budget)",92 minutes,"PG-13 for horror violence, terror, bloody images, some strong language and drug content.(Rating bulletin 2824 (cert #54310), 3/6/2024)","$18,771,004","$30,333,741","$49,104,745"
Wes Craven's New Nightmare ,1994,,United States,Horror,"$8,000,000 (worldwide box office is 2.3 times production budget)",,"R for explicit horror violence and gore, and for language","$18,090,181",,
Drive Me Crazy ,1999,,,Romantic Comedy,"$8,000,000 (worldwide box office is 2.8 times production budget)",91 minutes,"PG-13 for teen alcohol and drug use, and for language","$17,843,379","$4,748,072","$22,591,451"
