Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Saw IV ,2007,English,United States,Horror,"$10,000,000 (worldwide box office is 13.6 times production budget)",95 minutes,"R for sequences of grisly bloody violence and torture throughout, and for language","$63,300,095","$72,459,599","$135,759,694"
Madea's Family Reunion ,2006,,United States,Comedy,"$10,000,000 (worldwide box office is 6.3 times production budget)",,"PG-13 for mature thematic material, domestic violence, sex and drug references.","$63,257,940","$62,581","$63,320,521"
jackass forever ,2022,English,United States,Reality,"$10,000,000 (worldwide box office is 7.5 times production budget)",96 minutes,"R for strong crude material and dangerous stunts, graphic nudity and language throughout.(Rating bulletin 2702 (cert #53283), 10/13/2021)","$57,743,451","$17,045,841","$74,789,292"
White Noise ,2005,English,"Canada, United Kingdom, United States",Horror,"$10,000,000 (worldwide box office is 9.2 times production budget)",101 minutes,"PG-13 for violence, disturbing images and language.","$56,094,360","$36,000,000","$92,094,360"
The Color of Money ,1986,English,United States,Drama,"$10,000,000 (worldwide box office is 5.2 times production budget)",119 minutes,R,"$52,293,000",,
Insidious Chapter 3 ,2015,English,United States,Horror,"$10,000,000 (worldwide box office is 12.0 times production budget)",97 minutes,"PG-13 for violence, frightening images, some language and thematic elements.(Rating bulletin 2362, 2/25/2015)","$52,218,558","$68,234,597","$120,453,155"
The Mighty Ducks ,1992,,United States,Comedy,"$10,000,000 (worldwide box office is 5.1 times production budget)",104 minutes,PG for mild language.,"$50,752,337",,
Lady Bird ,2017,English,United States,Drama,"$10,000,000 (worldwide box office is 8.0 times production budget)",93 minutes,"R for language, sexual content, brief graphic nudity and teen partying.(Rating bulletin 2499 (Cert #51180), 10/25/2017)","$48,958,273","$31,162,671","$80,120,944"
Precious ,Based on the Novel Push by Sapphire,English,United States,Drama,"$10,000,000 (worldwide box office is 6.9 times production budget)",119 minutes,"R for child abuse including sexual assault, and pervasive language.","$47,566,524","$21,156,324","$68,722,848"
The Best Exotic Marigold Hotel ,2012,English,"United Kingdom, United States",Comedy,"$10,000,000 (worldwide box office is 13.5 times production budget)",122 minutes,"PG-13 for sexual content and language.(Rating bulletin 2172, 5/18/2011)","$46,383,639","$88,256,141","$134,639,780"
Hereditary ,2018,English,United States,Horror,"$10,000,000 (worldwide box office is 8.1 times production budget)",126 minutes,"R for horror violence, disturbing images, language, drug use and brief graphic nudity.(Rating bulletin 2523 (Cert #51363), 4/18/2018)","$44,069,456","$36,873,194","$80,942,650"
"Love, Simon ",2018,English,United States,Drama,"$10,000,000 (worldwide box office is 6.6 times production budget)",107 minutes,"PG-13 for thematic elements, sexual references, language and teen partying.(Rating bulletin 2490 (Cert #51124), 8/23/2017)","$40,826,341","$24,694,292","$65,520,633"
Bill & Ted’s Excellent Adventure ,1989,"English, French, German, Greek",United States,Adventure,"$10,000,000 (worldwide box office is 4.1 times production budget)",90 minutes,PG,"$40,485,039","$25,072","$40,510,111"
The Longest Day ,1962,"English, French, German",United States,Action,"$10,000,000 (worldwide box office is 5.0 times production budget)",178 minutes,G Rating is for 1969 Re-Issue of film from Twentieth Century Fox Film,"$39,100,000","$11,000,000","$50,100,000"
Happy Gilmore ,1996,English,United States,Comedy,"$10,000,000 (worldwide box office is 4.1 times production budget)",92 minutes,PG-13 for language and some comic sexuality,"$38,623,460","$2,380,952","$41,004,412"
Jigsaw ,2017,English,United States,Horror,"$10,000,000 (worldwide box office is 10.4 times production budget)",91 minutes,"R for sequences of grisly bloody violence and torture, and for language.(Rating bulletin 2466 (Cert #50946), 3/8/2017)","$38,052,832","$66,170,483","$104,223,315"
