Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Mommy ,2014,"English, French",Canada,Drama,"$4,900,000 (worldwide box office is 3.6 times production budget)",134 minutes,"R for language throughout, sexual references and some violence.(Rating bulletin 2350 (Cert #49499), 11/26/2014)","$3,498,695","$14,037,309","$17,536,004"
Obsluhoval jsem anglického krále ,2008,,Czech Republic,Black Comedy,"$4,900,000 (worldwide box office is 1.5 times production budget)",,R for sexual content and nudity.,"$617,228","$6,557,756","$7,174,984"
Soul Kitchen ,2010,German,Germany,,"$4,900,000 (worldwide box office is 4.8 times production budget)",,Not Rated,"$276,901","$23,070,560","$23,347,461"
The Awakening ,2012,English,United Kingdom,Horror,"$4,900,000 (worldwide box office is 1.4 times production budget)",102 minutes,"R for some violence and sexuality/nudity.(Rating bulletin 2226, 6/6/2012)","$95,933","$6,828,388","$6,924,321"
All Hat ,2008,,,Comedy,"$4,900,000 (worldwide box office is 0.0 times production budget)",,R for language and some sexual content,"$15,198",,
Sling Blade ,1996,,,Drama,"$4,833,610 (worldwide box office is 7.1 times production budget)",135 minutes,R,"$24,475,416","$9,699,584","$34,175,000"
Hostel ,2006,English,United States,Horror,"$4,800,000 (worldwide box office is 17.1 times production budget)",95 minutes,"R for brutal scenes of torture and violence, strong sexual content, language and drug use.","$47,326,473","$34,914,637","$82,241,110"
Zimna wojna ,2018,"French, Polish","France, Poland, United Kingdom",Drama,"$4,800,000 (worldwide box office is 5.2 times production budget)",84 minutes,"R for some sexual content, nudity and language.(Rating bulletin 2547 (Cert #51668), 10/3/2018)","$4,580,048","$20,450,396","$25,030,444"
Only God Forgives ,2013,"English, Thai","Denmark, France",Thriller/Suspense,"$4,800,000 (worldwide box office is 0.9 times production budget)",90 minutes,"R for strong bloody violence including grisly images sexual content and language.(Rating bulletin 2273, 5/22/2013)","$775,849","$3,718,711","$4,494,560"
Take Shelter ,2011,English,United States,Drama,"$4,750,000 (worldwide box office is 1.0 times production budget)",120 minutes,"R for some language.(Rating bulletin 2161, 3/2/2011)","$1,728,953","$3,243,063","$4,972,016"
Tristram Shandy: A Cock and Bull Story ,2006,,United Kingdom,Comedy,"$4,750,000 (worldwide box office is 0.6 times production budget)",,R for language and sexual content.,"$1,253,413","$1,808,350","$3,061,763"
The Texas Chainsaw Massacre 2 ,1986,English,United States,Horror,"$4,700,000 (worldwide box office is 1.7 times production budget)",,,"$8,025,872",,
Lady in White ,1988,,United States,Horror,"$4,700,000 (worldwide box office is 0.4 times production budget)",,,"$1,705,139",,
Driving Lessons ,2006,,,,"$4,700,000 (worldwide box office is 0.1 times production budget)",,"PG-13 for language, sexual content and some thematic material","$239,962",,
Without Men ,2011,English,United States,Comedy,"$4,700,000",,"R for sexual content and some language.(Rating bulletin 2176, 6/15/2011)",n/a,,
Treading Water ,2015,English,"Canada, Mexico",Comedy,"$4,700,000",86 minutes,Not Rated,n/a,,
Pat Garrett and Billy the Kid ,1973,English,United States,Western,"$4,638,783 (worldwide box office is 2.4 times production budget)",122 minutes,R for western violence and sexuality/nudity. (edited for re-rating; originally R),"$8,000,000","$3,000,000","$11,000,000"
Camping Sauvage ,2004,,,Comedy,"$4,600,000 (worldwide box office is 0.8 times production budget)",100 minutes,Not Rated,"$3,479,302",,
Barfi ,2012,Hindi,India,Romantic Comedy,"$4,600,000 (worldwide box office is 8.0 times production budget)",120 minutes,Not Rated,"$2,804,874","$33,947,110","$36,751,984"
Dear Frankie ,2005,,,Drama,"$4,600,000 (worldwide box office is 0.7 times production budget)",,PG-13 for language.,"$1,340,891","$1,758,478","$3,099,369"
The Assassination of Richard Nixon ,2004,,,Drama,"$4,600,000 (worldwide box office is 1.1 times production budget)",,R for language and scene of graphic violence.,"$708,776","$4,171,367","$4,880,143"
Le nom des gens ,2011,French,France,Comedy,"$4,600,000 (worldwide box office is 2.0 times production budget)",95 minutes,"R for sexual content including graphic nudity, and some language.(Rating bulletin 2172, 5/18/2011)","$514,237","$8,747,474","$9,261,711"
Savage Grace ,2008,,United States,Drama,"$4,600,000 (worldwide box office is 0.2 times production budget)",,Not Rated,"$434,417","$534,388","$968,805"
Out of the Blue ,2007,English,New Zealand,Drama,"$4,600,000 (worldwide box office is 0.2 times production budget)",102 minutes,Not Rated,$728,"$731,039","$731,767"
Occupation ,2018,English,Australia,Action,"$4,600,000 (worldwide box office is 0.0 times production budget)",119 minutes,"R for some language.(Rating bulletin 2520 (Cert #51529), 3/28/2018)",n/a,"$35,111","$35,111"
Police Academy ,1984,English,United States,Comedy,"$4,500,000 (worldwide box office is 18.0 times production budget)",96 minutes,R,"$81,198,894",,
Four Weddings and a Funeral ,1994,"English, Sign Language",United Kingdom,Romantic Comedy,"$4,500,000 (worldwide box office is 54.0 times production budget)",116 minutes,"R for language, and for some sexuality","$52,700,832","$190,194,977","$242,895,809"
