Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Freaky Deaky ,2011,English,United States,Comedy,"$6,000,000",,"R for language, some sexual content and drug use.(Rating bulletin 2242, 9/26/2012)",n/a,,
The Hit List ,2011,English,United States,Thriller/Suspense,"$6,000,000",,"R for violence and language.(Rating bulletin 2147, 11/17/2010)",n/a,,
Tallulah ,2016,English,United States,Drama,"$6,000,000",151 minutes,Not Rated,n/a,,
Videodrome ,1983,English,"Canada, United States",Horror,"$5,952,000 (worldwide box office is 0.4 times production budget)",,,"$2,120,439","$1,500","$2,121,939"
Emma ,1996,,,Comedy,"$5,900,000 (worldwide box office is 6.4 times production budget)",120 minutes,PG for brief mild language,"$22,231,658","$15,600,000","$37,831,658"
L'auberge espagnole ,2003,"English, French, Spanish",France,Romantic Comedy,"$5,900,000 (worldwide box office is 0.7 times production budget)",122 minutes,R for language and sexual content,"$3,895,664","$15,197","$3,910,861"
Doktor Dinozavrov ,Доктор Динозавров,Russian,Russian Federation,Drama,"$5,900,000",,,n/a,,
Planet of the Apes ,1968,English,United States,Action,"$5,800,000 (worldwide box office is 5.6 times production budget)",112 minutes,G,"$32,589,624","$3,510","$32,593,134"
The Train ,1965,"English, German","France, Italy, United States",Thriller/Suspense,"$5,800,000 (worldwide box office is 1.2 times production budget)",133 minutes,Not Rated,"$6,800,000",,
Winter in Wartime ,2008,"Dutch, English, German","Belgium, Netherlands",Drama,"$5,800,000 (worldwide box office is 1.7 times production budget)",103 minutes,"R For violence and brief sensuality(Rating bulletin 2126, 6/22/2010)","$542,860","$9,119,354","$9,662,214"
Foolproof ,2003,,,Comedy,"$5,800,000 (worldwide box office is 0.1 times production budget)",93 minutes,R for language and some sexual references. ,"$230,312","$190,709","$421,021"
Trade of Innocents ,2012,"English, French","Thailand, United States",Thriller/Suspense,"$5,800,000 (worldwide box office is 0.0 times production budget)",91 minutes,"PG-13 for disturbing thematic material involving sex trafficking of children, and some violence.(Rating bulletin 2203, 12/21/2011)","$15,091",,
The Lair ,2022,English,United Kingdom,Horror,"$5,800,000 (worldwide box office is 0.0 times production budget)",97 minutes,,n/a,"$66,980","$66,980"
Tom yum goong ,2006,Thai,Thailand,Action,"$5,700,000 (worldwide box office is 7.6 times production budget)",81 minutes,R for pervasive strong violence and some sexual content,"$12,044,087","$31,000,000","$43,044,087"
Stiff Upper Lips ,1998,"English, Latin","India, United Kingdom",Comedy,"$5,700,000 (worldwide box office is 0.0 times production budget)",94 minutes,R for some sexual content.,"$69,582",,
Druk ,2020,Danish,"Denmark, Netherlands, Sweden",Drama,"$5,700,000 (worldwide box office is 3.8 times production budget)",110 minutes,,"$44,205","$21,654,690","$21,698,895"
The Inbetweeners ,2012,English,United Kingdom,Comedy,"$5,700,000 (worldwide box office is 15.1 times production budget)",96 minutes,"R for strong crude and sexual content, some graphic nudity, language, alcohol and brief drug use.(Rating bulletin 2230, 7/4/2012)","$35,955","$86,015,365","$86,051,320"
Valhalla Rising ,2010,,Denmark,Action,"$5,700,000 (worldwide box office is 0.1 times production budget)",,Not Rated,"$30,638","$700,975","$731,613"
Bend it Like Beckham ,2002,English,"Germany, United Kingdom, United States",Comedy,"$5,600,000 (worldwide box office is 13.3 times production budget)",112 minutes,PG-13 for language and some sexual situations,"$32,543,449","$42,022,593","$74,566,042"
Crossover ,2006,,,Drama,"$5,600,000 (worldwide box office is 1.3 times production budget)",111 minutes,PG-13 for sexual content and some language.,"$7,009,668",,
Sunshine State ,2002,English,United States,Drama,"$5,600,000 (worldwide box office is 0.6 times production budget)",141 minutes,PG-13,"$3,064,356","$217,542","$3,281,898"
Standing Ovation ,2010,English,United States,Musical,"$5,600,000 (worldwide box office is 0.1 times production budget)",105 minutes,"PG for some rude behavior(Rating bulletin 2107, 2/10/2010)","$531,806",,
Khiladi 786 ,2012,"Hindi, Punjabi",India,Comedy,"$5,600,000 (worldwide box office is 2.6 times production budget)",141 minutes,Not Rated,"$385,422","$14,298,341","$14,683,763"
[Rec] 2 ,2010,Spanish,Spain,,"$5,600,000 (worldwide box office is 3.3 times production budget)",,"R for strong bloody violence, disturbing images and pervasive language(Rating bulletin 2122, 5/26/2010)","$27,766","$18,500,000","$18,527,766"
The Sting ,1973,English,United States,Comedy,"$5,500,000 (worldwide box office is 29.0 times production budget)",129 minutes,PG,"$159,616,327",,
Chariots of Fire ,1981,English,United Kingdom,Drama,"$5,500,000 (worldwide box office is 11.3 times production budget)",125 minutes,PG,"$61,558,162","$365,914","$61,924,076"
