Name,Year,Countries,Languages,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
dangal,2016,india,hindi,80955,0.2658250988142292,223588,0.7341749011857708,304544
baahubali 2: the conclusion,2017,india,telugu tamil,209013,0.7825582679774661,58076,0.21744173202253397,267089
rrr *,2022,india,telugu,116041,0.7173252279635258,45728,0.2826747720364742,161770
k.g.f: chapter 2,2022,india,kannada,123909,0.8228571428571428,26674,0.17714285714285713,150583
pathaan,2023,india,hindi,79848,0.6229458250023803,48330,0.37705417499761973,128179
bajrangi bhaijaan,2015,india,hindi,70655,0.45915376676986586,83226,0.5408462332301341,153882
secret superstar,2017,india,hindi,11989,0.08406594543160334,130635,0.9159340545683967,142625
pk,2014,india,hindi,75939,0.6148021145877982,47579,0.38519788541220173,123518
sultan,2016,india,hindi,62788,0.6694527778223412,31002,0.3305472221776587,93790
2 . 0,2018,india,tamil,34671,0.39195161290322583,53786,0.6080483870967742,88457
sanju,2018,india,hindi,62653,0.7483002470818778,21074,0.2516997529181222,83728
padmaavat,2018,india,hindi,55267,0.6772439595790063,26338,0.32275604042099376,81606
tiger zinda hai,2017,india,hindi,64142,0.7695929203539823,19203,0.2304070796460177,83345
dhoom 3,2013,india,hindi,64424,0.6554856115107913,33860,0.3445143884892086,98285
war,2019,india,hindi,53766,0.7959200841219769,13786,0.20407991587802313,67552
3 idiots,2009,india,hindi,58227,0.6127826086956522,36794,0.38721739130434785,95021
andhadhun,2018,india,hindi,13643,0.20930639760117314,51542,0.7906936023988268,65186
adipurush,2023,india,telugu hindi,32950,0.6,21967,0.4,54918
brahmāstra: part one – shiva,2022,india,,37674,0.7110904872389792,15306,0.2889095127610209,52980
chennai express,2013,india,,55764,0.7430630800395722,19282,0.2569369199604278,75046
saaho,2019,india,telugu hindi,24176,0.4051904761904762,35490,0.5948095238095238,59667
kick,2014,india,hindi,51662,0.8010199004975125,12833,0.19898009950248757,64495
simmba,2018,india,hindi,43956,0.7698593168245083,13140,0.23014068317549174,57096
krrish 3,2013,india,hindi,60132,0.8647583699824593,9404,0.13524163001754075,69536
prem ratan dhan payo,2015,india,hindi,46353,0.7513642915980231,15339,0.24863570840197693,61692
happy new year,2014,india,hindi,45233,0.7359436178543461,16229,0.26405638214565386,61463
kabir singh,2019,india,hindi,47057,0.8739380507624928,6787,0.12606194923750724,53845
dilwale,2015,india,hindi,32802,0.548122595197028,27043,0.451877404802972,59845
tanhaji - the unsung warrior,2020,india,hindi,43571,0.9052087583299333,4562,0.09479124167006664,48134
uri - the surgical strike,2019,india,hindi,41153,0.8052706196313902,9951,0.1947293803686098,51105
bajirao mastani,2015,india,hindi,40627,0.7194117150811282,15845,0.2805882849188718,56472
drishyam 2,2021,india,hindi,38401,0.8299087088827706,7870,0.1700912911172294,46271
ponniyin selvan: ii,2023,india,tamil,0,,0,,0
the kashmir files,2022,india,hindi,36574,0.8727267394110054,5333,0.12727326058899463,41907
bang bang!,2014,india,hindi,40338,0.7395,14209,0.2605,54548
thugs of hindostan,2018,india,hindi,27654,0.5785970149253732,20141,0.4214029850746268,47795
