Name,Year,Languages,Countries,Genres,Budget,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
10 things i hate about you,1999,"french, english",united states of america,"romantic comedy, romance film, coming of age, comedy, teen",13000000,38178166,0.7134456334758792,15334203,0.2865543665241208,53512369
"10,000 bc",2008,english,"united states of america, south africa, new zealand","thriller, adventure, costume drama, action/adventure, fantasy, romance film, action",105000000,94784201,0.35133340146927283,175000000,0.6486665985307272,269784201
102 dalmatians,2000,english,"united states of america, france, united kingdom","adventure, ""childrens/family"", animal picture, ""childrens"", comedy, family film, family-oriented adventure",85000000,66957026,0.36466630453665194,116654745,0.6353336954633481,183611771
11:14,2003,english,"united states of america, canada","crime fiction, thriller, crime comedy, indie, ensemble film, comedy-drama, drama, comedy, black comedy, crime thriller",6000000,3810792,0.5,3810792,0.5,7621584
12 angry men,1957,english,united states of america,drama,340000,955,0.5,955,0.5,1910
12 rounds,2009,english,united states of america,"action thrillers, thriller, action, crime fiction",20000000,12234694,0.7080129159600346,5045632,0.2919870840399654,17280326
127 hours,2010,english,"united states of america, united kingdom","thriller, biographical film, drama, adventure",18000000,18335230,0.301870153931432,42403567,0.698129846068568,60738797
13 going on 30,2004,"portuguese, english",united states of america,"romantic comedy, fantasy, comedy, coming of age, romance film, fantasy comedy",37000000,57231747,0.5854866095330474,40518989,0.41451339046695257,97750736
1408,2007,english,united states of america,"thriller, supernatural, horror, film adaptation",22500000,71985628,0.5413942392891422,60977789,0.4586057607108578,132963417
15 minutes,2001,"greek, english, czech, afrikaans, russian","united states of america, germany","thriller, crime fiction, media satire, psychological thriller, action/adventure, drama, crime thriller, action",42000000,24403552,0.43299433392275866,31956428,0.5670056660772413,56359980
16 blocks,2006,english,"united states of america, germany","thriller, crime fiction, action, action/adventure, crime thriller",45000000,36895141,0.5618715870276827,28769580,0.43812841297231736,65664721
17 again,2009,english,united states of america,"romantic comedy, coming of age, fantasy, comedy, drama, romance film, fantasy comedy, teen",40000000,64167069,0.4600617475949401,75307837,0.5399382524050599,139474906
1900,1976,"italian, english","france, italy, west germany","period piece, family drama, drama, epic, political drama",9000000,692,0.5,692,0.5,1384
1941,1979,"japanese, german, english",united states of america,"parody, screwball comedy, action comedy, action/adventure, period piece, satire, comedy, war film, action, airplanes and airports",32000000,31755742,0.34346965708197985,60700000,0.6565303429180201,92455742
2 fast 2 furious,2003,"english, spanish","united states of america, germany","thriller, crime fiction, action/adventure, crime thriller, action thrillers, action, sports",76000000,127154901,0.5377768994920393,109290549,0.4622231005079607,236445450
2001: a space odyssey,1968,"english, russian","united states of america, united kingdom","thriller, science fiction, adventure, roadshow theatrical release, surrealism, mystery, airplanes and airports",10500000,60481243,0.9073150245384816,6178342,0.0926849754615184,66659585
2012,2009,"tibetans, italian, russian, french, standard mandarin, english, latin, portuguese, hindi",united states of america,"thriller, science fiction, adventure, doomsday film, action/adventure, apocalyptic and post-apocalyptic fiction, drama, dystopia, disaster, action, natural disaster",200000000,166112167,0.21581992612137652,603567306,0.7841800738786235,769679473
2046,2004,"japanese, standard mandarin, cantonese","france, italy, hong kong, china, germany","science fiction, fantasy, drama, romantic drama, romance film, chinese movies",12000000,1444588,0.0741946721866126,18025651,0.9258053278133874,19470239
21,2008,english,united states of america,"action/adventure, crime fiction, drama, film adaptation",35000000,81159365,0.5077333632520499,78687064,0.4922666367479501,159846429
21 grams,2003,english,united states of america,"thriller, ensemble film, tragedy, drama, crime fiction",20000000,16290476,0.2695856126842464,44137363,0.7304143873157536,60427839
