Name,Year,Languages,Countries,Genres,Budget,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
127 hours,2010,english,"united states of america, united kingdom","thriller, biographical film, drama, adventure",18000000.0,18335230.0,0.301870153931432,42403567.0,0.698129846068568,60738797.0
13 going on 30,2004,"portuguese, english",united states of america,"romantic comedy, fantasy, comedy, coming of age, romance film, fantasy comedy",37000000.0,57231747.0,0.5854866095330474,40518989.0,0.4145133904669525,97750736.0
1408,2007,english,united states of america,"thriller, supernatural, horror, film adaptation",22500000.0,71985628.0,0.5413942392891422,60977789.0,0.4586057607108578,132963417.0
15 minutes,2001,"greek, english, czech, afrikaans, russian","united states of america, germany","thriller, crime fiction, media satire, psychological thriller, action/adventure, drama, crime thriller, action",42000000.0,24403552.0,0.4329943339227586,31956428.0,0.5670056660772413,56359980.0
16 blocks,2006,english,"united states of america, germany","thriller, crime fiction, action, action/adventure, crime thriller",45000000.0,36895141.0,0.5618715870276827,28769580.0,0.4381284129723173,65664721.0
17 again,2009,english,united states of america,"romantic comedy, coming of age, fantasy, comedy, drama, romance film, fantasy comedy, teen",40000000.0,64167069.0,0.4600617475949401,75307837.0,0.5399382524050599,139474906.0
2 fast 2 furious,2003,"english, spanish","united states of america, germany","thriller, crime fiction, action/adventure, crime thriller, action thrillers, action, sports",76000000.0,127154901.0,0.5377768994920393,109290549.0,0.4622231005079607,236445450.0
2012,2009,"tibetans, italian, russian, french, standard mandarin, english, latin, portuguese, hindi",united states of america,"thriller, science fiction, adventure, doomsday film, action/adventure, apocalyptic and post-apocalyptic fiction, drama, dystopia, disaster, action, natural disaster",200000000.0,166112167.0,0.2158199261213765,603567306.0,0.7841800738786235,769679473.0
2046,2004,"japanese, standard mandarin, cantonese","france, italy, hong kong, china, germany","science fiction, fantasy, drama, romantic drama, romance film, chinese movies",12000000.0,1444588.0,0.0741946721866126,18025651.0,0.9258053278133874,19470239.0
21,2008,english,united states of america,"action/adventure, crime fiction, drama, film adaptation",35000000.0,81159365.0,0.5077333632520499,78687064.0,0.4922666367479501,159846429.0
21 grams,2003,english,united states of america,"thriller, ensemble film, tragedy, drama, crime fiction",20000000.0,16290476.0,0.2695856126842464,44137363.0,0.7304143873157536,60427839.0
21 jump street,2012,english,united states of america,"crime fiction, comedy film, action",42000000.0,138447667.0,0.6826389668652901,64364762.0,0.3173610331347099,202812429.0
25th hour,2002,english,united states of america,"crime fiction, drama, crime drama",4500000.0,13084595.0,0.5162698085461573,12259895.0,0.4837301914538426,25344490.0
27 dresses,2008,english,united states of america,"romantic comedy, romance film, comedy",30000000.0,76808654.0,0.4722171974532826,85846697.0,0.5277828025467173,162655351.0
28 days,2000,english,united states of america,"romantic comedy, drama, comedy-drama, comedy, addiction drama",43000000.0,37170488.0,0.5976064063466028,25028457.0,0.4023935936533971,62198945.0
